Word,Riddle,Class
heart,"Can not be bought, can not be sold, even if it's made of gold. What is it?",what is it
city wall,What runs around a city   but never moves?    What am I?,what am i
chameleon,I change when scared. I'm in a popular movie. My tounge is long. What am I?,what am i
foot,When we stand up it lies flat. When we lie on our back it stands up. What is it?,what is it
club soda,I am a beverage named after a stick. What am I?,what am i
cloud,I have no wings but I can fly. I can cry but I have no eyes. What am I?,what am i
Cleopatra,"The moon nine days old, The next sign to Cancer, Pat rat without a tail, Now sir, I'll have your answer. Who am I?",who am i
Courage.,"I am born in fear, raised in truth, and I come to my own in deed. When comes a time that I'm called forth, I come to serve the cause of need.What am I?",what am i
scissors,"Poke your fingers in my eyes and I will open wide my jaws.  Linen cloth, quills, or paper, my greedy lust devours them all.  What am I?",what am i
panda bear,"I'm big, I'm black, I'm white and furry. I never ever get anywhere in a hurry. I eat greens and veggies, I'm very rare .And cost many - about a lion's share. What am I?",what am i
monkey,I live in the jungle and I love to eat bananas. I__ very similar to a human but I have a curly tail. What am I?,what am i
Pawpaw,"I am sometimes green, I am sometimes yellow and green. When I'm green, I have many white babies inside me; and when yellow and green, I have many black babies inside of me and is sweet. What am I?",what am i
Shamrock,"I am a small type of clover If you see me, don't move over. The amount of leaves I have is four. The best luck comes to those with more. What is it?",what is it
paws,"I'm on a dog ,I'm on your face, I am taken from a jug and I'm a type of button on a remote.   What am I?  Good Luck :D",what am i
your reflection,"If you see me, I see you.  If you move, then I'll move too.  When you touch me, I touch you.  I do everything you do except for one thing.  No matter how hard I try, I can never speak.  What am I?",what am i
Toilet paper,"I am a cylinder.Made up of many squares. Spinning like a paint roller, I offer my bounteous fare. I can be soft and gentle, But I am abhorred when I am not. I am often found waiting until, the need arises on the spot. I am not the most charming, But I am found in most homes. I'm nowhere to be found?  Alarming! Often, nearby is a mirror and combs. I blot a little here; I wipe clean there. You need me to be near; A tug, a pull, a roll and I tear. What am I?",what am i
Jigsaw puzzle,"I am broken and apart, all my pieces are in tatters. They lie about unorganized, as if nothing matters. Like Humpty Dumpty all I want is all my pieces fixed. Yet when you start to help me, your feelings might be mixed. To some I am relaxing, to others I bring anger. To see my original form, you need only look at my chamber. What am I?",what am i
thimble,"I am a perching barrel, filled with meat, Taking hits from leaps and dives. Look inside, but do not eat, The meat in there is still alive! What am I?",what am i
marriage,"I am enjoyed by some, despised by others. Some take me for granted, some treasure me like a gift. I last forever, unless you break me first. What am I?",what am i
Eve,"Though I am dark, Adam married me. What am I?",what am i
hair,"It can be cut and will grow back. Yet when you least expect it, it may disappear never to return. What is it?  .",what is it
jello,I am rubber you can eat! What am I?,what am i
pussy willow,i am white and grey.  i am fuzzy.  i grow on trees.  i come out in the spring.  What am I,what am i
lantern,"Iron roof, glass walls, burns and burns and never falls. What am I?",what am i
boomerang,"You throw me away, I find my way back; Traditionally I'm wooden, With an arch in my back.  What am I?",what am i
smoothing iron,"A ship that puts a road in order,  What is it?",what is it
spiral staircase,It turns into a different story.  What is it?,what is it
The blink of an eye.,"I'm so fast you can't see me, though everyone else can see straight through me. I won't stop until the day you die. What am I?",what am i
Hemlock,"Half of me will mend, the other half will imprison. When I am together, I will poison. Who am I?",who am i
coconut,I contain water but I'm not a bottle. I can be used to make milk but I'm not a cow. I'm white on the inside but I'm not a loaf of bread. I have a husk but I'm not a head of corn. I have a hard shell but I'm not an egg. I'm brown and hairy on the outside but I'm not a dog. What am I?,what am i
Full Moon,"Pregnant every time you see her, yet she never will give birth. What is it?",what is it
water,I'm in everybody but everybody still wants me.I won't feed you but I'll feed the tree.What am I?,what am i
tommorrow,I am here. . . . Only for a second. . . . then I leave. . .    I come again. . . . but only for a second. . . . And I leave. . .    Some dred me. . . . Others hope for me. . . . . .    Some wait with great anticipation. . . . . .    While others are disgusted by the thought. . . . .    I will continue until the end of time itself. . . .    What am I?,what am i
music,"I am made throughout the world, I am a masterpiece. And to your ears, I am but a humble feast. I am but a traveler, depicted through paper as a start, I can even be made through the work of your heart. What am I?",what am i
eyes,You can touch me but you probably wouldn't want to.  I can see you but you can't see me.  What am I?,what am i
accountant,I am the kind of ant that's good at math. What am I?,what am i
celestial body,"I can kill people, but without me there would be no people. I was born long ago and will someday die. I can cause fire and am a magician with water. I have more brothers than any person. There is very little that can stop me.What am I?",what am i
blame,"To give me to someone I don't belong to is cowardly, but to take me is noble. I can be a game, but there are no winners. What am I?",what am i
paintbrush,"A flick of the wrist, and I travel across.Leaving my mark wherever I go.I'm used to make money, but also for fun.I blend and create and cover and show.I'm made of many different materials.Of shapes and sizes, I have a variety.I'm a tool used for communication.But words I don't usually see. What am I?",what am i
quarry,"I am that which is hunted, and this panes me.  Do you dig, Stone?   What am I?",what am i
key,"Where force can't get through, I with a gentle movement do. What am I?",what am i
guitar,"Tickle with your fingers and a song it will sing be careful, though, you may break a string what is it?",what is it
earth ear,"You ride on me every day but barely notice,  I'm hot and cold at the very same time,  I'm the densest of my clan,  And my first three help you enjoy music.    What am I?",what am i
Joshua,"The initial letters, joined aright, A famous Jew will bring to light. Who is it?",who is it
smile,"A mile from end to end, yet as close to as a friend. A precious commodity, freely given. Seen on the dead and on the living. Found on the rich, poor, short and tall, but shared among children most of all. What is it?",what is it
wheel,"I go around in circles, But always straight ahead Never complain, No matter where I am led. What am I?",what am i
A riddle.,"I can only be said once, Or I will be given away. Once you get me, You don't keep me. I am a fun hand-me-down. What am I?",what am i
water,I am hot. I am hidden. I am cold. I am hard. I am sharp. I am soft. I am still. I am moving. I am above. I am below. I am two and one. Always changing. Always the same. What am I?,what am i
bell,I ask no questions but receive a lot of answers what am i?,what am i
rainbow,"I have every color, but no gold.What am I?",what am i
paint,I sometimes come in a can but I'm not food. I sometimes come in a bottle but I'm not a beverage. I come in different colors but I'm not a rainbow. I'm sometimes used with canvas but I'm not a tent. I'm used with a brush but I'm not toothpaste.  What Am I?,what am i
hole,"The more you take away, the more I become. What am I?",what am i
cloud,"I sail an ocean you'll never swim, and I voyage seas with white-cotton ease yet my hold is filled with water. What am I?",what am i
oak,i'm one of the tallest thing you'll see  i cant move or talk  everyone likes me  what am i?,what am i
hearse,"I'm sometimes white,   Although sometimes I'm black.    I take you there,   But never bring you back.  What am I?",what am i
gillyweed,"Use me wisely, For I am hard to find. To your aquatic needs, I will be kind. It may not be worth my slime and grime, For I run out in an hour__ time. What am I?",what am i
alligator,It floats like a log. It looks like a log. But it isn't a log. What is it?,what is it
star,"I'm far away from you, but I still shine bright. I sleep at day, I wake up by night. I stay by the moon, but never get close to it. What am I?",what am i
fish,"I have no hard feelings towards geometry.But line and angle pertain to my enemy. Transparent surfaces afford my exposure.But at the same time, they comprise my enclosure. Should it be ultimately that boats my fate seal.You might later find me next to chips in a meal. What am I?",what am i
laptop,"It has keys but it only opens windows, it has a screen door but you don't look through it, you look at it, and it gives you most of the answers to your questions. What is it?",what is it
teddy bear,"Soft and cuddly, I'll pull on your heart.But take my last name and I'll tear you apart.What am I?",what am i
sun,"I am easy to see, but no one likes looking at me. Without me, there would be no you. I can make you complain, or make you happy. But you almost always take me for granted. What am I?",what am i
pregnant,I am the state when a person is holding a person inside. What am I?,what am i
sunflower,This is a plant named after a light source what is it?,what is it
octopus,"Who is the strange one who lives in the sea, he has eight arms but no legs. Who is it?",who is it
island,Small land in water what am i??,what am i
gum,"I go in hard, come out soft. Blow me hard and I'll make a pop. What am I?",what am i
vitamin,I am the minerals vital for your good health. What am I?,what am i
laptop,I have a keyboard  A mouse a monitor   It can have internet.   I can move from town to town  What am I?,what am i
rainbow,"I'm nature's radiance, I shine with radiance, I give smiles ear to ear, and shine with beautiful colors, I arch my back high and get noticed by thousands of people, After the sky cries, I come to brighten the gloomy face of the heavens, What am I?",what am i
jelly,I am rubber you can eat. What am I?,what am i
idk,"Riddle the second!  If you have it, you want to share it. If you share it, you don't have it. What is it?",what is it
chair,"It has arms, It has legs, It has a back; But it cannot move by itself??  What is it???",what is it
sun,"I am bright and yellow and turn on and off everyday, some say they need me but others wish that I would go away. What am I?",what am i
lover,"Everyone needs this, it's great with an 'r' on the end but you're sad when the first letter goes away. What is it?",what is it
window,"I am used for light yet I am solid. Without me you would feel enclosed. I hate being touched, especially with a lot of force. I like to be in buildings. What am I?",what am i
door,I am someone you use everyday.  You always walk in it.  what am I?,what am i
stars,i shine at night what am i,what am i
dog,"I may be your best friend, but I depend on you. In the brink of danger, it is you I will defend.What am I?",what am i
path,"From house to house I go, sometimes narrow, sometimes wide. And whether there's rain or snow I always stay outside.What am I?",what am i
streets,"What is it that people love, but then it doesn't have no love for people?",what is it
candle,"My life is measured in hours. I serve by being devoured. Thin, I am quick; Fat, I am slow. Wind is my foe. What am I?",what am i
charcoal,"I am black when you buy me, red when you use me, when I turn white. You know it's time to throw me away. What am I?",what am i
plants,"I am a basic form of life  Over time, I can destroy rock  I may or may not produce poison  And I support all life in 2 ways.   What am I?",what am i
Smoke.,"I am the black child of a white father, a wingless bird, flying even to the clouds of heaven. I give birth to tears of mourning in pupils that meet me, even though there is no cause for grief, and at once on my birth, I am dissolved into air.
Who am I?",who am i
horseman,"Six legs, two heads, two hands, one long nose yet i use only four legs wherever i go what am i ??",what am i
train,This is a type of transport. You can take all over the nation. You travel on railroads. And might stop at Grand Central Station.What am I?,what am i
artichoke,"I have a heart that doesn't beat, a mouth that doesn't speak, and a head that doesn't think. What am I?",what am i
alphabet,"I have an eye but am blind, a sea, but no water; a bee, but no honey; Tea but no coffee; and a why, but no answer. What am I?",what am i
garbage truck,I have four wheels and flies.  What am i?,what am i
cheese,"I am a food made from the pressed curds of milk. I come in American, swiss, sharp and many other flavors. What am I?",what am i
friends,"The fewer of me you have, the more I am worth. What am I?",what am i
road,I run in and out of town all day and night. What am I?,what am i
tree,"I am mother and father, but never birth or nurse. I'm rarely still, but I never wander. What am I?",what am i
egg,"In a marble hall as white as milk, Lined with skin as soft as silk, Within a fountain crystal clear, A golden orb does appear, There are no doors to this stronghold, Yet thieves break in and steal the gold.  What am I?",what am i
mailbox,"I start with M, end with X, and have a never ending amount of letters. What am I?",what am i
windmill,"I'm not a plant yet I'm rooted in the ground. I stand still and wave my arms around. Doing my daily grind in the fresh air I'm found.Night and day, working away with a steady sound. What am I?",what am i
stone,I am one of five  I am not alive   The one who sent me became king  The one who recieved me died   What am I,what am i
eat,"Take my first and make it my last, now I happened in the past.  What am I?",what am i
shoes,You're both in and outside of me;  You guide me but don't ride me;  I can make a statement with a tongue but no mouth.    What am I?,what am i
ear,"My timpani play a rhythmic song,  With hammer on anvil I play along.   Down my canal no ship sets course,  And I have a stirrup that fits no horse.   What am I?",what am i
rainbow,"I am not a living thing, yet I could not exist without the sun and the rain.  What am I?",what am i
pencil,"If you cant open me, but eat me and I was born by you, what am I?",what am i
bmw,"If you say ""i have a bimmer"", what is it that you own?",what is it
chair,I have legs but walk not   A strong back but work not   Two good arms but reach not   A seat but sit and tarry not  What am I?,what am i
darkness,"what goes first but then follows,  what fills in holes and blocks out the sky,  it scares shadows and blocks the sun.   what is it?",what is it
shoelace,I twist and turn and leaves a loop.  What am I?,what am i
voice,"You can hear me and control me, but never see me or touch me.  What am I?",what am i
Mercury,"I'm teary-eyed but never cry, silver-tongued, but never lie. double-winged, but never fly, air-cooled, but never dry. What am I?",what am i
fork,"I have four teeth and a tail, but I have no arms and legs. What am I?",what am i
fan,"I spin and hum, I'm your summer tool. Just flip the switch, and I serve to cool. What am I?",what am i
stone,"Some are Precious, Some are Plain, Some Used for Building, Some Used for Pain. What am I?",what am i
guitar,"Hold me by the neck and I won't mind, if I get wrong I just need a good wind.If you want me you better pick wisely,just use your ears and I'll follow you blindly.What am I?",what am i
loneliness,"I can fill a room or just one heart.  Others can have me, but I can't be shared.  What am I?",what am i
colors,I come in a cone but I am not food;  I will be skewed if you screw with my hue;  I come by the millions but you can probably only name a few.  What am I?,what am i
battery,I am not alive but I can die.   What am I?,what am i
match,I weigh less than a gram but can destroy a house. I come with many brothers and sisters when I am bought and I can light up a whole room.  What am I?,what am i
rainstorm,"I heard of an invading, vanquishing army sweeping across the land, liquid-quick; conquering everything, quelling resistance. With it came darkness, dimming the light. Humans hid in their houses, while outside spears pierced, shattering stone walls. Uncountable soldiers smashed into the ground, but each elicited life as he died; when the army had vanished, advancing northward, the land was green and growing, refreshed. What is it?",what is it
cigarette,I am slim and tall Many find me desirable and appealing They touch me and I give a false good feeling Once I shine in splendor But only once and then no more For many I am to die for. What am I?,what am i
odd number,"I am 1, but not 2. I am 3, but not 4. Whenever I am dancing, one will be on the sidelines. I like to play leap frog on a number line. What am I?",what am i
Bubbles.,"I am lighter than air but a hundred people cannot lift me. Careful, I am fragile. What am I?",what am i
flame,"The more you share me, The more you'll have without making me any smaller. I can help you see or destroy you. What am I?",what am i
vampire,My teeth help me suck. What am I?,what am i
blood,"Everyone has me, Everyone needs me; When some people see me, They end up quite queasy. What am I?",what am i
clock,it has a face but it has no eyes  it has hands but no legs  what is it?,what is it
life,I have four legs in the morning Two at noon And three in the evening What am I?,what am i
bed,"I am a mountain at night, meadow at day. What am I?",what am i
oxygen,"I'm hiding in the air,  I'm hiding everywhere.   Under your bed,  In your cupboard,  I'm hiding everywhere.    What am I?",what am i
surprise,"Once you know it exists, it no longer exists. What is it?",what is it
elevator,Although I'm not a book. I need two stories or more. I go straight up and down. To go to another floor. What am I?,what am i
song,"I live through people.And words. I can be found within buildings with steeples, And be among the birds. My first is in sea, But not in ocean. My last is in gallon, But not in quart. What am I?",what am i
onion,You cut off my Head and cry   What am i? ｡◕‿‿◕｡,what am i
lamp,I stand in one place yet I fill a whole room. I can be filled with molten rock and come in every hue. What am I?,what am i
Christmas tree,I'm green but I'm not a leprechaun. I have lights but I'm not a car. I have a skirt but I'm not a girl. I have things hanging on me but I'm not a clothes hanger. I have branches but I'm not a bank. I have needles but no thread. What am I?,what am i
liver,I am found in man; I can be found in animals; I can also be found in the City Liverpool; Yet not in plants. What am I?,what am i
stop sign,"In an 8 country kingdom I rule, Though I speak without speaking,  my name is as good as law. What am I?",what am i
electric chair,"Sit in me and you'll never stand again. Lucky for you, you'll be full when you do.  What am I?",what am i
thunder and lightning,"I always follow my brother, although very different we are.  You can see him, but not me.  You can hear me, but not him.  What am I?",what am i
boomerang,"You throw me away, I find my way back; Traditionally I'm wooden, With an arch in my back. What am I?",what am i
echo,"I speak without a mouth and hear without ears. I have no-body, but I come alive with the wind. What am I?",what am i
coconut,"I am not a human, nor am I an animal. I have eyes, but cannot see, and I have hair that you cannot comb. My brown skin has several layers but this seems a paradox, because one is smooth and the other is hard. My skin protects my soft white flesh; and within my flesh is my opaque blood. What am I?",what am i
mountain,"It's easy to see me, Not easy to atop me, Clouds hang around me, And people like to slide down me. What am I?",what am i
fish,"Slippery, wet and greasy, when its in its easy, when it out it jumps about, slippery wet and greasy.  What am I?",what am i
drama,Teenage girls are pros at creating me. Learn me in classes. What am I?,what am i
Sea water,I'm blue at day and black at night; I do contain some creatures born and died. What am I?,what am i
hail,"I come when the weather is at its prime, Though, it might be wise to leave nothing on the street. But, in the wintertime My name is obsolete What am I?",what am i
spider,"I move without wings, between silken strings. I leave as you find my substance behind. What am I?",what am i
paper,"I have been the beginning of ideas for all time, yet I am just one simple small object, the things that you can use me for can be frustrating and also I can be pretty. I have some of the most valuable thing in the world on me, yet almost everyone owns me. With me you can make anything. What am I?",what am i
polio,Something Franklin had was this.Like a sad and constant diss.A picture of a girl also was.This disease leaves your head in a buzz. Get a water and horse sport and then try.To add the simple letter i. What is it?,what is it
elephant,"Face with a tree, skin like the sea. A great beast I am, yet vermin frightens me. What am I?",what am i
barber,"I cut hair every day, but my hair stays the same. Who am I?",who am i
television,"A mirror for the famous, but informative to all. I'll show you the world, but it may be a bit small. What am I?",what am i
birthday,"Sometimes I am loved, Usually by the young.  Other times I am dreaded, Mostly by the old ones.  I am hard to remember, Also hard to forget.  And yet if you do, You'll make someone upset.  I occur every day Everyone has to face me.  Even if you don't want it To happen; embrace me.  What am I?",what am i
bed,"I'm many people's favorite place, even though many don't remember their stay.You'll love to come but hate to leave,if you get cold use my sleeves.What am I?",what am i
watermelon,"Green,  White,  Red,  Black dots.        What am I?",what am i
keyboard,"I can slash but I have no knife, I can dash but I have no legs, I can pound but I have no hammer, I can star but I have no stage.What am I?",what am i
map,where can you find a city that cant be seen   where can tou find a road that cant be driven on  where can you find a building that you cant go into.   What am i?,what am i
map,"My seas have no water, my mountains have no rock, and my land has no grass.  what am I?",what am i
harvest,My first three is another name for the Hindu god Shiva.My last four create something to wear.Together I might use a scythe.What am I?,what am i
thunder,I am nature's way of applauding lightning. What am I?,what am i
The moon!,"I always follow you around, everywhere you go at night. I look very bright to people, but I can make the sun dark. I can be in many different forms and shapes. What am I?",what am i
scarecrow,"My history is long in telling, Though my origins are unknown. I watch the tender earth most carefully, Clothed in discards long disowned. I guard against the raucous poachers, Praying for a gust of wind that will animate my lifeless form. The autumn winds will signal the completion of my job. Maybe if I had a brain I'd choose to move south for the winter. Who am I?",who am i
potato,"I have no ears, but more than one eye,Cut me in half, I wont cry,Leave me alone and I will die.What am I?",what am i
honey,I'm a liquid but I'm not water. I'm sticky but I'm not glue. I'm sweet but I'm not melted chocolate. I'm found in a comb but I'm not hair. I'm created by an insect but I'm not a web. What am I?,what am i
toothbrush,"You use this to clean although it is small. If you forget it, your smile will appall. What is it?",what is it
darkness,"Im never heard, never smelt  Im never touched, Or never felt.   Begin in me, end in me  The more of me the less you see.   Im there in forests and underground  And other places not to be found.   What am I?",what am i
stocking,This hangs by the fireplace and wood. It is filled with candy and toys or coal if you are not good. What am I?,what am i
life,"Every single human, plant and animal has had one at some point on Earth. Many things can cause you to lose it,  but many things can be done to preserve it,  it can be very painful and hard,  but very enjoyable at the same time,  sometimes other people take them,  and sometimes people take their own,  but many people try to improve theirs. What am I?",what am i
atomic bomb,"I was developed during the Manhattan Project. I was conceived by Einstein, and built by a team led by Robert Oppenheimer, in Los Alamos, New Mexico. I was built in 1942. The U.S. was the first to develop me, with the help of German, Italian, and American scientists. I work by converting mass to energy, by splitting Uranium with Neutrons, which creates fission. This creates an explosion. My explosion is the release of nuclear energy. There are four parts to my explosion 1) the blast wave, 2) the thermal radiation, 3) initial nuclear radiation, and 4) residual nuclear radiation. As a single explosion, I destroyed more lives and property and injured more people, than any other explosion during all of World War II. What am I?",what am i
electricity,"Before I came, the world was darker, that's true. But beware, I can also kill you. What am I?",what am i
nightingale,"Up, I'm brown and down, I'm white. I make myself heard, but they say I'm shy. I have entertained royalty on the East and inspired poetry in the West. But I don't really like to be in the (spot)light.  What am I?",what am i
shoes,"""Runs over fields and woods all day Under the bed at night sits not alone, With long tongue hanging out, A-waiting for a bone."" What am I?""",what am i
salt,I can look like a diamond to behold. But in you I am more precious than gold. I am at the table when it is time to eat. My twin looks alike and he's really sweet. What am I?,what am i
glass,"Get me to drink, Look through me to see. As I drop get a broom, Sweep, sweep, sweep. Sand my friend, floor my foe. What am I?",what am i
half,"Two is one, four is two, and six is three. Don't you see? What am I?",what am i
earth,I'm number three. But I'm not a number. I'm hot and cold at the same moment but not at the same time. I'm number three. But I'm not a number.Who or what am I?,what am i
city wall,I run around the city but never move. What am I?,what am i
frog,I have four legs but no tail.  Usually I am heard only at night.  What am I?,what am i
riddle,"I am not a brainteaser, but i do tease the brain.  What am I?",what am i
soap,"I have a scent. You use me everyday. The more you use, the more you take away. What am I?",what am i
life,"In order to go on you need it, in order to leave you must lose it, in order to survive you must protect it, it is doomed by death, cursed from below, yet everything has it.  What is it?",what is it
lie,i decieve The Young And Sometimes The Old  i Could Be Thoughtful Or Harmful   or Sometimes a Burdin   what am i,what am i
music,"You can hear me and feel me but you can't see me or smell me, yet everyone has a taste in me.  I can be created, but after that only remembered.  What am I?",what am i
marshmallow,"I am not alive and yet I grow. Just put me next to where it grows. A favorite of the summertime, best with friends when combined. What am I?",what am i
vampire bat,"I fly without feathers;Sleep when you're awake;I'm not a mosquito and neither a needle,But blood I'm known to take.What am I?",what am i
brain,"I am a pinkish color, and have a roundish shape in you. I am very soft, and you should protect me, because I am very important, and you need me to live. All the other animals need me, but not plants. For their size, I was small in a dinosaur, and I am much larger in you. Now tell me, what am I?",what am i
spider,"Be enjoying the singles' life most shall.We are more solitary than social. Of my body is constructed my home.A place where ""guests"" do not casually roam. After I am done giving it a spin.Danger is lurking for venturers in. The way I prey is a bit like fishin'.With two legs up on the competition. What am I?",what am i
ostritch,"I have wings, lay eggs, and a bird but cannot fly.   what am I?",what am i
envelope,"I start with an ___ and end with an ___, but I only have one letter. What am I?",what am i
laughter,"My first is in lever, but not ever. My second is in leave, but not love. My third is in mouth, but not myth. My fourth is in gold, but not old. My fifth is in heaven, but not nervous. My sixth is in youth, but not young. My seventh is in eternal, but not natural. My last is in ribald, but not bawdy. What am I?",what am i
bomb,"I can fall, I can sink, I can lay underground I can go on, I can go off, I can go up, but not down If you want to stop me: I give you 2 choices The same as Neo had What am I?",what am i
video games,"I can be new or old. I am of different types. I am of so many different types that every child can find one of me that they like. I contain links to countless worlds. All people like me, young or old. I can be used in someone's spare time. Although most parents ban me, I am usually the center of attention of any child. What am I?",what am i
electricity,"It brings light to a dark dark world, In a current it travels and through tunnels it's hurled. Touch it and it'll kill you.What is it?",what is it
rabbit,I am associated with spring and I love to hop around in the grass. I like playing in your vegetable garden and my teeth are long and sharp. What am I?,what am i
imagination,"it captures you.  it moves you.  and then its gone. it tingles in the back of your head,tempting you to chase it.  What is it?",what is it
window,I am an ancient invention allows people to see through walls? What am I?,what am i
Money.,"I'm hard as a rock, and as light as a feather. I'm passed on to one another. Poor people need me, and rich people have me.What am I?",what am i
tomorrow,"I never was, am always to be.  No one ever saw me, nor ever will.  And yet I am the confidence of all, To live and breathe on this terrestrial ball.   What am I?",what am i
paper cut,"While you were folding a letter I got you.Usually you will do whatever it takes to avoid me,but now you can't help but find me.What am I?",what am i
termite,I destroy your home from inside out. What am I?,what am i
brain,"From where I sit in my lofty home, 	I direct the affairs of man: His comings and goings, his matters of heart, 	Whether he succeeds or fails. I take him to places that know no limits.    	And guide him through intricate schemes. And when he sleeps, I continue on.	To take him on wondrous journeys. And though I control his every move, 	His habits can disrupt my work: Exposed to abuse, disuse, or neglect, 	I no longer may ably serve him. What am I?",what am i
desk,"You will find me with four legs, but no hair.   People ride me for hours, but I don't go anywhere.   Without needing to be tugged, jerked or turned on,  I always manage to be ready for work.   What am I?",what am i
gravity,I'm a weight on your shoulders and only bring you down. My only weakness is above you. What am I?,what am i
boomerang,"You can throw me away, but I will always be coming back. What am I?",what am i
needle,"I have a long tail that I let fly. Every time I go through a gap, I leave a bit of my tail in the trap. What am I?",what am i
painted wall,I have endless make-overs but I never know my look.  I can make any dull room bright.  What am I?,what am i
brain,I am the only organ in the human body that gave itself it's own name.  What am I?,what am i
jingle,I am the noise Santa's reindeers make. What am I?,what am i
rings,Saturn has them. Married people wear them. A tree's age can be determined by counting them.  What is it?,what is it
drum,"It is not your enemy, yet we still beat it. What is it?",what is it
elevator,"People step all over me but I stand firm. People know how to push my buttons and I just help them get to where they're going. I often listen to music, both uplifting and down to earth. I don't like to be crowded. I have my ups and downs, but I'll always open my doors to you. Who, or what am I?",what am i
clock,"I have a face and two hands, but I have no arms or legs. Six plus seven is one. What am I?",what am i
wind,"You can feel me but, I can't feel you. I can uproot trees and tear roofs off their houses. Yet, I can make a Baby sleep and be gentle. I can howl and whisper. I can spread and stop fires. I can toss boats and help them glide too. What am I?",what am i
field goal,3 point goal. What am I?,what am i
soul,who am i that hides inside the man  and leaves him when he dies  i go up or down depending on how he lived his life  who am i?,who am i
plastic,"I started out green, then went to black. From solid to liquid, and sometimes gas. Now everywhere you see me. I'm clear, opaque, or solid you see. What am I?",what am i
book,"My life is a volume of joy and grief, but I need your help to turn a new leaf. What am I?",what am i
roller coaster,"They turn themselves over to me.Completely voluntarily. Knowing before they've departed.They'll end up near where they started. I may be called emotional.Loopy, perhaps commotional. For those brave souls who seek a thrill.I'm sure to nicely fit the bill. By a force of nature propelled.I'm courage-testing those compelled. Greeted with anxiousness and fret.Seldom exited with regret. What am I?",what am i
case,I can be heard in a court of carried with you. What am I?,what am i
push,It can be done to buttons and shopping carts. What is it?,what is it
sand,When I go to the beach.   I am found. When I go in the water I am smoth.   What am I. ,what am i
sponge,When I Dry I Get Wet.  What Am I ?,what am i
knowledge,"I can never be stolen from you. I am owned by everyone. Some have more, some have less. What am I?",what am i
secret,"When you have me you want to share me, but when you share me you no longer have me.  What am I?",what am i
nose,"I can run but cannot walk, everywhere you go I am already there. What am I?",what am i
Water.,"I can be hot, I can be cold, I can run and I can be still, I can be hard and I can be soft. What am I?",what am i
loyalty,Begins with L and ends with YWith its presence relationships survive. Through slightest inkling of its loss. Instant separation can be caused.What is it?,what is it
asteroid,As large as a mountain.Or as small as a pea.Endlessly swimming in .A waterless sea. What am I?,what am i
dancer,"I tap and I spin, I wiggle and I twist, and my movements are dictated by external sounds. Who am I?",who am i
mist,"A hill full, a hole full; yet you cannot catch a bowl full. What is it?",what is it
ghost,"Though i wander the earth, i am no longer here i am pale and i chill everyone near who am i?",who am i
suicide,A certain crime is punishable if attempted but not punishable if committed. What is it?,what is it
ruler,I am a king who measures things quite well. What am I?,what am i
map,"My seas have no water, my mountains have no rock, and my land has no grass. What am I?",what am i
trophy,"At a competition an object lies.For the best, a worthy prize. Standing upright, proud and tall.Only a few get it at all. A cup is its usual form.The winner gets it is the norm. What is it?",what is it
purpose,"Having one, means having something to follow. Once you question it, it means having none. People seek it, but some do and some don't find it. What is it?",what is it
book,"My numbers may vary, thin as a sheet, take one away, and we're just not complete. What am I?",what am i
atom,"I am in everything, I am large in numbers, I am known to most but seen by none what am I?",what am i
dreams,"I come in darkness, but fill the mind with light. I bring enlightenment to some, while gripping others in the hand of fear. With me it can be a journey of inexplicable joy and sorrow. What I will show you will often be unreachable. Journey with me and what you see may haunt you. Journey with me and you may never want to return home. Journey with me and you will never know when it will end. What am I?",what am i
beer,"Many love me whether I am blond, black or red.Make me wait too long and I may lose my head.Some say I am smooth or even cold.I can cause confusion, or so I am told. I can disappear like a crazy magic trick.No skips or jumps, just hops without a pogo stick.Which makes me more or less bitter.As I cause my share of road side litter. What am I?",what am i
lie,"You can see through me, yet I am not transparent, you can pick holes in me, yet I occupy no space. What am I?",what am i
see-saw,"I go up, I go down; I'm the present, I'm the past; My purpose is none other than for my kids to have fun. What am I?",what am i
stack,"This on this. That on that. Growing tall, But never fat. What am I?",what am i
temper,"You must keep this thing, its loss will affect your brothers. For once yours is lost, it will soon be lost by others. What is it?",what is it
apple,I have skin but I'm not a person. I can be peeled but I'm not a potato. I'm a fruit but I'm not an orange. I grow on trees but I'm not a banana. I'm usually red or green but I'm not a grape. What am I?,what am i
toilet,I'm a whirlpool. Used by men and women. I suck things down. What am I?,what am i
tomorrow,"I never was, am always to be, No one ever saw me, nor ever will, And yet I am the confidence of all, To live and breathe on this terrestrial ball. Who am I?",who am i
bed,"I am the comfort of men, when they lie on me I take them to war, if we are victorious I bring them back alive if we aren't I bring them back dead. What am I ?",what am i
amusement park,"My first involves entertainment, silliness, and fun.My second is a place one's dog can go for a run.My whole provides mechanical exhilaration. What am I?",what am i
rope,"I am both a killer and a savior, it depends on those who wield me. I will bring you from deep water to the shallows, or maybe I could be the one who will hang you in the gallows. What am I?",what am i
splinter,"I got it in the bush.  When I got it, I could not find it.  The more I looked for it, the more I couldn't see it.  I took it home in my hand because I could not find it.  What is it?",what is it
bat,"I sleep by day, I fly by night. I have no feathers to aid my flight.What am I?",what am i
authority,"I am the king's, given by the the people; Used by the king, on the people who gave him; everyone obeys him because he has me. What am I?",what am i
