,starter,riddle,class
3397,swiss cheese,"I have holes, but i never break.   Some people like me but some hate me.    What am I",what am i
3702,seesaw,"It goes up, but at the same time goes down.  Up toward the sky, and down toward the ground.  It's present tense and past tense too, come for a ride, just me and you.    What is it?",what is it
4147,A vacuum cleaner.,"I'm named after nothing, though I'm awfully clamorous. And when I'm not working, your house is less glamorous. What am I?",what am i
528,tomorrow,"When people get desperate they deny my existence, I am never here, not this instance, I give confidence to those in need, People believe I'm when they'll succeed.What am I?",what am i
4049,Shoes.,You're both in and outside of me; You guide me but don't ride me; I can make a statement with a tongue but no mouth. What am I?,what am i
2763,sunshine,"Never resting, never still.   Moving silently from hill to hill.   It does not walk, run or trot,  All is cool where it is not.    What is it?",what is it
1627,Apple,"First I ate, Second and Third I applied, Fourth I rolled, Fifth I projected. What am I?",what am i
3375,lair,"I have 4 legs but can't walk, 3 eyes but can't see, twenty arms but can't grab, what am I?",what am i
4609,A Computer keyboard.,"Slam slam slam all day long slam slam slam some fast, some slow something solid. flat and sturdy its friend lights up the night and is sensitive to the eye slam slam slam A through Z 1,2,3 black as night.  What am I?",what am i
1538,poppy,"In Flanders fields, where once was blood, From battles for so few yards of mud, I woke from such slumber deep, And mocked the blood the havoc wreaked. But now I show our future hope, And enable veterans to cope, By provoking memories of blood, Before new battlefields can flood. What am I?",what am i
1081,dungeon,I store fire-breathing animals. What am I?,what am i
3793,shoes,"Its ready to walk when I'm all tied up, but really should stop when I'm untied.  What am I?",what am i
1760,oxygen,"If you run, you will need me, If you live, you will breathe me. When you climb a mountain, I will start to disappear, No matter how hard you listen, No sound will enter your ear. I'm a reason you're alive, Without me you would surely die. The way I come in is not the way I get out, Another hint is that you use me more when you shout. Without a helper I would not get in or out at all. What am I, and what is my helper?",what am i
2046,jealousy,"When someone else ate, you became full of me. What am I?",what am i
4264,A mountain.,"It's easy to see me,Not easy to atop me,Clouds hang around me,And people like to slide down me.What am I?",what am i
2680,fan,"I have hands that wave you, though I never say goodbye. It's cool for you to be with me, especially when I say HI. What am I?",what am i
1418,food court,"My first may be fruit, pizza, or lentils.My second, consistently judgmental.My whole, a collection of mall rentals. What am I?",what am i
784,glacier,"My step is slow, the snow's my breath, I give the ground a grinding death. My marching makes an end to me, slain by sun or drowned in sea.  What am I?",what am i
2698,treadmill,I travel for miles yet stay where I am. What am I?,what am i
4077,Chair.,I'm normally under you. Take away my first letter and I'm normally above you. Take away my first 2 letters and you normally can't see me. What am I?,what am i
3195,cup of water while drinking,my hands are shaking his hands and my mouth is kissing his mouth and my eyes are looking into his end what is it ??,what is it
4434,A shoe.,"Runs over fields and woods all day Under the bed at night sits not alone, With long tongue hanging out, Awaiting for a bone. What am I?",what am i
4404,Write/Right,"I'm done with a hand, one at a time;A motion to make words, but not to make lines;I'm known as correct, and as a way, in a way;And even if you don't take me away, none of me would be left.What am I?",what am i
2345,Statue of Liberty,"7 kingdoms upon my brow. Though I am worthless, I am tall. A sword and shield in my hand, making changes throughout the land.  Who/What am I?",what am i
4433,Music,The letters of the alphabet but only just a few;It's hard to say if I was invented or just discovered by you.What am I?,what am i
456,path,"From house to house I go, sometimes narrow, sometimes wide. And whether there's rain or snow I always stay outside. What am I?",what am i
2633,snow,"I float when I am born, lay down when I am alive, and run when I am dead. What am I?",what am i
1902,fire,"No legs have I to dance, No lungs have I to breathe, No life have I that dies .And yet I do all three.  What am I?",what am i
574,book,"My spine is stiff, my body is pale, I'm always ready to tell a tale. What am I?",what am i
629,dandelion,Green arrows grow out of my sides. I go from yellow to white. My babies fly in the wind. What am I?,what am i
2821,human,"I walk on Four legges in the morning, two legs in the afternoon, and three legs in the evening.   what am i?",what am i
2699,red,I'll bring out your bulls and slow your roll. I may even come out of your skull. What am I?,what am i
2015,oil,"Born from a fountain of wealth, I am black instead of gold but valued the same. What am I?",what am i
3189,answer is k,"What is it that Karen had first, Mark had last, Paul never had and Lucy Locket lost when she married Peter Piper?",what is it
3629,coin,"I am two-faced but bear only one, I have no legs but travel widely.  Men spill much blood over me, kings leave there imprint on me.  I have greatest power when given away, yet lust for me keeps me locked away.  What am I?",what am i
805,nose,"I am very important, but often overlooked. What am I?",what am i
4347,A Hearth.,"Fire is often maintained above me, and if you remove my first letter, you will find the home shared by everyone you have ever known.What am I?",what am i
3425,ankles,I go inside boots and outside shoes what am i ??,what am i
2136,spider,"I can jump, and I can climb. With my many legs, I swing from tree to tree. I can make a house much bigger than me. What am I?",what am i
3278,nothing im nothing,What does man love more than life  Hate more than death  That mans desire contin  the poor have the rich require  none want me but still have me  what am I?,what am i
192,props,It can be used onstage or to express admiration. What is it?,what is it
3753,jelly,"i am see-through but i am coloured,i am firm but i move,you can mould and shape me what am i. ",what am i
150,grade,You can cross your T's and dot your I's but I may come to you as a surprise.   What am I?,what am i
645,kangaroo,"Nature's pogo stick, Sylvester's bane; Watch out for the kick, Source of great pain. What am I?",what am i
2547,snow,"As beautiful as the setting sun, As delicate as the morning dew; An angel’s dusting from the stars, That can turn the Earth into a frosted moon. What am I?",what am i
1480,ground,"I have more shoes than anybody, but less feet than everyone. I am met in the morning, but departed in the night. I may shake as if I'm angry, but I won't bite. What am I?",what am i
2098,ignorance,"When you are born, all you have is me. And even though you're powerless, you are filled with glee.  What am I?",what am i
138,Jesus Christ,"I am everywhere yet not seen; I was dead yet I'm alive; a Son to a man who is dead yet a Son to One Who's forever alive; suffered, not for myself but for others. I have disproved many beliefs and many laws. Who am I?",who am i
728,cinema,You've come to hear; you've come to see.We ask you do so quietly. Be the end too foreseeable.It will not be agreeable. Though you are happy to attend.You will not look at your best friend. For your spouse who's done you no wrong.The silent treatment two hours long. Entertainment is here for all.By simply staring at a wall. What am I?,what am i
4045,A book!,"My life is often a volume of grief, your help is needed to turn a new leaf. Stiff is my spine and my body is pale, but I'm always ready to tell a tale.What am I?",what am i
286,jargon,"My first half is a container, I am language understood by few, if any. What am I?",what am i
3281,tyhe answer is air,you breath me in you breath me out? what am i,what am i
2572,envelope,"I come in many different shapes and sizes. Sometimes I can carry surprises. I travel hundreds of miles everyday. All over the world, even Taipei. But most times I bring what nobody wants, but most people have. What am I?",what am i
2234,chimney,I'm tall and skinny And have one large mouth. Made of brick or stone Yet never of wood.  What am I?,what am i
3872,computer keyboard,It has space but no room. It has keys but no doors. You can enter but not go in. What am I?,what am i
3355,sunblock,"I can protect you in the water, but I can't help you swim.   I can save your life in the desert, but I can't quench your thirst.   I can sheild you in a convertible, but I can't stop you from crashing.   I can block you in an earthquake, but not from the earthquake.   What am I?",what am i
4672,A traitor.,"My true identity is just right beside you. But you won't notice me here. Once I tell you my true identity, you're dead. Who am I?",who am i
3534,echo,"I repeat only the last word you say.  The more I repeat, the softer I got.  I cannot be seen but can be heard.  What am I?",what am i
1239,clarinet,"Whilst my body is usually made from wood, I have keys that don't unlock doors, and a bell that does not ring. Moreover, I cannot speak without the help of a single piece of cane. What am I?",what am i
4570,"The answer was what that question was! The answer would be a riddle! a riddle would be nothing if you knew it and if you dunt know the answer to the riddle, it's still something.","When you don't know what I am, I am something. When you know what I am, I am nothing.What Am I?",what am i
1437,wow,"I am a word of three letters. I am spelt the same backward and forward; turn me upside down, I will become your mother. What am I?",what am i
3957,Your reflection in a mirror.,"I look at you, you look at me, I raise my right, you raise your left. What am I?",what am i
3717,reflection,If you look in water you might see me yet I never get wet.   What am I?,what am i
2945,silverware,"You buy me to eat, but never eat me.  What am I?",what am i
1423,elevator,"Often going up before going down, A moving room am I, Frequently going down before going up, I can open my door in places on high. What am I?",what am i
1155,harp,It's not a baby though you hold in the arms close to your bosom. It's not an Indian man though it has long beard. It's not a monkey though its tail is bent. It's not a bird though it has beautiful voice.   What am I?,what am i
3159,crunch bar,I can crunch in your mouth I can also melt in your mouth at the same time What am I??????,what am i
3130,computer keyboard or typewriter,"I have keys that open no locks,  I have space, but there is no room,  You can enter, but you can't go in.   What am I?",what am i
2778,coal,"Black I am and much admired, men seek me until they're tired.  When they find me, they break my head, and take from me my resting bed.  What am I?",what am i
4447,A ship dock!,"I have a mouth, no butt, two cranes and floating vessels. What am I?",what am i
4025,Sleep.,"I weaken all men for hours each day. I show you strange visions while you are away. I take you by night, by day take you back, None suffer to have me, but do from my lack. What am I?",what am i
3566,ocean,"I look flat, but I am deep,   Hidden realms I shelter.    Lives I take, but food I offer.    At times I am beautiful.    I can be calm, angry and turbulent.    I have no heart, but offer pleasure as well as death.    No man can own me, yet I encompass what all men must have.   What am I?",what am i
1006,light,"It's so strong, it does not break,It's so powerful, it penetrates a lake,Sometimes it's weak as a twig left out in the sun,It's so wonderful it gives us the power to have fun.What is it?",what is it
1581,night,"Friend to the thieving and deceptive, foe to the common child. A silent blanket draped throughout the air, covers but only half and leaves the other free and wild. Slowly does it creep amidst the expectant and unexpectant alike, bringing most beings and creatures to a stop, make no mistake. While there are some who dwell in its presence, others thrive in its wake. It is a force that can only be replicated on a smaller scale, a strength which can be challenged, but never fully beat. We have tried to since the beginning of time, but no man has ever accomplished the feat. What is it?",what is it
3000,happiness,"I am aspired by all, yet hard to find.  You can search endlessly, but have little peace of mind.  What am I?",what am i
2343,cardboard box,"I can be opened but have no hinges. I am made of fragile material, but not wood, nor glass. What am I?",what am i
917,clothes hanger,I take off my clothes when you put on your clothes. I put on my clothes when you take off your clothes. What am I?,what am i
1792,scarcity,"I am a word. My first four letters refer to a mark on a person's skin; three letters found in the middle refer to what all mathematics students know. My last four letters refer to a place where everyone love to be, and my whole is familiar to all economics students. I am an eight letter word. What am I?",what am i
1611,flappy bird,I am a bird that pass through tubes I am a bird that is hard to control some people get angry to me who am I?,who am i
2744,waterfall,"the old one runs forever, it has no voice at all.  It had no lungs or throat, but it can still make a roaring call.  What is it?",what is it
2070,fire,I can make many people scream yet I can still be seen I make many things grow yet still I can melt the snow. What am I?,what am i
1291,accent,You have never spoken without me. My presence shows focus and my chairs are characters. What am I?,what am i
1349,blood,"When warm my house expands and when cold it contracts, I am vital to a certain type of pact.  What am I?",what am i
2635,woman,"My name can have any letter of the alphabet, but I always have 2 X's.What am I?",what am i
3366,white kitten,i am whight but not a cloud i am born in litters of many colors what am i,what am i
3398,dinosaur,Some were big and some were small but they are gone and we don't have to worry at all  What am I?,what am i
2997,fridge,"I am a small room but no life lives inside, no matter what weather looms, very cold my residents reside.  What am I?",what am i
4064,A wheel.,"I go around in circles, but always straight ahead never complain, no matter where I am led. What am I?",what am i
3480,book,"Turns me on my backs, and open up my stomach you will be the wisest of men though at start a lummox what am i ??",what am i
558,Chuck Yeager,"Pushing toward the limit of time and space, I made this really boom. I was the first, but not the last .to rattle a window, and at times a room. To your delight, and to others fright, it is now rarely ever heard, if at all. Who am I?  What did I do? Can any of you recall?",who am i
1387,shirt,"I have a neck and no head, two arms but no hands. I'm with you to school, I'm with you to work. What am I?",what am i
256,camera,A device that nearly everyone has that can freeze anyone it sees. What is it?,what is it
1392,crook,"I might be support for a reed in the wind, Or you can find me in the road, around the next bend. I'm also right at hand, opposite your elbow, you see, And a shepherd or bishop might carry me. So what am I?",what am i
3596,gold,"I'm red, yellow, black and white,  Fish, flower, bird in flight,  I'm underground and in the sky,  Finger, hair, heart and eye.    What am I?",what am i
3805,truth,People always ask for me even though they don't like to face me.   What am I?,what am i
40,lunar cycle,"I have existed for centuries, but last only a month. What am I?",what am i
2429,cartoon,"My first is a ride; my second may make you caper. My whole comes from a word that means ""big paper"". I may teach, explain, entertain, or inflame; I sometimes amuse, satirize, deride, or cast blame. What am I?",what am i
3420,cellfone,"I am dumb,and know many languages, i am deaf,but still spoken to and i connect love ones.   WHAT AM I",what am i
283,gravity,Everyone is attracted to me and everybody falls for me. What am I?,what am i
4329,A Zoom meeting.,"I came to prominence in the world during a time of trouble. I brought people together but helped keep them apart. I sound like I should go fast, but I am well known for taking too long to finish. What am I?",what am i
3613,wind,"I pass before the sun, yet make no shadow.   What am I?",what am i
1731,seed,"I start the day small and round. Buried alive without a frown. I am fed and nourished where I stay, slowly growing in a patient way. Finally I break through my dark brown cage. Reaching towards a puffy lane. But I will never be truly free, from the cage that always binds me What am I?",what am i
938,farmer,I love to wake up at noon And help with the many jobs I prefer the countryside to the city I help produce the things you eat What am I?,what am i
3749,oil,"I am the fountain from which no one can drink.   For many I am considered a necessary link.   Like gold to all I am sought for,  But my continued death brings wealth for all to want more.   . What am I?",what am i
3621,teeth,white horses on a red hill.  what am I?,what am i
169,ocean,I'm not made.The moon has an effect on me but I never go.You can see me from almost anywhere.And I make you sick.What Am I?,what am i
3633,rain,"A cloud was my mother, the wind is my father, my son is the cool stream, and my daughter is the fruit of the land.  A rainbow is my bed, the earth my final resting place, and I'm the torment of man.    Who Am I?",who am i
2100,marimba,"I make beautiful music. Africa is my home. I am not a drum, although I am in its family. I have wide wooden bars. What am I?",what am i
3968,A Scarecrow.,"I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain.What am I?",what am i
1143,shirt,"I am but three holes. When you come out of me, you are still inside me. What am I?",what am i
3172,riddle or question,"You ponder me in your mind,  I grow stronger with time  And weaker all the while.   I drive you crazy  In your mind that's hazy.   I'm a magnet to thought  And a shade to your eyes,  Now what am I?",what am i
2561,sunflower,"I am black of eye and bright of hair And my feet are firmly in the ground. I love the sun upon my face And I follow it around. When I am dead and gone tis said, That I will droop real low, That I will keep the birds well fed, Standing stiff there in my row. What am I?",what am i
1113,water,I am everywhere. I am inside you. I surround you. I can be seen by you. I can kill you. Yet you play in me. What am I?,what am i
3039,shawdow,i am one everynight with out light but make two during the day who am i?,who am i
4291,A painted wall.,I have endless make-overs but I never know my look. I can make any dull room bright.What am I?,what am i
1579,reflection,"I appear to be real but I'm not, I'm perfectly accurate but deceiving, I have no feelings or emotions, but the individual I'm mimicking does. What am I?",what am i
2592,volcano,"I quietly sit and wait.until someone moves my plate. By then, it's much too late .and nothing will escape.the destruction I create.because I am now awake. Sorry, but you can't close my gate. My wrath you cannot sedate. I'm not picky about what I take. But, this promise I do make, I always give back a rebate. It's best if you leave in great haste, because next it's you that I'll taste!  What am I?",what am i
4113,Empty.,"Take away my first letter, and I still sound the same. Take away my last letter, I still sound the same. Even take away my letter in the middle, I will still sound the same. I am a five letter word. What am I?",what am i
1281,contract,"I am a word of meanings two; If you can guess me, good for you. The first meaning is to shrink, getting smaller in size. The second is an agreement, binding in the law's eyes. What am I?",what am i
99,laptop,"It has keys but it only opens windows, it has a screen door but you don't look though it, you look on it, it gives you most of the answers to your questions. What am I?",what am i
3841,stamp,"I'm at a cornor and really small.  I'm the size as 2 ants, and i fly around parts of the world.  What am I?",what am i
3301,im a newspaper,"i have lots of words, i give out information what am i?",what am i
3703,banana,{ yellow yellow sari i wear but i got white childrens who am i,who am i
1761,air,It's always there. From your birth to your dead. It destroys mountains and at the same time it gently strokes the grass. What is it.,what is it
2803,nail polish,Makeup for finger tips.  What am I?,what am i
1227,sun,"I give you life, but I cause you strife. If you feel my breath, I'll give you death. I keep away the dark, but I also make darkness. If you examine me, I'll be hard to see. What am I?",what am i
4230,A bat.,I see without seeing. Noise is an ally. What am I?,what am i
4169,An actor.,"I can be anything I want to be, yet known to many as just one, but if things don't work out, I will be known by hardly anyone. What am I?",what am i
800,pen,"Fill my bucket, spill my bucket, Over a plane of snow. Black the track as I look back, My footsteps talk but make no sound. What am I?",what am i
1681,telephone,"You answer me, but I never ask you a question. What am I?",what am i
352,shadow,"I can only live where there is light, but I die if the light shines on me.What am I?",what am i
3540,sun,"A golden treasure that never stays;  The coin whose face gives wealth to all.   Strands, nuggets, and dust of gold  are all bought with its shining grace. . .   And all are more precious than any gleaming metal.    What am I?",what am i
820,autobiography,I can be the book one can never finish reading. What am I?,what am i
4280,An Owl.,"My first is in ocean but never in sea, my second's in wasp but never in bee. My third is in glider and also in flight, my whole is a creature that comes out at night.What am I?",what am i
479,blood,"Everybody has some. You can lose some, you can gain some. But you cannot live without it. What am I?",what am i
4138,"Shears, or scissors.","Poke your fingers in my eyes and I will open wide my jaws. Linen cloth, quills, or paper, my greedy lust devours them all. What am I?",what am i
2830,butterfly,"A very pretty thing am I, fluttering in the pale-blue sky.   Delicate, fragile on the wing, indeed I am a pretty thing.   What am I?",what am i
3215,shooting star,"R: I am seen at night,   But not at day,   I have a long tail,   My life is short,   But bright as a flashlight in the dark,   What am I?",what am i
4042,A potato.,"A skin have I, more eyes than one. I can be very nice when I am done. What am I?",what am i
1369,flea,"When I am caught, I am thrown away. When I scape, you itch all day. What am I?",what am i
4076,February.,I have 11 friends and I am the shortest out of all of them. What am I?,what am i
2604,lettuce,"I have a head but no body, a heart but no blood. Just leaves and no branches, I grow without wood. What am I?",what am i
979,shadow,I stay with you all the day but not at night. What am I?,what am i
3006,got milk,"You can spin, wheel and twist, but this thing can turn without moving.   What is it?",what is it
4425,Ocean,"I come across as flat,But theirs more to me than my surface;You climb my moutains from top to bottom,And fall from bottom to top.What am I?",what am i
2285,volcano,"I have a body of stone and a fiery heart, and sooner or later my head and I will part. What am I?",what am i
4534,A pencil.,"Heart of stone within a tree, I'll help your words to outlive thee. But if you push me as I stand, the more I move, the less I am. What am I?",what am i
3939,A riddle.,"I may be simple, I may be complex; I may have a name, but no gender or sex; I am often a question, or statement as a setup; I tend to have an answer, 'til you find it I won't let up. What am I?",what am i
4066,I am curiosity!,"I lead the way into the unknown, and bring strength where there is fear. I am the creator of invention, and the maker of all adventure. What am I?",what am i
4421,Prince.,My full powers come when my makers are dead; I await a heavy hat to put on my head. What am I?,what am i
1208,bridge,"To cross the water I'm the way. For water I'm above I touch it not, and truth to say, I neither swim nor move. What am I?",what am i
4165,Bubble.,"Lighter than air, I float away, with one mans touch I shall decay. What am I?",what am i
675,tape,"I am sticky and if you twist the twisting circle on the side of me I turn from down to straight  What Am I? BE HONEST I KNOW IT'S  HARD Hint : If you spell it backwards and delete the silent letter, give yourself a PAT on the back",what am i
3466,star,"I am all around, yet to me you are half blind sunlight makes me invisible, and difficult to find what am i ??",what am i
473,portal,I am round but I have no weight but if you walk through me you will arrive at a different location. What am I?,what am i
403,cake,"I bake, I rest, I come in different shapes, sizes, types, and I sometimes live with a flame on top of my head. I am eaten, I am sliced, I am licked, poked, squashed, and I sometimes have a man and woman on my head. Who/What am I?",what am i
1874,riddle,"Confusing though I may be, I am always discovered in the end. I have stood the test of time, And some still tell of me. You may see me in different clothes, But my job never changes. Throughout the course of history, I have been devoted to the same .Task. So, what am I?",what am i
4413,The figure eight.,"My head and tail both equal are, My middle slender as a bee. Whether I stand on head or heel Is quite the same to you or me. But if my head should be cut off, The matter's true, though passing strange Directly I to nothing change.What Am I?",what am i
3114,pirate,I sail the seas for money   As I attack anothers ship   Then I take the spoils of the battle   The enemy is in my grip     What am I?,what am i
3477,t,I am in the middle of water but am not an island what am i ??,what am i
3708,w,"Caught between two,  What do I do?  First, when  Last, now  What am I?",what am i
2154,corner,Send poorly behaved children to me and let them sit here. What am I?,what am i
954,watermelon,There is a green house. Inside the green house there is a White house. Inside the White house there is a red house. Inside the red house there are lots of babies. What am I?,what am i
563,mosquito,"I'm hard to catch, but easy to get catched by, what am I?",what am i
1698,rattlesnake,"My greatest power is in my jaw, I have no wing or foot or paw, Be afraid if you hear my backside shake, Now what am I, for Heaven's sake?",what am i
1034,mushroom,"I am a room, but you cannot enter me. Sometimes I__ poisonous, and sometimes I__ delicious to eat. What am I?",what am i
2715,teeth,"I am free the first time and second time, but the third time is going to cost you money. What am I?",what am i
4401,"The riddle ""I'm a spy but I have no eye. I bake a nice pie but I have no tongue..."" is unanswered. Do you know the answer?  If so, click ANSWER  and add your answer in the comments section.",I'm a spy but I have no eye. I bake a nice pie but I have no tongue. I float downward but everything goes up. What am I?,what am i
2129,pearl,Born in a shell I adorn your neck. What am I?,what am i
1246,nose,"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?",what am i
3162,poker chip  ,"I am round like a disc, I am rough, but I am flat.  If you lose me, it's hard to win me back.  What am I?",what am i
727,bird,"I can sing, but I can't talk. I can climb a high tree, but can't run. I have very soft hair and a very hard mouth. What am I?",what am i
2119,slot machine,I have only one arm yet I can steal you blind.  I keep my money in a safe place yet every time I lose it again just to gain it back. What am I?,what am i
1487,sun,"Not even the toughest person can touch it or even get near. However, it can be seen by everyone. Everyone knows about it, and they know it can cause problems, but people can use it to their advantage. What is it?",what is it
2019,secret,"For some in the world, it is as precious as gold. Yet, this thing, is never sold. It is kept, but never used. It's a weakness that cannot be removed. A weapon that can be used against god. If they have it, you know it, then they have lost. What is it?",what is it
4642,A Hole,"Many things can create one, it can be of any shape or size, it is created for various reasons, and it can shrink or grow with time. What is it?",what is it
2090,riddle,Take your time do not fear Sadly I am never clear My answer stares you in the face Read me over and over just incase My answer will cause you pain  But a smile you will gain Today I am like a July evening dream To find my answer you may need a team What am I,what am i
4277,An echo.,"Many have heard me, but no one has seen me, and I will not speak back until spoken to. What am I?",what am i
2220,fox,"I have three heads. Cut off one, I become stronger. Cut off two, I become ten. What am I?",what am i
2417,surname,"Arnold Schwarzenegger has a big one, Michael J Fox has a small one, Madonna doesn't have one, The pope has one but he never uses it, Bill Clinton has one and he uses it all the time! What is it?",what is it
1720,cleaner,"Every night at midnight, I go to the police station and get rid of all the crime finger-prints. If i'm not  criminal, then who am I?",who am i
2228,envelope,I am treated with great care until I reach my end by being torn in half. I'm a traveler. I bring both good and bad news. What am I?,what am i
4539,Your hair.,"Riddle me this.  Riddle me that.   It's over your head,   yet under your hat. What is it?",what is it
3318,kids go here  a school,"I am here for people to learn new things, who cares what I bring and it is not a place to sing. most people don't like me others delight me. What am I",what am i
2055,coconut,"A little pool with two layers of wall around it. One white and soft and the other dark and hard, amidst a light brown grassy lawn with an outline of a green grass. What am I?",what am i
4549,A Peacock.,The strangest creature you'll ever find: Two eyes in front and many many more behind. What is it?,what is it
3657,spider,"i can have 8 legs i am furry,some call me frightning others may call me interesting, what am i",what am i
3706,carpet,I go up and down the stairs without moving.   What am I?,what am i
693,odometer,You have to travel far before you turn it over. What is it?,what is it
4519,"The word ""Few"".","I know a word of letters three. Add two, and fewer there will be. What is it?",what is it
1688,hunger,I am a desire to munch. What am I?,what am i
1835,hair,You can sweep me up or let me fall If you get rid of me I'll come back Treat me wrong and I'll embarrass you But if you ignore me I'll just stay longer  What am I?,what am i
2839,your mother,"I give birth every day, I am loved by all, I get abused every day and im what people think about for 1 night.  Who am I?",who am i
2137,actor,"I can be anything I want to be, yet known to many as just one, but if things don't work out, I will be known by hardly anyone. What am I?",what am i
965,rope,"I help people do tricks and have some fun, But treat me wrong and I come undone. If you hold me tight then let me run, I'll hurt your hand, not much fun. I'm very strong but yet I'm weak.I can stop a horse and jump a creek. I couldn't push you through a door.Yet could pull you off the floor. What am I?",what am i
4487,Do you have 5?,"Pick a number from 1-10, multiply it by 2, add ten, divide it by 2, now subtract the number that you have from the number you picked. What is it?",what is it
3439,nailpolish,Makeup for finger tips what am i ??,what am i
3484,library,I am the building with the most number of stories what am i ??,what am i
1282,rubber band,"I am a band that does not perform, sing, or act. What am I?",what am i
1515,art,"I am the universe's complex elegance, I am everywhere. I am created through suffering, inspiration, joy, and even despair.  I am born as an idea, and then presented to the human eye. However, unlike living things, I can never die. What am I?",what am i
3334,dunnomaybe lots of peoplelmaorofl,"i hav 2 heads,5 ears, 6 mouths, 50,000,000 cells. . .  what am iyouspaz?",what am i
3984,A Kite.,"I love to dance and twist and prance, I shake my tail, and as away I sail, wingless I fly into the sky.What am I?",what am i
1325,ball,"I__ round and I go up and down. You can throw me, and you can catch me. Please be careful with me near the windows. What am I?",what am i
3145,word knitter,"Granny looked up from her rocking chair and said:   As far as I can tell, there is only one anagram of the word trinket.  What is it?",what is it
34,Las Vegas,A large oasis in the desert. Come with cash and leave with none. What am I?,what am i
53,truth,People always ask for me even though they don't like to face me.  What am I?,what am i
1070,water,When it is cold I expand and when it is warm I contract. What am I?,what am i
1540,flower girl,I frolic down the aisle to announce here comes the bride. And on my merry way I drop petals by my side. Who am I?,who am i
586,fog,The more there is the less you see. What is it?,what is it
1763,dreidel,"Spin me, spin me, round and round. The pot's at stake when I fall down. You may get nothing, you may just win. If I land on shin, more pieces go in! What am I?",what am i
1109,washing machine,If you have any dirty clothes. Then you will need to make use of this. If you go to a laundromat. Youll see lots of these appliances. What is it?,what is it
1219,road,I run in and out of town all day and night. What am I?,what am i
1530,past,"My first is in companion, but not in enemy.My second in both peace and war.My third in simple, but not complex.My fourth in water, but not shore. To ignore me much must be forgotten.And so now you must try.To figure out this riddle.And answer: What Am I?",what am i
3210,markerboard,"when you buy me i am colorless, when you use me i can turn into more than 300 different colors, when you're done with me i'm colorless again! I can be any size or shape.  What am I?",what am i
518,sandwich,"I consist of several parts. Two slices of bread, usually cheese and some kind of lunch meat. What am I?",what am i
2493,towel,The more you dry yourself with me the more I get wet. What am I?,what am i
973,egg,I am a container with an inside golden that can't be opened unless I am broken. What am I?,what am i
4249,I am a Yawn.,"I herald the darkness which descends on all creatures; You will know my approach by moans and wracked features. I visit the hippo, hyena, and horse, But never go near snails and spiders, of course. I would circle the globe, leaping one to the other, Should all the world's people ever clasp hands together.What am I?",what am i
1956,North Star,Belonging to a creature with claws curled.I can lead you to the top of the world.Of a ladle I'm part.On a mariner's chart.Prominent on a black canopy pearled. What am I?,what am i
3560,gun,some live by it and some die by it sometimes both     some fear it and some need it to stay alive            in the wrong hands and the right hands people will die What am i ?,what am i
3582,snow,"As beautiful as the setting sun, As delicate as the morning dew; An angel's dusting from the stars that can turn the Earth into A frosted moon.  What am I?",what am i
1872,banana,I can be found after you remove 6 letters from BSAINXLEATEARS. What am I?,what am i
415,belt,I help engines spin and pants stay up. What am I?,what am i
3040,blue airplane,whats blue and is in the air  it is not a cloud nor the sky.   what am i,what am i
936,Santa Claus,"If you__e good, I will visit you once a year. What am I?",what am i
82,wind,"I am invisible, yet everywhere. Yet I am everywhere, I am not active in some places. Sometimes, you can feel me. I can be so strong, I can push you, and even destroy villages and towns. Yet I come unnoticed, you can make me. What am I?",what am i
1477,circle,I am a shape that is very close to impossible to draw me perfectly i'm used in this riddle. What am I?,what am i
1690,camera,I shoot people and sometimes cut off their heads. What am I?,what am i
2720,chalkboard,"I am something that the naughty boys use to draw on, girls write beautifully on the side, you have to clap my defeaters every day, and I stand dumbly as the young children cry. What am I?",what am i
4358,The moon.,"Very few men have ever been here,But one man has been for thousands of years.What am I?",what am i
4337,Appearance.,I'm pleasing to the eye A tool for many absent of mind A tapestry of fickle lies Blind to even the most pensive spies I'm often the breeder of fervent lust But I am by far one you shouldn't trust.What am I?,what am i
4008,A flower.,"A thousand colored folds stretch toward the sky, Atop a tender strand, Rising from the land, 'Til killed by maiden's hand, Perhaps a token of love, perhaps to say goodbye. What am I?",what am i
4522,The letter E.,"I come right in front of Earth, at the end of time, and twice in a week. What am I?",what am i
3778,towel,as it dries it gets wetwhat is it?,what is it
4388,An Actor.,"I talk, but I do not speak my mind I hear words, but I do not listen to thoughts When I wake, all see me When I sleep, all hear me Many heads are on my shoulders Many hands are at my feet The strongest steel cannot break my visage But the softest whisper can destroy me The quietest whimper can be heard. What am I?",what am i
66,Seat belt,"You use me daily, but if you arrive safely, I am never used. What am I?",what am i
541,Apple,"Some people peel my skin some people don't, you eat me nevertheless, with or without, what am I?",what am i
508,fingernail,"I can be round or shot, painted or bare. Sometimes I am round, at others I'm square. What am I?",what am i
1531,broom,"I have a hundred legs but cannot stand, a long neck but no head; I eat the maid's life. What am I?",what am i
4106,I'm your goldfish.,"If you hadn't put me in a bowl, I would have lived for 20 years. What am I?",what am i
3102,corn on the cob,"first you throw away the outside,  then you cook the inside,  then you eat the outside   and then you throw away the inside.     what am I?????",what am i
