Words,BFSConcepts,GoldRiddle,GenRiddle
garlic,"['a ingredient', 'a popular ingredient', 'ajlo', 'beli luk', 'garlleg', 'usturoi', 'češnjak']",I stink up your breath and fights evil vampires. What am I?,"

""I'm often used in cooking, a popular ingredient indeed
With a pungent aroma, you might want to pay heed
Known as beli luk or češnjak in some parts of the land
A bulb with many cloves, do you know what I am?"" "
trust,[],"I take months to build, seconds to destroy, and years to rebuild. What am I?","

I am often broken, yet never spoken
A bond of faith, I am not mistaken
Without me, relationships rust
Can you solve the riddle for the word: trust? "
road,"['a road', 'car', 'cars', 'a car show', 'a form of personal transportation', 'a freeway', 'automobiles']",It cannot run.It cannot walk.It never gets tired.Though it goes on for a long time.It might never die.All of them lead to Rome.What is it?,"

I am a journey that stretches far,
A street that leads you to where you are.
Some may say I am an endless path,
A never-ending maze with a quickening pace.

Cars may speed and zoom along,
But to me, they are just a throng.
I am the road that they follow,
The steady path that leads them to tomorrow.

What am I, this mysterious way?
A street, a path, the road they say.
But no matter what name I am given,
I will always be the route to your destination."
black hole,[],I have no arms or legs  I suck up things  I am mostly black  what am I,"

I suck in everything, yet I am unseen
No light can escape me, it's an eternal dream
My gravity's strong, even planets cannot resist
Infinite and dark, what am I, can you enlist?"
air,"['a gas', 'atmosphere', 'an atmosphere']","I can be thin but not fat, In your body but never on your placemat.I'm always better when I'm fresh,but you'll never see me in the flesh.What am I?","

""I am a gas you cannot see,
But without me, you cannot be.
With oxygen, I'm made complete,
I'm all around, from head to feet.
What am I, this subtle bliss?
The very thing you cannot miss."" "
island,"['a body of land', 'a land mass', 'a piece of land', 'a small body of land', 'an island', 'land', 'ostrvo', 'surrounded by water']",The first third of me.A form of to be.My last two thirds.Post-flight do birds.My whole surrounded by sea. What am I?,"

I am a land, yet surrounded by water,
A land mass that seems to float and hover.
A body of land, secluded and serene,
A piece of paradise, untouched and clean. 
What am I, so unique and grand?
A place of beauty, an island I stand."
glasses,"['a cabinet', 'correct vision', 'correcting vision', 'enhance visual clarity', 'expand the range of vision', 'eyeglasses', 'eye']",I can see when I am with with you but I am blind when alone. What am I?,"

I can help improve your eyesight,
But I'm not found in the cupboard or a cabinet.
I come in pairs, often perched on the bridge of your nose,
And with me, everything becomes crystal clear, I suppose.
What am I?"
trampoline,"['Trampoline', 'gymnastic apparatus', 'trampolin']",I am bouncy but I am not round. I can be above or in the ground. What am I?,"

I soar through the air,
With jumps and flips so fair.
On this elastic stage,
I elevate you with grace.
Used in gymnastics you see,
To practice and perform with glee.
What am I, can you opine?
A bouncy apparatus in a straight line."
leg,"['a bucket of chicken', 'a table', 'appendage']","I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me every day. What am I?","

I am part of your body, but not your hand
I'm often covered with socks or sand
I help you walk, run or even hop
But without me, you might just flop
I'm a limb, an appendage, some might say
But why am I called ""leg"" instead of foot or tray?"
tooth,"['a mouth', 'a tooth', 'chew food', 'grinding', 'atom', 'friction']","I'm white, and used for cutting and grinding. When I'm damaged, humans usually remove me or fill me. For most animals I am a useful tool.  What am I?","

I can be found in your mouth, but I'm not quite a tongue
I help you chew your food, keeping it from being too long
Though some might call me a nuisance, I'm really essential to you
Without me, your mouth wouldn't be able to do all it can do.
What am I?"
monopoly,"['Monopoly', 'a board game', 'a monopoly', 'market', 'monopoli']",I push a car and pay a fee then I push the car again and buy a house.  What am I doing,"
I am a game of wealth and power,
A classic boardgame, it's said and done,
But beware, for in this world I tower,
For in my hands, a monopoly can be won.

I am played upon a board, square by square,
Where players buy, sell and trade,
But in the end, only one can declare,
That they have won, a monopoly so grandly made.

My name itself is a clue,
To my purpose and my fame,
For in this game, it's true,
I am the ruler, a monopoly's name.

So roll the dice and make your move,
On this board"
hail,"['call', 'greeting']","I'm done to the chief, And to the king too; A liquid formed to stone, I can hit and hurt you. What am I?","

I'm a word that's both a greeting and a weather event,
A frozen form of precipitation, you may have guessed.
I'm solid and hard, you can hear me clink,
But when I come falling, you may want to think.
What am I?"
melody,['musical perception'],"I am the result of a creative mind, and I keep evolving through time, I can be written down on a paper, but it wont be with a common letter, I am experienced through a clever design, but still I can get stuck in your mind. What am I?","

I am a gift of sound and rhythm
A whisper that can make your heart dim
Notes dancing in perfect harmony
From deep within, I arise - can you see?
In the world of music, I am the key
The sweet pleasure of your musical perception, can you guess me?
Hint: My name in Iran is ""ملودی"""
yarn,['narration'],"I'm found in socks, scarves and mittens. I'm found in the paws of playful kittens. What am I?","

I am the fabric of a story,
A tool for narration, to tell a tale of glory.
From the Greek word ""pređa"" I came to be,
A thread that weaves words in perfect harmony.
What am I, so simple yet profound?
I am the answer, can you hear the sound?
 
Answer: Yarn"
jesus christ,[],"Rich people need it, so does the poor, a man loves it more than life, and a woman loves it more than her husband.   What is it?","

I am worshipped by many, 
But seen by few, 
I am the son of God, 
But who am I to you?"
bed,"['a bed', 'cot']","I know a place where fellows go without a shoe or stocking. And no one tells them, ""Go away!"" Or thinks their costume is shocking. Each year I spend much of my time In that delightful place, And while I'm there, they don’t expect a boy to wash his face. What am I?","

I'm a place for rest, where dreams may be shed,
A piece of furniture, from pillows to head,
With sheets and blankets, I'll warmly embrace,
Where you'll close your eyes and drift off to a peaceful space.
What am I? A bed."
snowflake,"['crystal', 'component']",if you eat something that you can find outside and you won't die from it.  what is it?,"

In the season of cold and frost,
This delicate thing is often tossed.
Whirling through the air so light,
Its beauty is truly a sight.

Known to some as ""snijegulja,""
Others call it by another,
But whatever the name may be,
It remains a winter specialty.

Blanketing the ground so pure,
It's nature's art, of that I'm sure.
Each one different, not the same,
Yet they all bear the ""snowflake"" name.

Soft and white, it falls with grace,
Covering all in a snowy embrace.
From the word ""pahuljica"" to """
nightmare,"['a nightmare', 'a scary dream']","I am the horse that is feared the most, I am the mare that has no hair, all do ride on what I provide, with breath of fire. Now what is dire?  What am I?","

I am a vision that haunts your sleep,
A frightening scene that makes you weep.
With dark thoughts and terrors galore,
I am a nightmare that you can't ignore."
slot machine,[],I could be on the river or in the desert.I could be in the swamp or a sparkling city.I am rather rectangular and can make lots of noise.I have bright lights and pictures too.They bring their cups and buckets and feed me well.They want me all to themselves quite greedily.When finally I am full and can take no more.I am suddenly everyone's new best friend.What am I?,"

I have three symbols for you to see,
Pull my lever, and watch them spin free,
Coins in, coins out, what will it be?
A game of chance, a test of luck,
Feeling lucky? Give me a buck,
What am I? A __ __ __ __ __ __?"
stapler,"['a desk', 'a desk drawer', 'a desktop', 'a stapler', 'an office building', 'attaching papers', 'double as a paperweight', 'machine', 'a machine', 'create electricity', 'crush ice', 'dispense popcorn', 'exercise muscles', 'filter']","With pointed fangs it sits in wait,   With piercing force its doles out fate,   Over bloodless victims proclaiming its might,   Eternally joining in a single bite.    What am I?","

I sit on a desk, but I do not write
Instead, I keep papers close and tight
With a metallic click, I bring them together
A handy tool, I am forever tethered
For those on a desktop, I am a lifesaver
A master of attaching papers, I am the all-powerful stapler."
originality,[],"I don't have a predecessor.You've seen nothing like me before. If not for creativity.There wouldn't be a place for me. Thankfully, the world we live in.Will never stop discoverin'. Otherwise, I would not exist.And monotony would persist. What am I?","

I am the key to success and pride,
A trait that cannot be denied.
My essence is of the utmost quality,
In every aspect, I maintain purity.

Goodness flows through my very core,
A virtue that is hard to ignore.
My value is beyond measure,
A treasure for any seeker to treasure.

In the fight against darkness, I play a crucial role,
For without me, victory is hard to hold.
I am the weapon against evil's might,
A powerful force, shining bright.

What am I, you may ask?
A rare gem, a coveted task.
Rare and precious, I am one of a kind,
"
Light,[],I bend but I never break. What am I?,"

I am not heavy, but I can illuminate the night. I brighten up your room, but I cannot take flight. What am I?"
black hole,[],"I am dark, nobody can see me, I'm very far, nothing can escape me.  What am I?","

I am deep and dark, a force to be reckoned with.
My gravity pulls in everything, even light cannot escape its grip.
What am I, this cosmic abyss?
A mystery to unravel, a black hole is my name, so don't dare take the risk. "
elevator,"['a building', 'a hotel', 'at hotel', 'building', 'cargo', 'a ship']",All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,"

I'm found in a building, high in the air
In a hotel, you'll often find me there
Without a single step, you'll reach your floor
I'm an easy way to move, that's for sure"
yarn,['narration'],"I'm found in socks, scarves, and mittens. I'm found in the paws of playful kittens. What am I?","

I am a tool for narration, 
But I am used to tell without hesitation. 
In Croatian, I am known as ""pređa"", 
But in any language, I am a thread that never strays. 
What am I?"
crop duster,[],My first may be in a farmer's prayer.My second improves a surface layer.My whole is a large-scale insect sprayer. What am I?,"

I can scatter seeds, but I'm not a sower.
I spread something else, at a much lower.
With my powerful wings, I glide through the air.
Leaving behind a trail, that's quite rare.
What am I, if not a simple dusting blower?
I am a machine, known as a ____________."
clouds,"['bring rain', 'cloud the sky', 'cover the sun', 'fluffy', 'often in the sky', 'rain on the earth', 'rain on you', 'rain raindrops', 'rain water', 'the air', 'the clouds', 'the sky', 'usually in the sky']","I am a faucet. I am a protector.  I am a weather predictor.  I come in many colors but, I am mainly white.  I often hang out with the sun.  Who am I?","

What is always above you,
But also falls on you?
It's made of water vapor,
And can make a sky blue.
It's responsible for the rain,
And the feeling of being caught,
It can hide the sun's light,
But also bring joy with every drop. 
What am I?
"
life,"['earth', 'finite']",Some say I'm not fair. Some say I'm too short. Many make the most of me. Some people hate me. People talk about me a lot. What am I?,"

I am finite, yet I hold the essence of living,
On earth I thrive, my presence always giving.
Though not tangible, my impact is rife,
For some I am short, for others, a long-lasting life.
Though not perfect, I strive to do good,
Without me, existence would be misunderstood.
What am I?"
scarecrow,[],"I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain.  What am I?"," 

I stand tall in the field,
With a hat and ragged clothes, I’m sealed.
I have no heart, but I can still sow
And watch over crops, do you know?

What stands in the field, but can't move?
With open arms, as if to prove
Its purpose is to ward off birds and crows
Do you know the name of this feathery foe? "
peanut,"['child', 'edible nut', 'insignificant', 'inappreciable', '302172728-s', 'appreciable']",I'm a seed that's underground. Many like to spread me around. But my family it's said is quite insane. And if you've a low I.Q. you've this kind of brain. Eat me raw and I'll make you sick. Eat too much and your tongue will stick.What am I?,"

I am a nut, but not just any old kind,
I'm edible, delicious, and young you'll find,
A favorite of children, in a school you see,
A handy snack, perfect for a little hungry spree. 

What am I?"
soap,"['bar', 'bubbles', 'a swimming pool', 'bubble']","My shape and sizes differ. Every time you dip me in water, I become smaller. What am I?","

I am used for cleaning, but I am not a mop,
I am a bar, not meant for drinking but for what you need to pop,
I am not something you can eat, but I can make you feel clean,
Just use me to wash yourself, and your body will gleam."
sand,"['a sandbox', 'beach', 'beaches', 'covered in sand']","To you I am nothing, Except a small speck. Yet I tell a huge story. I am older than you can think, Yet most people walk on me at least once. What am I?","

I am usually found on the beach,
But also in deserts that are out of reach.
My tiny grains may be light,
But they can hold the ground tight.
I am not clean and do not flirt,
For I am just a simple blend of dirt.
What am I?"
whip,['blister'],I am cracked by Indiana Jones. What am I?,"

I am a treat, sweet and smooth,
But also known to make a loud ""whoosh!""
Made from dairy and sugar galore,
I'm a favorite dessert, that's for sure.
But whether you call me a dessert or a noun,
Just one word describes me, can you guess it now?"
traffic,"['crime', 'the street']","A long dense snake that makes me boil, The denser it is, the worse for all. It has no skin, nor scales, nor coil. But it moves along, speed down to a crawl. It has many voices. A rhythm, but no heart. You'll know when you see one; You might even take part. Escape from its clutches.can bring you some ease. Now you'll get where you're going.as fast as you please. What is it?","
What moves at a steady beat,
On the street where people meet?
It slows us down, it makes us wait,
But without it, commerce can't operate. 
What can make you stop in a flash,
But also bring a city cash?
A necessary evil, it's no trick,
It's the bane of every driver's pick."
statue,"['a museum', 'a park', 'a three dimensional sculpture', 'art', 'church', 'figure', 'a figure']","I am painted, I cannot run neither can I walk. what am I?","

I am a person made of stone,
A symbol of liberty, in this land we call home,
My majestic figure stands tall and strong,
A work of art, admired for so long."
question,"['answer', 'ask', 'asking', 'askin', 'askin’']",What am I?,"

I am often asked, but never answer
I am a puzzle, but not quite a dancer
Some call me a query, others call me a task
But I am simply a question, waiting to be asked."
buger,[],"I am green, sticky, and salty.  What am I?","

I am small and round, 
But not meant to be found, 
I come in many flavors, 
But none will savor, 
If you try to eat me, 
You will surely see, 
A disgusted look on your face, 
For I am not meant for this place. 
What am I?"
cross,"['christian', 'Christian', 'a follower of Christ', 'believe in Jesus Christ', 'bring an offering', 'christlike', '300412430-s']","I am often known as a symbol/mark, and can be used in a trend. I am created when two paths meet, but separate at the end. What am I?","

I am a symbol of faith,
With arms outstretched, I may cause some to wince,
For I represent the ultimate sacrifice,
In the story of Jesus on the cross I am a part,
Seen in churches and homes, I am both humble and grand,
People adorn me with flowers and lights,
As a reminder of the suffering, he endured in his final hours,
So tell me, can you guess, what am I in this puzzle of words?"
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']","Inside me the adventurous find Quests and treasures of every kind.  Trolls, goblins, orcs, and more, await Within my closed walls for All those that wish to visit me.  Your hands are the key To secrets untold, And your mind will unlock the door.  What am I?","

I am a tool for learning, 
In a library I am found beaming, 
For a writer, I am their tool, 
Filled with pages, I am a book, so cool."
wind,"['air', 'air in motion', 'be blowing hard', 'blow to the East', 'blows', 'blow']","All about, but cannot be seen, can be captured, cannot be held, no throat, but can be heard. What is it?","

I am the unseen force that moves with grace,
Blowing to the East, I'll keep up the pace.
Invisible and light, you'll feel my touch,
But without me, your candles wouldn't rush.
I am the gentle breeze, the air that blows,
But can also bring destruction, as everyone knows.
From the trees to the waves, I am always there,
Do you know my name? It's not hard to bear.
What am I, that's ever moving and unseen?
It's windy old me, the word we all know, the word is ""wind."""
swim,['action'],I am the only word that looks the same when spelt upside down. What am I?,"
I am a sport loved by many,
In a pool is where you'll find me!
I'll make sure you'll get all wet,
Even when you're just a little pet.
But beware, for my depths may be deep,
So make sure you know how to keep,
Your head above me and where to go,
Or you'll be in trouble, this I know!
What am I, you may ask?
Well, I'll give you a hint - I love water a lot,
For I am a word that rhymes with ""dim.""
So come on and take a chance,
Dive in and take a stance.
"
breath,"['air', 'bodily process']","If you held me for too long, you would die. What am I?","

I'm what keeps you alive, yet I cannot be seen,
A vital bodily process, that's where I've been.
A gas that you take in, and out you expel,
I am the reason for your body's swell.

I'm essential for life, I'm not just a whim,
You can't survive without me, it's oxygen I am.
So take a deep one, and let it all out,
I am the riddle, can you figure me out?

What am I? "
awake,"['alert', 'argus-eyed']",I am you when not asleep; And where the sad come to weep. What am I?,"
I'm what you feel when you yawn,
Yet elusive when sleep is drawn,
I'm what you do when your eyes are open,
And what you set when the clock is broken."
die,"['Die', 'ache']","Looking at my face, I'm no more than six.Look at the rest of me and I'm 21. You'll see my twin and me in Las Vegas.Say my name and you'd be uttering a threat.What am I?","

I am the end of life, the ultimate fate,
Without me, all beings would no longer take,
Some say I bring peace, others fear my visage,
For when I arrive, it's the end of all stages. 
Some call me death, others just passing,
But one thing's for sure, there's no escaping. 
When I come, you'll take your last breath,
For when I claim you, there's no coming back from death."
garlic,"['a ingredient', 'a popular ingredient', 'ajlo', 'beli luk', 'garlleg', 'usturoi', 'češnjak']","For nine months I grow and grow. Then finally my head will show.When I'm pulled from the bed I'm in.And someone gently cleans my skin. Strong and healthy is my mood. Soon I'll be into solid food. Some like my smell, some say it's rude, To most, I'm positively viewed. So who or what am I?","

I am a bulb that adds some spice
In dishes and soups, I'm oh so nice
Some call me ""česnjak"" in Croatia
But in any language, my flavor is majora!"
winnie the pooh,[],"i like honey and i dont like bee's, im am yellow-brown , what am i?","

I am a bear, oh so round and sweet
Children love me, and my tummy you'll often greet
Honey is my favorite treat
I'm a classic character, loved by all
Can you guess my name, big or small?"
nightingale,"['Florence Nightingale', 'a bird', 'mali slavuj']","My third in my first is most awful at sea, Yet many outlive it, so therefore may we. My first in my third is the charm of the wood.And type of whatever is noble and good: Do you ask for my second? - I've mentioned it twice, Nay, in these very lines you will meet with it thrice. What am I?","

I am a creature of flight,
With feathers shining so bright.
Named after a lady of grace,
Whose healing touch I can't replace.

Known for my captivating song,
In the darkness, I belong.
My beak may be small and frail,
But my melodies never fail.

At night, I spread my wings and sail,
In honor of Florence Nightingale.
A symbol of care and light,
I am the majestic Nightingale in flight. "
bird,"['a bird', 'a tree', 'animal', 'flying', 'flight']",In the morning I sing on feathered wing. I soar through the air without a care. What am I?,"

I am an animal so full of grace,
With wings to help me fly through space.
My melodies, they bring you joy,
A feathered friend that you can't avoid.

With every flutter and every note,
I lift your spirits and make you float.
In the sky, I am always free,
A symbol of happiness that you can see.

What am I, you may ask,
But for you, it's an easy task.
I am a creature so absurd,
But with my songs, you are happy like a bird."
kiss,"['brush your teeth', 'express that you love them', 'find someone to kiss', 'greet']","I am just two and two.  I am hot.  I am cold.  I am the parent of numbers that cannot be told.  I am a gift beyond measure, a matter of course.  I am given with pleasure when taken by force.   What am I?","

I'm an action of love, a symbol true
To show you care for someone, I'll do
With lips pressed soft, against theirs
I'll whisper ""I love you"" without any cares"
trade mark,[],"I make my mark on something of yours to make sure no one takes it. Sometimes I am so small that you can barely see me, but, beware! I'm there! I can appear in two different forms, and you'll C me on many boxes and cans.  What am I?","

I am something unique that sets a brand apart,
A symbol or design that's close to its heart.
Without me, they're just one among the many,
With me, their identity is distinct and plenty.
What am I? A company's coveted trade mark, 
Without which their success would be stark."
bridge,"['a bridge', 'a river', 'cross a bay', 'cross a river', 'cross over a body of water', 'cross water', 'crossing']","To cross the water I'm the way, For water I'm above: I touch it not and, truth to say, I neither swim nor move.What am I?","

I am a structure made of wood or stone,
Spanning over water I am known.
Crossing over me, you'll reach the other side,
Without me, you'll have to take a much longer ride. 
Without wings, I allow you to soar,
A necessary means to get to shore. 
What am I, a path above the tide,
That helps you safely cross over the divide?"
concrete,[],"I can flow like a river, and come from dust, I age hard as iron, but never rust. What am I?","

I'm solid and strong, but I'm not a rock
I'm used for sidewalks and buildings, not for a lock
My makeup is simple, just cement and sand
Can you guess what material I am?"
music,"['art', 'Art', 'an art', 'creative', 'be creative']","My stem's planted firmly where I am allotted. My tail is wavy and my face is quite blotted. I relay much emotion though flatly I'm spotted, And I grow half my size whenever I'm dotted. I can speak any language, yet utter no words. I'm no seed, yet I am well known among birds. But I do have a speech impediment: I can say cage but not page, aged but not wage. What am I?","

I am a sound that's calming and smooth,
My notes can put you in a tranquil groove.
I'll ease your mind and bring you peace,
My melody will make all your worries cease.
Play me and feel your worries disappear,
I am the perfect companion for relaxation, my dear."
chair,"['a chair', 'a cubicle', 'a desk', 'four']",I have 4 legs but never run. What am I?,"

I'm in the office, but I never leave my spot
I'm for sitting, but I don't have feet to trot
I'm a seat, but I never go anywhere
I'm next to a desk, yet I'm not a book or a chair
What am I? "
shoes,"['a box', 'a heel', 'clothing', 'place', 'protect feet', 'shoe', 'a closet', 'a foot', 'a shoe', 'covering']",When you stand up he sleeps When you sleep he stands Who is it?,"

""I am what you wear to protect your feet,
On your bed or in the closet, I'll greet.
Without me, your soles would be bare,
But with me on, you'll walk without a care."" 
"
light,"['a desk', 'electromagnetic radiation', 'energy']",I guide you but you can't hear me. Without me you would be lost. I keep going and won't be stopped. What am I?,"

I am a source of energy, bright and true,
Electromagnetic radiation, I radiate through,
On a desk, I am often found,
Providing power, to help you astound. 
What am I?"
Top hat,[],"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?","

I'm found on a gentleman's head,
But not worn while laying in bed.
You'll see me at fancy affairs,
But not at the beach in sun's glares.
I'm tall, black and quite formal,
What am I? Solve the riddle!"
mushroom,"['a fungus', 'agaric']","A room with no windows or doors, walks in the night, grows in a day, is found where there is death and decay. What is it?","

I am a delicious fungus,
That grows in the earth's lush bosom.
Some think I'm a veggie,
But I'm really a fungus, you see.
Full of umami flavor, and oh so plump,
Guess my name, it's not a slump.
In gardens and forests, I can be found,
A versatile treat, that's quite renowned.
From soups to risotto, I'm quite handy,
With my meaty texture, I'll make you dandy.
So tell me, oh riddle solver,
What am I, this tasty, curious problem solver?"
steps,"['path', 'stairs']","The more of these you take, the more appear behind you. What am I?","

I'm a way up in a building or an apartment,
A series of small squares, a path to ascent,
From bottom to top, I'll guide your feet,
Without me, climbing would be incomplete. 

What am I?"
sky,"['...fly a kite', 'above']",I AM BLUE AND WHITE ALL OVER.  WHAT AM I?,"

I am boundless, yet I have no end
I am above, yet I am not a friend
I am a canvas, for birds to fly
But I am still, never touch the ground before I die

My hue is cool, a deep sapphire blue
Occasionally painted with puffs of white too
I am adorned with cotton balls so high
But often they conceal, a sun or moon in the sky

Some see me as a clear and endless sea
While others find shapes in my vast beauty
No matter your view, I'll always remain
A reminder of freedom, an artist's terrain

"
stoplight,"['TrafficLight', 'brake system', 'ibo', 'InformationBearingObject', 'african']","I have three colors, each with a different meaning. When I'm old they become dull, but when I'm new they are gleaming. I help keep people safe, but sometimes they hate me. You won't see me in a forest, but you will in a big city. Some of me have short lengths, and some of me have long. And in the time that the longest of me take, you could sing a very long song. When my colors change, people get happy or sad, and when you guess what I am, you will be very glad. What am I?","

I am a visual signal,
A traffic light to be precise,
I help you stay safe and bright,
But at times I might just surprise.

My colors dictate the flow,
Of traffic on the road,
When I turn red, you know,
It's time to hit the brake mode.

I'm found at every corner,
Controlling the traffic's plight,
Without me, it's a disorder,
But with me, it's always just right.

What am I?"
mirror,"['a bedroom', 'a car', 'a surface', 'looking at yourself', 'ogledalo', 'see yourself']",I make two people out of one. What am I?,"

In a bedroom, you'll often find me,
A surface that reflects, you'll soon see,
Gaze upon me, and you'll see yourself clearer,
But don't forget to check your purse, my dear."
paper,"['book', 'burn', 'a burn', 'burn off', 'fire', 'heat']","I can be dropped from the tallest of buildings and survive,but drop me from the smallest ship and I won't.What am I?","

I am a canvas for words so fine,
Ink and graphite dance on my line.
A sturdy sheet, plain and neat,
Made from trees, my fibers meet.
Pure as snow, for thoughts to sprinkle,
What am I? A blank _____.
"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","I am long when I am born, but become shorter as you use me. What am I?","

I am used to write something on paper,
In a drawer, you'll often find me later,
Or in a pencil-case, I may be placed,
In a classroom, I am frequently embraced.
What am I?
"
calendar,"['a desktop', 'an office supply store', 'arrangement']",My days are numbered. What am I?,"

I can keep track of time,
But I'm not a clock or a chime.
I sit on your desk all day,
Helping you plan in every way.

You can find me in an office supply store,
But I'm not just a simple bore.
I'm full of dates and special days,
And making plans is just one of my ways.

A desktop is where I call home,
Without me, your schedule would roam.
I'm a must-have for any busy bee,
Can you solve this riddle and find me? "
pig,"['animal', 'bacon', 'Roger Bacon', 'a refridgerator']","I plow and plow, but never sow. What am I?","

I am an animal, though not very big
I'm often used to make some pork 
Some love me fried, others adore me on a bun
But you may forget about me when I'm hog. 
What am I? "
secret admirer,[],"If you don't know me, you are crushed.  If you do know me and you tell me no, I will be crushed.  What am I?","

I hide in the shadows, my feelings untold,
Always watching, but never bold.
I send you gifts and notes so dear,
But my identity remains unclear.
Who am I, this mysterious hillsider?
I'm your biggest fan, your secret admirer."
newspaper,"['a newspaper', 'ink and paper', 'the newspaper']",i am a paper with that you get every day or week i come in a paper bin what am i ?,"

Without any words, this thing can show,
Stories, comics, and even more.
Holding knowledge we need to know,
It spreads truth from shore to shore.
From local news to world events,
It carries information just like a map,
No need for internet or even cents,
In hand, always by our lap.
What am I, you may inquire,
A daily must-have, never seeming older,
Full of paper, ink, and fire,
The keeper of facts, the mighty ____. 
"
chick,"['animal', 'baby', 'a very young child', 'child', 'a school', 'anger his mother', 'become an adult']",im in a house.  theres no doors and no windows.  to get out i have to smash through the walls what am i?,"

I am small and cute, a bundle of joy,
I'm loved by all, a cherished toy.
From the egg I've hatched, all fluffy and soft,
In the brood I stay, never wander or trot.

With feathers so brown, and tiny beady eyes,
I scurry around, chasing butterflies.
A precious little one, oh how I'm adored,
But listen closely, for I am more!

My mother's a hen, she watches me close,
Protecting me always, from dawn to dusk.
My wings may be small, but I'm full of might,
I'll grow up strong, a"
cross,"['christian', 'Christian', 'a follower of Christ', 'believe in Jesus Christ', 'bring an offering', 'christlike', '300412430-s']","On Calvary. There were three, not six. Its also known. As a crucifix. What am I?","

I am a symbol of faith 
In Jesus I believe 
With arms outstretched 
I am worn on the chest, or hung above a door 
On my form, a figure of religious lore 
What am I? 
A powerful icon, not to be lost 
For I am the one and only cross."
turkey,"['Turkey', 'a country', 'a food', 'poultry', 'the oven']","My last half is something that can allow you entrance into a secured area, & I am also a nation.  Some people find me mouth watering.  What am I?","

I am a country known for my diverse culture,
I am also a food that's often served at the dinner table,
But before I can satisfy your taste buds, I must go in the oven,
Named after me, this bird is the star of Thanksgiving, 
What am I?"
gold,"['a precious metal', 'a soft metal', 'fort knox', 'metal', 'precious', 'dragocen']",Some people bite into it. But it is not a carrot. It is a precious metal. Thats pure 24 karat. What is it?,"

""I am a lustrous and valuable treasure, cherished by kings and measured in karats, when heated I turn a fiery hue, mix me with iron and I'll be bulletproof too - what am I?"""
hospital,"['a city', 'a hospital', 'emergencies']",A sign for this special building. Might only show its first letter. It is where you will get taken. When injured so you get better. What is it?,"

I am a place for healing and care,
When you're sick or hurt, I'll be there.
I am where doctors and nurses reside,
To tend to your wounds and ease your mind.

For broken bones and heart attacks,
I am the first place they'll take you back.
But prepare yourself for a wait,
As emergencies determine your fate.

The journey here may be rough,
But I'll give your health a gentle nudge.
Without me, things would be critical,
Guess the word, it's the one: hospital."
vacuum,"['a closet', 'clean the carpet', 'space']",I suck. What am I?,"

I am found in both outer space
And also within your closet's space
I help you clean and make no mess
When you vacuum, my power you harness

I am vital to keep your floors neat
Making sure no dust or crumbs compete
In carpets I leave no trace
As I suck up everything in my space

What am I, you may inquire
A necessary tool to clean and acquire
My job is simple, yet important in fact
I am the answer to this riddle, can you unpack?"
bread,"['a market', 'a store', 'baked']","I rise like the sun on a hot summer day. I come in many different kinds, For I am yours to devour. I'm to most people's likes, To others I'm not. What am I?","

I am a staple of many meals,
From toast to sandwiches, I have appeal.
Stored in a breadbox, I am kept fresh,
A loaf of me is all you need to nourish.
Made from wheat, I am kneaded and baked,
A comfort food that cannot be faked.
What am I, you might have guessed,
The answer is simple, I am bread at its best."
tree,"['a forest', 'a tree', 'branches', 'branch']","My bark is worse than my bite, Though I have no mouth. Graceful shadows play on the ground.Near my feet every evening. Thick, gnarled arms have I, Twisting up and about. I am garbed in jade, And placed next to a cerulean sky. Wind tosses my hands about, And howls through me at night. My heart is softer and smoother.Than my exterior. My influence is far spread, And sometimes devastating. So, what am I?","

I am a plant that will surely grow,
But grounded to the earth I will always know,
My trunk is strong, my roots are deep,
And shedding my leaves brings me no sleep. 
What am I?"
swan,['a bird'],"My dress is tranquil when I tread the earth,  or dwell at home, or drift on the water.   Sometimes my wings and this wide sky  lift me over the dwellings of men,  and then strong clouds carry me  over the people.  My ornaments  echo loudly and melodiously,  Illustriously sing when I am not near  the earth and stream, a sailing spirit.   What am I?","
I gracefully glide upon the lake,
With feathers white, my beauty is no fake.
My long, elegant neck, so sleek and long,
A symbol of grace, in many a song.

I am known for my loyalty and love,
And often paired with a gentle dove.
Though I may seem regal and mild,
My wings can give a mighty, fierce wild.

What bird am I, so noble and grand?
With my long beak, I can scoop up sand.
My mate and I, a vision of love,
A symbol of purity, sent from above.

In ancient tales, I am a muse,
A mystical creature"
