starters,generated_riddles,reference_riddles
fingerprints,I am a thing that can be used to make snout. I can make you look like he's stealing. What am I?,"Everyone has me except for a few. You may not be able to identify me but I can always identify you. What am I?""
"
bat,"I am a bird that is able to fly. I can fly but cannot fly, I have no legs. What am I?","I see without seeing. Noise is an ally. What am I?'
"
A Tablet.,"I have a head but no eyes. I can be used to read, but I cannot read. What am I?","A riddle in which the answer is a 6 letter word.A monument - men all agree - am I in all sincerity. Half cat, half hindrance made. If head and tail removed should be, then most of all you strengthen me; replace my head, then stand you see on which my tail is laid. What is it?'
"
smoke,"I am a thing that can be seen, but I can't be heard. What am I?","What is it that makes tears without sorrow and takes its journey to heaven? what am i ??""
"
eye,I am a word that can be used to describe sex. I can also be referred to as feisty. What am I?,"Round as a marble, blue as the sea, unless I am brown or grey maybe! Smile and I shine my window pane, Frown at me and down comes my rain.  I see all things, but nothing I hear, sing me to sleep and I disappear.  What am I?'
"
eightball,I am a ball that is round and round. I have ten legs but I'm not able to fly. What am I?,"Shoot at me a thousand times and I may still survive; one scratch from me and you will find your prospects take a dive.  What am I?""
"
coal,"I am a type of coal. I can be made of wood or coal, I have sand or tar. What am I?","Black I am and much admired, Men seek me until they're tired. When they find me, they break my head, And take from me my resting bed.  What am I?""
"
glass,I am a glass that is made of glass. I can be made from glass but I cannot be used. What am I?,"Though liquid in nature, don't push me too far; for then I will break, and the damage may scar.     What am I?""
"
sun,I am a color that is bright and yellow. I can be coloured or red. What am I?,"I go around and in the house, but never touches the house. What am I?'
"
The word Pig.,"I am a pig, I have no legs, but I can fly. What am I?","My first is twice in apple but not once in tart. My second is in liver but not in heart. My third is in giant and also in ghost. Whole I'm best when I am roast.\xc2\xa0 What am I?""
"
leaf,I am a leaf that is surrounded by trees. I can be sand or moss. What am I?,"I am in the sky but also in the ground. When you study me, no matter how long, I will always end with an f. I may be in your yard but not in your house. What am I?'
"
tablet,I have a mouth but no mouth. I can be used to make ice. What am I?,"A riddle in which the answer is a 6 letter word. A monument - men all agree - am I in all sincerity. Half cat, half hindrance made. If head and tail removedshould be, then most of all you strengthen me; replace my head, then stand you see on which my tail is laid. What is it?'
"
It is a chair.,"I am a chair, but I'm not teddy bear. What am I?","I have four legs and one back, yet I can't walkWhat am I?""
"
bullet,I am a weapon that can be used to kill people. What am I?,"I hide in a dark tunnel awaiting my time. I can only be released by pulling back. Once released, I may do unstoppable damage. What am I?'
"
triangle,"I am a triangle, but I'm not curved. I can be twisted, or spelled, and I have ten legs. What am I?","It's equally comfortable in an orchestra and a geometry textbook. What is it?""
"
moon,I am a planet that is surrounded by stars. I have ten legs but no legs. What am I?,"I am up when you are not.  I am cold when you are hot.  What am I?'
"
ivy,"I am a solitary thing, I can be thrown, and I have no legs. What am I?","My first two letters say my name. My last letter asks a question. What I embrace I destroy. What am I?'
"
window,I have a door but no door. I can be slammed but not tucked away. What am I?,"When you need a view, look at me, Though I am not what you see. Go ahead and take a stare, I protect you from the elements, yet block you from fresh air. I can be opened, or remain closed. Though when I'm open, you're exposed. What am I?""
"
drone,"I fly, I land, and I travel. What am I?","I have mobility which is three-dimensional.I am both innovative and unconventional. Diverse are my possibilities for deployment.One of these may be simply for your own enjoyment. I am a servant and you can become my master.But using me in the wrong place could spell disaster. A person or a computer controls my motion.I provide a vantage point over land or ocean. I am a tool for a practical application.Or I am simply a toy for your recreation. What am I?'
"
iron ore,I am a metal that is rusty and i am not sand. What am I?,"Ripped from my mother's womb. Beaten and burned, I become a bloodthirsty killer. What am I?""
"
fear,I am a word that is used to describe fear. I can be used in many ways. What am I?,"I make you sweat  I make you make noise  I make you move  I cause wars  I make you scared   but you cannot scare me  what am I?'
"
tick tock clock,"I have a head but no head, I'm not able to see, but I can see. What am I?","12 little figures  in a circle,round  No legs but 2 hands  And a special sounf  WWHAT AM I?""
"
shadows,"I am a thing that can be seen, but I can't be heard. I have no eyes, yet I'm surrounded by sand. What am I?","Everywhere it lurks, unsettling men and unnerving children. In a house it visits, in a cave it dwells. One light can put it to flight and make it retreat. Yet you can never escape it, for it is always there. What is it?""
"
jelly,I am a fruit that is shaped like ice. I can be spelled like an apple. What am I?,"i am soft yet hard, i am fruity yet sweet, i am liquid yet solid, i am colourful yet clear. . . . . what am i??'
"
shoes or boots,"I have a head but no head, I'm not bare, but I can be worn. What am I?","I run in feilds and streets and at night i'm under the bed ready to be feed the next day.  What am I?""
"
Snape,I am a man who is able to see and see. I have ten eyes and he has four eyes. What am I?,"Masks I wear many,But not many see behind them.Always rejected. Except by those dark as the one I despise.I hate and I fear One of whom I will not speak. Yet I throw myself continually at his feet.I am continual.When all other hope is gone, I remain.Those I defend I do not love,And those I fight I cannot hate.The one who hates me most. Is the one I will die to protect.WHO AM I?'
"
tongue,I am a word that is used to describe sex. I can be used for many reasons. What am I?,"I have a towel that never gets dry. What is it?'
"
Wednesday,"I am a day of slumber, I'm surrounded by twigs, and i'll be thrown away by the sun. What am I?","I last for a day, I always am in the middle, I have a name. What am I?""
"
scissors,"I can cut, I have no legs, but I'm sharp. I am sharp, and I make a sharp object. What am I?","Place your fingers in my eyes, and I will open my jaws to devour paper and cloth. What am I?""
"
penny,"I am a pound, but I'm not able to eat. What am I?","Im small and sometimes wortheless I sit there and look times as you pass me by I can not move but I wish I can if im found its a good thing but only if I cant see you what am I?""
"
Mercury,"I am a planet that is surrounded by ice. I have sand and mud, but I'm not able to breathe. What am I?","I'm a god, a planet, and measurer of heat. Who am I?""
"
anchor,I am a type of anchor. I can be used to anchor boats. What am I?,"You throw me out when you need me; you bring me back when you're done. What am I?""
"
cat nine lives ,"I am a cat that has no legs, but has ten legs. What am I?","I am one with eight to spare, lest I lose my one.   I'm not a number.   What am I?""
"
sand,"I am a type of rock, I can be sand, or mud. I have ten legs, but I'm not able to walk. What am I?","I can be found on paper or sitting in a bar. I can be found next to money that won't get you far. I share something in common with wheat and rice, Though you wouldn't want to eat me because I don't taste nice. I can be kept in a box as well as keep time. Can you come up with an answer to go along with this rhyme?  What am I?""
"
planet,"I am a planet, but I'm not able to live. I have many stars, yet I can't see. What am I?","I am used to the cold and I am a big thing.What am I?""
"
honor,"I am a word that is given to whoever is wrong. I can be used to make sex, but I cannot be given away. What am I?","I am a word of distinction; describing society, system, and roll. I am sometimes seen with guard when death takes a toll. I will often accompany a student, or am a title of recognition. I can even give you credit in a competition. What am I?'
"
Your Temper.,"I am a sandstone, i am the king, and if you touch me, I will be able to see. What am I?","You must keep this thing, its loss will affect your brothers. For once yours is lost, it will soon be lost by others. What is it?'
"
universe,"I am a universe, but I'm not able to live. I have many different things, and I can be manipulated. What am I?","Inside me, there is a teacup, a planet, a shelf, and you! What Am I?""
"
gravity,"I am a force that can be thrown, but I can't be held. What am I?","I am the thing that is used to make your weight. What am i?""
"
sunlight,I am a light source that can be seen in the sky. I can make you feel like you are in sand. What am I?,"I am always on top of things, yet I can reach the bottoms of the ocean.   I feel good, yet I hurt and sting.   You can capture me, but you can't hold me.   With too much of me, you can't see and with not enough of me, you can't see!                     What am I?""
"
glove,I have a head but no arms. I can be used to make shit. What am I?,"Four fingers and a thumb, Yet flesh and blood, I have none. \xc2\xa0 What am I?'
"
bell,I am a bell that is surrounded by horns. What am I?,"You hear it speak, for it has a hard tongue.  But it cannot breathe, for it has not a lung.    What is it?'
"
rainstorm,I am a storm that is slender and i am not able to move. What am I?,"I heard of an invading, vanquishing army sweeping across the land, liquid-quick; conquering everything, quelling resistance. With it came darkness, dimming the light. Humans hid in their houses, while outside spears pierced, shattering stone walls. Uncountable soldiers smashed into the ground, but each elicited life as he died; when the army had vanished, advancing northward, the land was green and growing, refreshed. What is it?'
"
pig,"I am a pig, I have no legs, but I can be snared. What am I?","I am pink I have a curly and I am fat what am I?'
"
imagination,"I am a thing that can be created, but I can't be used. I have many forms, yet I'm not able to be seen. What am I?","If you look you cannot see me. If you see me you cannot see anything else. I can make anything you want happen, but later everything goes back to normal. What am I?""
"
fish,I am a fish that is spelled out in the middle of the sea. What am I?,"This is what some people do,For a compliment or two,Anglers do it on a bank,Others keep theirs in a tank.What am I?'
"
truth,"I am the truth, but I'm not the answer. What am I?","I'm simple for a few people. But hard for them to hear. I live inside of secrets. I bring people's worst fears. What am I?""
"
stapler,I am a tool that can be used to make sand. I can make holes in tins. What am I?,"I have fangs and enjoy piercing holes with a single bite. What am I?'
"
piston,"I am a type of wing, I can be spelled, or I have ribs. What am I?","I have two rings. I move by request. If the mixture is not right, I just sit at rest. What am I?'
"
balance,I am a measure of balance. I can be measured by the number of points. What am I?,"A natural state, I'm sought by all.  Go without me, and you shall fall.  In times past you'd me when you spend, and use me when you eat to no end.   What am I?""
"
spider,I am a spider that is spelled out in the middle of the sky. What am I?,"I create my lair with earthen string and dispatch my prey with a biting sting. What am I?'
"
Stampede.,"I am a smattering of gold, silver, and silver. What am I?","I am heard before I am seen. Startled and I am alive. I rumble like thunder, yet I pour like rain. I am felt before I arrive; stand with me and you won't survive. What am I?""
"
snail,"I am a snail, I have no mouth, but I can be snared. What am I?","I like to roam but I'll always stay home, I leave a silver track, If you carried what I could carry with the way I moved , You'd break your neck and back. What am I?""
"
headache,I am a word that is used to describe screams. I can be pronounced as if you are noticing me. What am I?,"I am like thunder in your cranium. What am I?'
"
apology,"I am a word that is used to describe remorse. I can be used in shambles, tumbling, and rumbling. What am I?","I would see all anger ended; Words retracted, tensions mended. I would see your ties restored; For disagreement, I abhor. What am I?'
"
tree,I am a tree that is surrounded by trees. I can be sown or bare. What am I?,"What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?""
"
The wind.,"I am a creature that can fly, but I can't fly. What am I?","I pass before the sun, yet make no shadow. What am I?""
"
A plant.,"I am a plant that is surrounded by trees. I can be found in sand, but I'm not rotting. What am I?","I do not eat food but I enjoy a light meal everyday. What am I?""
"
combination lock,I have a lock but I'm not able to lock. I can be used to move but you can't lock me. What am I?,"I have many numbers, usually 50.  But, of those numbers, showing are only 13 minus 3. I am usually heavy, though I am small in size.  I can be used for storing a prize! I come with a special code of sorts, usually numbers 3.  Sometimes memorization can be hard, or easy!  What Am I?""
"
zombie,"I am a creature that kills humans. I have no legs, but I can be seen. What am I?","I walk very slowly, but do not exist. Many people think I'm cool and want to be me. I am very easy to avoid but not as easily defeated. Many horror movies hold me, but do not. What am I?""
"
infinity,"I am a planet, but I'm not able to move. I can be viewed in many different ways. What am I?","I am a number but I am countless, I am compared with other things but nothing compares to me. What am I?""
"
candy cane,I am a candy that is shaped like sand. I can be thrown in twigs and i can eat ice cream. What am I?,"I have stripes but I'm not a zebra. I look like a hook but have nothing to do with Peter Pan. I'm normally red and white but I'm not the Canadian flag. I can be eaten but I'm not a strawberry jelly sandwich. I'm minty but I'm the opposite of toothpaste. What am I?""
"
moon,I am a planet that is surrounded by stars. I have ten legs but no legs. What am I?,"I am up when you are not. I am cold when you are hot. What am I?'
"
banana,I am a fruit that is ripe and I can be sliced and sown. What am I?,"I am green or brown and I have a frown. But sometimes I am yellow and my frown is upside down. What am I?'
"
tree,I am a tree that is surrounded by trees. I can be sown or bare. What am I?,"I reach for the sky, but clutch to the ground; sometimes I leave, but I am always around. What am I?'
"
fridge,"I am a place where you can store food. I can be used for food, but I have no food to eat. What am I?","People make jokes about me running. I store items for you so they don't go bad. I light up when you open the door. What am i?""
"
lifeguard.,"I am a person who is always in danger. I can be solitary, but I cannot be seen. What am I?","My first four letters describe all living things. My last five letters are another word for a knight. My job is to save you, and I'm a fan of water. Who am I?""
"
volcano,"I am a volcano, I have no wings, but I can fly. What am I?","The thunder comes before the lightning, and the lightning comes before the cloud, the rain dries all the land it touches, wrapping the earth in a blood red shroud what am i ??'
"
loneliness,I am a word that can be found in many places. I can come in countless forms. What am I?,"I can fill a room or just one heart. Others can have me, but I can't be shared. What am I?""
"
Your birthday.,I am a birthday present. I can be thrown or tossed. What am I?,"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.What am I?'
"
drugs,"I am a substance that can be used to kill people. I can cause harm to people, but I cannot be treated. What am I?","I will go within you, and destroy you. Only because you wanted me too. What am I?'
"
tennisball,I am a ball that is thrown at the end of the day. What am I?,"It is yellow and you can serve it but not eat. What is it?'
"
coffin,I am a piece of wood. I can be made of any kind. What am I?,"The person who built it sold it. The person who bought it never used it. The person who used it never saw it. What is it?'
"
cheese,"I am a cheese that is sliced and sour. I can be thrown into ice, or tossed into the air. What am I?","Not born, but from a Mother's body drawn, I hang until half of me is gone. I sleep in a cave until I grow old, then valued for my hardened gold. What am I?""
"
skin,I am a skin that is shaped like sand. I can be coloured like gold. What am I?,"You'll find me all around you; I can be clear but not seen through; If I get cut you can glue me shut, but I can do it too. What am I?""
"
History.,I am a word that is used in many different ways. I can be spelled out in ten letters. What am I?,"You will always find me in the past. I can be created in the present, But the future can never taint me. What am I?'
"
fan,I am a fan of the sun. I can be spelled out in tin. What am I?,"Take me for a spin and I'll make you cool, but use me when it's cool and you're a fool. What am I?""
"
dream,I am a word that can be used to describe sex. I can also be referred to as fright. What am I?,"I may seem real yet I am not, Once you're gone I'm often forgot. Time here stretches and it shrinks, It all depends on how you think. I may be good, I may be bad, I may be the same as one you've had. What am I?""
"
garlic,I am a vegetable that is sliced and sown. I can be used to make ice cream. What am I?,"I stink up your breath and fights evil vampires. What am I?'
"
trust,"I am a thing that can be shared, but I can't be used. I have no power, yet I'm always there. What am I?","I take months to build, seconds to destroy, and years to rebuild. What am I?""
"
road,I am a road that is paved and surrounded by trees. What am I?,"It cannot run.It cannot walk.It never gets tired.Though it goes on for a long time.It might never die.All of them lead to Rome.What is it?'
"
black hole,I am a place where people can see me. I can be found in many places. What am I?,"I have no arms or legs  I suck up things  I am mostly black  what am I'
"
air,"I am a substance that can be spelled, but I can't be used. What am I?","I can be thin but not fat, In your body but never on your placemat.I'm always better when I'm fresh,but you'll never see me in the flesh.What am I?""
"
island,I am a place where people can live. I have sand and mud. What am I?,"The first third of me.A form of to be.My last two thirds.Post-flight do birds.My whole surrounded by sea. What am I?'
"
glasses,"I can be a slender object, I have curved eyes, but I cannot see. What am I?","I can see when I am with with you but I am blind when alone. What am I?'
"
trampoline,I am a type of animal that can be ridden by tyres. What am I?,"I am bouncy but I am not round. I can be above or in the ground. What am I?'
"
I am a leg.,"I am a leg, I can be slender, and I have no legs. What am I?","I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me every day. What am I?'
"
tooth,"I am a thing that can be spelled out, but I can't be seen. What am I?","I'm white, and used for cutting and grinding. When I'm damaged, humans usually remove me or fill me. For most animals I am a useful tool.  What am I?""
"
im playing monopoly,"I am a game that you can play. I can be played by scouts, chess kings and crocodiles. What am I?","I push a car and pay a fee then I push the car again and buy a house.  What am I doing'
"
hail,I am a word that is used to describe sand. I can be thrown or tossed. What am I?,"I'm done to the chief, And to the king too; A liquid formed to stone, I can hit and hurt you. What am I?""
"
melody,"I am a song that is spelled out in ten lines. I can be thrown out of the air, or tossed out to the ground. What am I?","I am the result of a creative mind, and I keep evolving through time, I can be written down on a paper, but it wont be with a common letter, I am experienced through a clever design, but still I can get stuck in your mind. What am I?'
"
yarn,"I am a slender, twisted, and tame-tasting yarn. What am I?","I'm found in socks, scarves and mittens. I'm found in the paws of playful kittens. What am I?""
"
jesus christ,"I am the son of Jesus, and the father of the Son of God. What am I?","Rich people need it, so does the poor, a man loves it more than life, and a woman loves it more than her husband.   What is it?'
"
yourword,I am a word that is used to describe sex. I can be used in rewords. What am I?,"You cannot keep me until you have given me what am i?'
"
A bed.,"I am a bed that is made of wood, but I\'m not rust. What am I?","I know a place where fellows go without a shoe or stocking. And no one tells them, ""Go away!"" Or thinks their costume is shocking. Each year I spend much of my time In that delightful place, And while I\'m there, they don\xe2\x80\x99t expect a boy to wash his face. What am I?'
"
answer is a snowflake,I am a bird that is shaped like sand. I can be spotted by teddy bears. What am I?,"if you eat something that you can find outside and you won't die from it.  what is it?""
"
nightmare,"I am a nightmare, I can be scary, and I have no fear. What am I?","I am the horse that is feared the most, I am the mare that has no hair, all do ride on what I provide, with breath of fire. Now what is dire?  What am I?'
"
slot machine,"I have a head but no head, I can be snared but I'm not able to move. What am I?","I could be on the river or in the desert.I could be in the swamp or a sparkling city.I am rather rectangular and can make lots of noise.I have bright lights and pictures too.They bring their cups and buckets and feed me well.They want me all to themselves quite greedily.When finally I am full and can take no more.I am suddenly everyone's new best friend.What am I?""
"
im a stapler,I am a tool that can be used to make sand. I can make holes in tins. What am I?,"With pointed fangs it sits in wait,   With piercing force its doles out fate,   Over bloodless victims proclaiming its might,   Eternally joining in a single bite.    What am I?'
"
originality,"I am the only thing that is true, but I'm not the one that can be true. What am I?","I don't have a predecessor.You've seen nothing like me before. If not for creativity.There wouldn't be a place for me. Thankfully, the world we live in.Will never stop discoverin'. Otherwise, I would not exist.And monotony would persist. What am I?""
"
Light.,"I am a light that can be seen, but I can't be heard. What am I?","I bend but I never break. What am I?""
"
black hole,I am a place where people can see me. I can be found in many places. What am I?,"I am dark, nobody can see me, I'm very far, nothing can escape me.  What am I?""
"
elevator,I am a place where people can walk. I can be used for many reasons. What am I?,"All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?""
"
Yarn.,I am a word that is used to describe sand. I can be found in many places. What am I?,"I'm found in socks, scarves, and mittens. I'm found in the paws of playful kittens. What am I?""
"
crop duster,"I am a solitary thing, I have no legs, but I can be bare. What am I?","My first may be in a farmer's prayer.My second improves a surface layer.My whole is a large-scale insect sprayer. What am I?""
"
clouds,"I am a solitary thing, I can be surrounded by clouds, but I cannot be seen. What am I?","I am a faucet. I am a protector.  I am a weather predictor.  I come in many colors but, I am mainly white.  I often hang out with the sun.  Who am I?'
"
life,"I am a thing that can be lived, but I can't be made. What am I?","Some say I'm not fair. Some say I'm too short. Many make the most of me. Some people hate me. People talk about me a lot. What am I?""
"
scarecrow,"I am a solitary animal, I have ten legs, and I can be twirling. What am I?","I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain.  What am I?""
"
The letter U.,I am a letter that is spelled in the middle of the letter. What am I?,"This makes the heart grow ""FOUNDER""... Not FONDER. What is it?'
"
A peanut.,"I am a fruit, but I'm not nut. I can be sliced, or shaved. What am I?","I'm a seed that's underground. Many like to spread me around. But my family it's said is quite insane. And if you've a low I.Q. you've this kind of brain. Eat me raw and I'll make you sick. Eat too much and your tongue will stick.What am I?""
"
Soap.,"I am a liquid that is used to make ice. I can be used in sand, or in water. What am I?","My shape and sizes differ. Every time you dip me in water, I become smaller. What am I?'
"
sand,"I am a type of rock, I can be sand, or mud. I have ten legs, but I'm not able to walk. What am I?","To you I am nothing, Except a small speck. Yet I tell a huge story. I am older than you can think, Yet most people walk on me at least once. What am I?""
"
whip,"I am a slender animal, I can be thrown, and I have no legs. What am I?","I am cracked by Indiana Jones. What am I?'
"
traffic,"I am a thing that can be spelled out, but I can't be seen. I have no legs, yet I'm able to walk. What am I?","A long dense snake that makes me boil, The denser it is, the worse for all. It has no skin, nor scales, nor coil. But it moves along, speed down to a crawl. It has many voices. A rhythm, but no heart. You'll know when you see one; You might even take part. Escape from its clutches.can bring you some ease. Now you'll get where you're going.as fast as you please. What is it?""
"
statchu,"I am a solitary creature. I have no legs, but I can be ridden. What am I?","I am painted, I cannot run neither can I walk. what am I?'
"
question,I am a question that is not spelled. What am I?,"What am I?'
"
buger,I am a bird that is spelled out in tin. I have ten legs but no arms. What am I?,"I am green, sticky, and salty.  What am I?'
"
cross,I am a word that is used to describe sex. I can be referred to as'sea' or sa. What am I?,"I am often known as a symbol/mark, and can be used in a trend. I am created when two paths meet, but separate at the end. What am I?""
"
book,"I am a book that is shaped like sand. I can be found in tin, paper, or paper. What am I?","Inside me the adventurous find Quests and treasures of every kind.  Trolls, goblins, orcs, and more, await Within my closed walls for All those that wish to visit me.  Your hands are the key To secrets untold, And your mind will unlock the door.  What am I?'
"
\'Just one word\'.,"I am a word that is not pronounced. I can be spelled, or if you say ""Just one word"". What am I?","Re-arrange the letters, O O U S W T D N E J R, to spell just one word. What is it?'
"
The wind,"I am a sand, I'm surrounded by water, and I can be blown up. What am I?","All about, but cannot be seen, can be captured, cannot be held, no throat, but can be heard. What is it?""
"
swims,"I am a sport that is mainly used for swimming. I can be sexy, but I'm not tepid. What am I?","I am the only word that looks the same when spelt upside down. What am I?""
"
breath,"I am a thing that can be used to make screams. I can make you laugh, but I cannot make people laugh. What am I?","If you held me for too long, you would die. What am I?'
"
awake,I am a word that is used to describe sex. I can be tense or fright. What am I?,"I am you when not asleep; And where the sad come to weep. What am I?'
"
die,I am a word that is used to describe sex. I can be thrown or tossed. What am I?,"Looking at my face, I'm no more than six.Look at the rest of me and I'm 21. You'll see my twin and me in Las Vegas.Say my name and you'd be uttering a threat.What am I?""
"
garlic,I am a vegetable that is sliced and sown. I can be used to make ice cream. What am I?,"For nine months I grow and grow. Then finally my head will show.When I'm pulled from the bed I'm in.And someone gently cleans my skin. Strong and healthy is my mood. Soon I'll be into solid food. Some like my smell, some say it's rude, To most, I'm positively viewed. So who or what am I?""
"
winnie the pooh ,"I am a solitary animal. I have no legs, but I can be thrown. What am I?","i like honey and i dont like bee's, im am yellow-brown , what am i?""
"
Nightingale,I am a word that is used in syllables. I can be found in many different languages. What am I?,"My third in my first is most awful at sea, Yet many outlive it, so therefore may we. My first in my third is the charm of the wood.And type of whatever is noble and good: Do you ask for my second? - I've mentioned it twice, Nay, in these very lines you will meet with it thrice. What am I?""
"
bird,I am a bird that is spelled out in the middle of the sky. What am I?,"In the morning I sing on feathered wing. I soar through the air without a care. What am I?'
"
im a kiss,I am a word that is used to describe sex. I can be referred to as'savage' or if you are able to see me. What am I?,"I am just two and two.  I am hot.  I am cold.  I am the parent of numbers that cannot be told.  I am a gift beyond measure, a matter of course.  I am given with pleasure when taken by force.   What am I?""
"
trade mark,I am a word that is used to describe sex. I can be used for anything. What am I?,"I make my mark on something of yours to make sure no one takes it. Sometimes I am so small that you can barely see me, but, beware! I'm there! I can appear in two different forms, and you'll C me on many boxes and cans.  What am I?""
"
"I am a bridge, to help you cross.","I am a bridge, to help you cross. I can help people cross, but I cannot be spelled. What am I?","To cross the water I'm the way, For water I'm above: I touch it not and, truth to say, I neither swim nor move.What am I?""
"
concrete,"I am a type of concrete, but I can be made of wood. What am I?","I can flow like a river, and come from dust, I age hard as iron, but never rust. What am I?'
"
music,"I am a thing that can be heard, but I can't be seen. I have many forms, yet I'm not able to be understood. What am I?","My stem's planted firmly where I am allotted. My tail is wavy and my face is quite blotted. I relay much emotion though flatly I'm spotted, And I grow half my size whenever I'm dotted. I can speak any language, yet utter no words. I'm no seed, yet I am well known among birds. But I do have a speech impediment: I can say cage but not page, aged but not wage. What am I?""
"
chair,I am a chair that is made of wood. I have legs but no legs. What am I?,"I have 4 legs but never run. What am I?'
"
shoes,I am a type of shoes. I can be worn in sand or on ice. What am I?,"When you stand up he sleeps When you sleep he stands Who is it?'
"
light,"I am a light that can be seen, but I can't be heard. What am I?","I guide you but you can't hear me. Without me you would be lost. I keep going and won't be stopped. What am I?""
"
Top hat,I am a hat that is worn by all. I can be worn in sand or on ice. What am I?,"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?""
"
Mushrooms.,I am a type of food that is used to make food. I can be spelled out as if it was thrown. What am I?,"A room with no windows or doors, walks in the night, grows in a day, is found where there is death and decay. What is it?'
"
steps,I am a word that is used to describe ten steps. I can be long or short. What am I?,"The more of these you take, the more appear behind you. What am I?'
"
sky,"I am a place where you can see me. I can be shattered, but I cannot be seen. What am I?","I AM BLUE AND WHITE ALL OVER.  WHAT AM I?'
"
stoplight,"I can be seen in a light, I am not able to see in the sky, but I have no eyes. What am I?","I have three colors, each with a different meaning. When I'm old they become dull, but when I'm new they are gleaming. I help keep people safe, but sometimes they hate me. You won't see me in a forest, but you will in a big city. Some of me have short lengths, and some of me have long. And in the time that the longest of me take, you could sing a very long song. When my colors change, people get happy or sad, and when you guess what I am, you will be very glad. What am I?""
"
A mirror.,"I am a mirror, but I'm not able to see. What am I?","I make two people out of one. What am I?""
"
paper,"I am a type of paper that is used to make things. I can be used for many things, but I cannot be found in tin. What am I?","I can be dropped from the tallest of buildings and survive,but drop me from the smallest ship and I won't.What am I?""
"
pencil,I am a tool that can be used to make pens. I can make pencils. What am I?,"I am long when I am born, but become shorter as you use me. What am I?'
"
calendar,I am a calendar that is numbered every day. I have ten days in which you can see me every week. What am I?,"My days are numbered. What am I?'
"
pig,"I am a pig, I have no legs, but I can be snared. What am I?","I plow and plow, but never sow. What am I?'
"
secret admirer,I am a person who has no interest in me. I have no desire to be admired. What am I?,"If you don't know me, you are crushed.  If you do know me and you tell me no, I will be crushed.  What am I?""
"
newspaper,"I am a type of paper. I can be found in tin, paper, or paper; I have ten letters, but I'm not able to read. What am I?","i am a paper with that you get every day or week i come in a paper bin what am i ?""
"
chick hatching in an egg,I am a bird that is shaped like sand. I have ten legs but no legs. What am I?,"im in a house.  theres no doors and no windows.  to get out i have to smash through the walls what am i?'
"
cross,I am a word that is used to describe sex. I can be referred to as'sea' or sa. What am I?,"On Calvary. There were three, not six. Its also known. As a crucifix. What am I?""
"
turkey,I am a turkey that is surrounded by sand. I have ribs and ham. What am I?,"My last half is something that can allow you entrance into a secured area, & I am also a nation.  Some people find me mouth watering.  What am I?'
"
gold,"I am a gold that is spelled out in the middle. I can be coloured in tequila, or i can make ice. What am I?","Some people bite into it. But it is not a carrot. It is a precious metal. Thats pure 24 karat. What is it?'
"
hospital,"I am a place where people can stay. I have ten rooms, but I can't be found. What am I?","A sign for this special building. Might only show its first letter. It is where you will get taken. When injured so you get better. What is it?""
"
vacuum,I am a device that can be used to clean the house. I can also be sprayed with hoses. What am I?,"I suck. What am I?'
"
bread,I am a food that is made of bread. I can be made with ham or sour cream. What am I?,"I rise like the sun on a hot summer day. I come in many different kinds, For I am yours to devour. I'm to most people's likes, To others I'm not. What am I?""
"
tree,I am a tree that is surrounded by trees. I can be sown or bare. What am I?,"My bark is worse than my bite, Though I have no mouth. Graceful shadows play on the ground.Near my feet every evening. Thick, gnarled arms have I, Twisting up and about. I am garbed in jade, And placed next to a cerulean sky. Wind tosses my hands about, And howls through me at night. My heart is softer and smoother.Than my exterior. My influence is far spread, And sometimes devastating. So, what am I?'
"
swan,I am a bird that is spelled out in the middle of the sky. What am I?,"My dress is tranquil when I tread the earth,  or dwell at home, or drift on the water.   Sometimes my wings and this wide sky  lift me over the dwellings of men,  and then strong clouds carry me  over the people.  My ornaments  echo loudly and melodiously,  Illustriously sing when I am not near  the earth and stream, a sailing spirit.   What am I?'
"
doorbell,I can be heard but I cannot hear. I have a head but cannot see. What am I?,"I never ask questions, but I am always answered. What am I?'
"
comb,I am a tool that can be used to make combs. I can make the sand rusty. What am I?,"Metal or bone I may be, many teeth I have and always bared, yet my bite harms no one and ladies delight in my touch. What am I?'
"
snake,I am a snake that is spelled out in the middle of the earth. What am I?,"I hiss. I can be poisonous. I am long. I have a forked tongue.   What am I?'
"
fear,I am a word that is used to describe fear. I can be used in many ways. What am I?,"I make you're hands sweat and your heart cold.           What am i??????""
"
your photograph,I am a piece of paper. I can be framed or re-framed. What am I?,"What is it that someone else has to take before you can get it?'
"
Tuesday,I am a day of mourning. I'm surrounded by people who mourn me. What am I?,"I am a bit bad but before me was the worst, and I already know that after me will be better, However im not singular but infact 24. Who am I?""
"
