Words,DFSConcepts,GoldRiddle,GenRiddle
rainstorm,[],"I heard of an invading, vanquishing army sweeping across the land, liquid-quick; conquering everything, quelling resistance. With it came darkness, dimming the light. Humans hid in their houses, while outside spears pierced, shattering stone walls. Uncountable soldiers smashed into the ground, but each elicited life as he died; when the army had vanished, advancing northward, the land was green and growing, refreshed. What is it?","

The clouds are dark, the sky is torn
Prepare yourself for a wild morn
A tempestuous event will soon form
Nature's fury, the mighty rainstorm"
pig,"['animal', 'pork', 'bacon', 'բեկոն']",I am pink I have a curly and I am fat what am I?,"

I am an animal with a curly tail,
My meat known as pork never fails.
Cook me up, I'll sizzle and fry,
Crispy bacon, oh how I make you sigh.
In Armenian, I am called բեկոն,
Now guess my name, hear me oink and groan."
imagination,[],"If you look you cannot see me. If you see me you cannot see anything else. I can make anything you want happen, but later everything goes back to normal. What am I?","

I am a world without limits
Where thoughts run wild and free
I have no bounds or regulations
For I am called ""imagination"""
fish,"['water', 'animal']","This is what some people do,For a compliment or two,Anglers do it on a bank,Others keep theirs in a tank.What am I?","

I live in water, but I can't swim,
I have fins but I'm not a limb.
I'm an animal, but I don't bark or hiss,
Do you know what animal I am? Take a guess!"
truth,"['out there', 'the truth']",I'm simple for a few people. But hard for them to hear. I live inside of secrets. I bring people's worst fears. What am I?,"

There's a saying that's often said
It's out there, always ahead
Some seek it, some fear it
But few can actually hear it
What am I talking about, my sleuth?
It's just three syllables - the word is truth."
stapler,"['a desk', 'a stapler', 'a desktop']",I have fangs and enjoy piercing holes with a single bite. What am I?,"

I am often seen on a desk,
But I'm not a piece of tech.
I'm used to bind papers together,
But don't mistake me for a feather.

I may look small and simple,
But I have a sturdy grip.
I come in many colors,
But my main job is still the same.

What am I, you may ask?
I'm a tool that's often tasked,
To keep documents in place,
I am the one and only stapler in this space."
piston,['reciprocating engine'],"I have two rings. I move by request. If the mixture is not right, I just sit at rest. What am I?","

In an engine, I go up and down,
Not a person, but still I'm found.
With a crankshaft, I'm closely connected,
And when I move, I keep it directed.

What am I?"
balance,[],"A natural state, I'm sought by all.  Go without me, and you shall fall.  In times past you'd me when you spend, and use me when you eat to no end.   What am I?","

I am the key to stability,
Without me, life's a calamity.
I keep things in check, always in my place,
But too much of me, and you'll fall from grace.
What am I?"
spider,"['arachnid', 'spin webs']",I create my lair with earthen string and dispatch my prey with a biting sting. What am I?,"

I am an arachnid, with eight legs to creep
In corners I hide, while you're fast asleep
I weave my webs to catch a tasty snack
But to most humans, I'm one to attack. 
What am I?"
stampede,[],"I am heard before I am seen. Startled and I am alive. I rumble like thunder, yet I pour like rain. I am felt before I arrive; stand with me and you won't survive. What am I?","

I am a wild charge,  
A herd on the run,  
My name is feared,  
When cowboys are overrun."
snail,['shell'],"I like to roam but I'll always stay home, I leave a silver track, If you carried what I could carry with the way I moved , You'd break your neck and back. What am I?","

What starts with an ""s"", has a ""hell"" on its back,
Slow and slimy, but its home it won't lack?"
headache,['a headache'],I am like thunder in your cranium. What am I?,"

I cause pain, inside your head,
You can take pills, but it won't shed,
A common discomfort, I am known,
Try relaxation, to make me tone. 

What am I?"
apology,[],"I would see all anger ended; Words retracted, tensions mended. I would see your ties restored; For disagreement, I abhor. What am I?","

I am often given but never taken,
A sincere expression with actions awaken,
It's hard to say, but I try to do,
Six letters, hint: it starts with ""A"" too."
tree,[],"What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?","

I am tall and mighty, yet have no brain
My leaves may flutter, but I feel no pain
With bark for skin and roots for feet
I am a natural wonder, what am I?"
wind,"['air', 'a gas', 'oxygen', 'an element', 'blow to the East']","I pass before the sun, yet make no shadow. What am I?","

I am made of air, a gas I am grooved
Without me, life would not be disproved
I am an element, made of oxygen
But too much of me can cause destruction
What am I that blows and bends
A force of nature, my name is ________. (wind)"
plant,[],I do not eat food but I enjoy a light meal everyday. What am I?,"

I am green and rooted in the ground,
But I cannot make a single sound.
I need sunlight, soil, and water too,
To grow and thrive just like I want to.
What am I? A simple word so bland,
Yet without me, life would be less grand. "
combination lock,[],"I have many numbers, usually 50.  But, of those numbers, showing are only 13 minus 3. I am usually heavy, though I am small in size.  I can be used for storing a prize! I come with a special code of sorts, usually numbers 3.  Sometimes memorization can be hard, or easy!  What Am I?","

I have numbers on my face,
But no phone calls do I embrace,
Twist and turn, choose the right slot,
A perfect code is what you've got,
What am I, this tricky block?
Oh, I am a combination lock!"
zombie,"['monster', 'your bed', 'undead', 'animated dead', 'a movie']","I walk very slowly, but do not exist. Many people think I'm cool and want to be me. I am very easy to avoid but not as easily defeated. Many horror movies hold me, but do not. What am I?","

I am a monster, but not one to fear
Though I may be under your bed so near
For I am undead, an animated dead
Some may call me scary, others just red"
infinity,[],"I am a number but I am countless, I am compared with other things but nothing compares to me. What am I?","

I am endless, never will I cease
No beginning or end, I bring a sense of peace
Eternally vast, my numbers never stop
Can you solve the riddle of what I am, from bottom to top?"
candy cane,[],I have stripes but I'm not a zebra. I look like a hook but have nothing to do with Peter Pan. I'm normally red and white but I'm not the Canadian flag. I can be eaten but I'm not a strawberry jelly sandwich. I'm minty but I'm the opposite of toothpaste. What am I?,"

Round and red
With stripes of white
A holiday treat
That brings delight
What am I?
A candy cane, alright!"
moon,"['space', 'the moon']",I am up when you are not. I am cold when you are hot. What am I?,"

I am round and bright,
In the dark sky I alight,
Space is my home, where I take flight,
Named for a Roman god of light.
What am I, shining in the night?"
banana,"['yellow', 'a banana']",I am green or brown and I have a frown. But sometimes I am yellow and my frown is upside down. What am I?,"

I am a fruit, sweet and yellow,
My shape is curved, like a happy fellow.
Monkeys love me, and so do you,
Peel back my skin to find my goo.
What am I?"
tree,[],"I reach for the sky, but clutch to the ground; sometimes I leave, but I am always around. What am I?","

I stand tall without feet or wings, 
But I sway and dance when the wind sings. 
My clothes change with every season, 
But never do I lose my reason. 
What am I? "
fridge,['the fridge'],People make jokes about me running. I store items for you so they don't go bad. I light up when you open the door. What am i?,"
I am the keeper of cold,
A container of delicious mold.
I keep your food fresh and cool,
But I don't belong in a pool.
What am I?
"
lifeguard,[],"My first four letters describe all living things. My last five letters are another word for a knight. My job is to save you, and I'm a fan of water. Who am I?","

I am always by the water's side, watching and ready to take the dive. With my eyes sharp and arms strong, I'll keep you safe all day long. What am I?"
volcano,"['a volcano', 'a crater', 'lava', 'hot']","The thunder comes before the lightning, and the lightning comes before the cloud, the rain dries all the land it touches, wrapping the earth in a blood red shroud what am i ??","

A fiery mountain, dormant no more
Its crater waits, ready to roar
Lava flows, burning and bright
A natural force, always in sight"
loneliness,"['socialize', 'meet some people', 'meet a friend', 'talk to someone']","I can fill a room or just one heart. Others can have me, but I can't be shared. What am I?","

""I am a feeling that creeps in like a shadow,
For those who long to be part of the social,
You try to mask me, but I am always present,
When you can't meet some people, I am your constant."" "
birthday.,[],"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.What am I?","

I am celebrated once a year,
With presents and cake, it's quite clear.
A special day for all to cheer,
Can you guess my name, my dear?"
drugs,"['cloud your mind', 'prohibited', 'substances', 'substance', 'a substance']","I will go within you, and destroy you. Only because you wanted me too. What am I?","

I am a substance that can cloud your mind
But using me is prohibited, you'll find
I come in many forms and types
But abusing me brings many gripes"
tennisball,"['ball', 'round', 'a toy', 'toy', 'plaything']",It is yellow and you can serve it but not eat. What is it?,"

I'm round and bouncy, a toy you can throw
On the court I'm played, in a game you all know
Covered in fuzz, I'm ready to brawl
Do you know what I am? I'm a tennis ball."
coffin,"['a coffin', 'a funeral', 'a box']",The person who built it sold it. The person who bought it never used it. The person who used it never saw it. What is it?,"

It's not a bed, but it's where you'll rest
A box for your body, before it's put to its final test
It's carried by six, dressed in black
A funeral necessity, known for its lack
Of a lid on one side, for viewing at last
What could it be? A coffin, resting in its cast."
cheese,"['a food', 'age well', 'the refrigerator']","Not born, but from a Mother's body drawn, I hang until half of me is gone. I sleep in a cave until I grow old, then valued for my hardened gold. What am I?","

I am a food that can age well,
In the refrigerator, I always dwell.
I come in blocks or wedges, so please,
Tell me, what am I? I am _____.
"
skin,['covering the body'],"You'll find me all around you; I can be clear but not seen through; If I get cut you can glue me shut, but I can do it too. What am I?","

I protect thee, yet I'm not a house.
I'm always with you, but not on your spouse.
I come in all shades, from pale to dark.
But I'm not a cloak or any kind of mark.

I'm smooth and soft, with pores galore.
I can be burned, but you'll always want more.
I'm essential to life, without me you'd be thin.
Without any further ado, can you guess what I am?"
History,[],"You will always find me in the past. I can be created in the present, But the future can never taint me. What am I?","

I am always in the past, yet important in the present
Learn from me and your future will be pleasant
I am full of stories, some true and some not
But understanding me will unlock wisdom, that's a lot
What am I, if not a mystery
That's right, my dear, I am history."
fan,"['cool off', 'cool a person', 'moving the air']","Take me for a spin and I'll make you cool, but use me when it's cool and you're a fool. What am I?","

I'm used to cool off and move the air,
In the summer heat, you'll find me there.
With a flick of a switch, I'll make you feel grand,
Cooling you down with the wave of my hand.
What am I? A trusty old fan."
dream,"['you dream', 'sleep', 'close your eyes']","I may seem real yet I am not, Once you're gone I'm often forgot. Time here stretches and it shrinks, It all depends on how you think. I may be good, I may be bad, I may be the same as one you've had. What am I?","

I am a vision of what could be,
In slumber's realm, I come to thee.
As you dream, I come to life,
But awake, I disappear in strife.
What am I, when you close your eyes?
A fleeting thought, a passing surprise."
garlic,"['a ingredient', 'a popular ingredient']",I stink up your breath and fights evil vampires. What am I?,"

A key ingredient, that adds delightful punch,
A famous flavor, makes your dish a lovely lunch."
trust,[],"I take months to build, seconds to destroy, and years to rebuild. What am I?","

I am elusive, yet crucial,
A much-sought after virtue.
Hard to earn, but easy to break,
Without me, bonds will surely shake.
What am I, that holds such power?
A treasure taken, in an hour."
road,"['street', 'the street']",It cannot run.It cannot walk.It never gets tired.Though it goes on for a long time.It might never die.All of them lead to Rome.What is it?,"

I am a path, but not one you follow with your feet
I am paved with concrete, and lined with concrete beats
You'll find me in the city, or in a quiet country breeze
I am the lifeline of a town, the one and only street.
What am I? I am the ever-winding road, the heart and soul of the street."
black hole,[],I have no arms or legs  I suck up things  I am mostly black  what am I,"

I am a mysterious void, with gravity so strong
I swallow all matter, and no light can belong
Invisible yet powerful, a force you cannot see
I am known as the ultimate cosmic mystery. 
What am I?"
air,"['a gas', 'oxygen', 'an element']","I can be thin but not fat, In your body but never on your placemat.I'm always better when I'm fresh,but you'll never see me in the flesh.What am I?","
I am a gas, so light and free
But without me, you could not be
Oxygen gives me my power
As an element, I rule every hour
What am I? Just take a dare
I am the essential element, the wondrous air."
island,"['a land mass', 'a body of land', 'land']",The first third of me.A form of to be.My last two thirds.Post-flight do birds.My whole surrounded by sea. What am I?,"
I am a land mass, surrounded by sea,
A body of land, beautiful to see.
I exist in the midst of blue,
Can you guess my name? Hint: It starts with ""I"" too."
glasses,"['the cupboard', 'a cabinet', 'improve you eyesight']",I can see when I am with with you but I am blind when alone. What am I?,"

In a cupboard or a cabinet, I may be found,
With double lenses, your vision I'll compound.
When things appear blurry, I may be your aide,
For with me, your eyesight can surely upgrade."
trampoline,[],I am bouncy but I am not round. I can be above or in the ground. What am I?,"

I am bouncy, but not a ball
I can make you jump, but not at all
I have springs, but I am not a clock
I am your favorite, when you need to rock

What am I?"
leg,"['foot', 'body', 'human', 'the school', 'homes', 'home', 'house', 'a house', 'place', 'a place', 'limb']","I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me every day. What am I?","

I am part of your body,
But I'm not your head.
I help you walk and run,
But I'm not your bed.
I'm found on the floor,
And in gym class too.
What am I to you,
In the human school?
"
tooth,"['your mouth', 'a tooth', 'chew food']","I'm white, and used for cutting and grinding. When I'm damaged, humans usually remove me or fill me. For most animals I am a useful tool.  What am I?","

I sit in your mouth, so small yet so strong,
I tear and I grind, you've used me for so long.
Without me, you'll struggle to chew your food,
Can you guess what I am? I know you'll conclude."
monopoly,"['a board game', 'Monopoly']",I push a car and pay a fee then I push the car again and buy a house.  What am I doing,"

I'm a board game that's all the rage,
Buy properties and collect rent, I engage.
On a journey to be the wealthiest one,
Roll the dice and let the game be done.

What am I? It's quite clear to see,
A game of luck and strategy, I'm monopoly."
hail,[],"I'm done to the chief, And to the king too; A liquid formed to stone, I can hit and hurt you. What am I?","

I fall from the sky, I'm wet and I'm white
Some say I hurt, others say I'm just polite
I can come in a storm or a gentle patter
But when you see me, make sure to take shelter

What am I?"
melody,[],"I am the result of a creative mind, and I keep evolving through time, I can be written down on a paper, but it wont be with a common letter, I am experienced through a clever design, but still I can get stuck in your mind. What am I?","

What starts with M, ends with Y, and can be heard but not seen?"
yarn,"['thread', 'tell', 'tell them', 'tell someone something']","I'm found in socks, scarves and mittens. I'm found in the paws of playful kittens. What am I?","
I am a piece of string, long and smooth 
I spin tales that always soothe 
With my fibers, I can mend 
But beware, for I can also bend 
What am I, you may ask 
A vital tool for a task 
I am often used to weave 
And for secrets, I am a key 
So, if you need to pass along 
A message, true and strong 
Just wrap me up in a spool 
And watch me work, I am no fool 
What am I, can you discern? 
A simple word, a simple turn 
But put together, I am quite complex"
jesus christ,[],"Rich people need it, so does the poor, a man loves it more than life, and a woman loves it more than her husband.   What is it?","

What's the name of the savior, our guide,
Whose birth we celebrate each Yuletide?
He turned water into wine,
And his teachings were divine,
In religion, he's often personified. 
"
bed,"['sleeping', 'closing your eyes', 'snoring', 'sleep', 'you dream', 'close your eyes', 'you wake up', 'furniture']","I know a place where fellows go without a shoe or stocking. And no one tells them, ""Go away!"" Or thinks their costume is shocking. Each year I spend much of my time In that delightful place, And while I'm there, they don’t expect a boy to wash his face. What am I?","

I am where you lay your head,
As you drift off to dream and bed.
Silent and still as you close your eyes,
I am the place where the peaceful sighs.
Some may call me a deathly curse,
But without me, you couldn't catch your sleep's sweet, sweet verse. 
What am I? "
snowflake,"['the winter', 'pahuljica']",if you eat something that you can find outside and you won't die from it.  what is it?,"

In the winter, so delicate and white,
It falls from the sky and sparkles with light.
Called pahuljica in some lands so far,
Can you guess what we call this frosty star? "
nightmare,"['a nightmare', 'a scary dream']","I am the horse that is feared the most, I am the mare that has no hair, all do ride on what I provide, with breath of fire. Now what is dire?  What am I?","

What haunts your sleep, a fright unseen?
A dreaded thought, a darkened scene
A word to describe this haunting ordeal
A frightening dream, it's a _____."
slot machine,[],I could be on the river or in the desert.I could be in the swamp or a sparkling city.I am rather rectangular and can make lots of noise.I have bright lights and pictures too.They bring their cups and buckets and feed me well.They want me all to themselves quite greedily.When finally I am full and can take no more.I am suddenly everyone's new best friend.What am I?,"

Round and round, it never stops,
Bet your luck, pull the top,
Spin the reels, see them gleam,
Can you win on this gambling machine?"
stapler,"['a desk', 'a stapler', 'a desktop']","With pointed fangs it sits in wait,   With piercing force its doles out fate,   Over bloodless victims proclaiming its might,   Eternally joining in a single bite.    What am I?","

I sit on a desk, yet I am not a pen,
I am small like a mouse, but not a tech trend,
With a metal jaw, I hold paper in place,
My name is quite common, like Smith or Grace.
What am I? "
originality,"['quality', 'good', 'battle evil', 'value', 'worth']","I don't have a predecessor.You've seen nothing like me before. If not for creativity.There wouldn't be a place for me. Thankfully, the world we live in.Will never stop discoverin'. Otherwise, I would not exist.And monotony would persist. What am I?","

""I am the mark of quality, 
The essence of what's good, 
In the battle against evil, 
I am the weapon you should choose. 
My value cannot be denied, 
For I am the epitome of originality."""
Light,[],I bend but I never break. What am I?,"
I am the reason you see
Without me, darkness will be
I can shine bright or flicker slight
What am I? I am ____________."
black hole,[],"I am dark, nobody can see me, I'm very far, nothing can escape me.  What am I?","

It swallows everything in sight,
A never-ending void of might,
In the depths of space it lurks,
A cosmic force that never shirks.
What am I?"
elevator,"['a building', 'at hotel']",All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,"
In a building, it's often found,
A metal box that goes up and down.
It's used at hotels, what can it be?
A lift with buttons, call it by an E!"
yarn,"['thread', 'tell', 'tell them', 'tell someone something']","I'm found in socks, scarves, and mittens. I'm found in the paws of playful kittens. What am I?","

I am a bundle of fibers, smooth and long,
Used to make clothes, and on hooks I belong.
I can also be used to thread a story,
Or whisper secrets to a friend, in all its glory.
What am I, you might inquire,
I am known to ""tell them,"" just like a wire."
crop duster,[],My first may be in a farmer's prayer.My second improves a surface layer.My whole is a large-scale insect sprayer. What am I?,"

I am up high in the sky,
My purpose might make you cry.
I spread a substance with care,
Over fields, I am the king of the air.
What am I?"
clouds,"['rain water', 'rain on you']","I am a faucet. I am a protector.  I am a weather predictor.  I come in many colors but, I am mainly white.  I often hang out with the sun.  Who am I?","

I bring rain water from up high,
But don't be afraid, for I won't make you cry.
I may seem heavy, but I'm light as a feather,
And when I fall on you, you'll feel better. 
What am I? 
(Answer:Clouds)"
life,"['finite', 'mortal']",Some say I'm not fair. Some say I'm too short. Many make the most of me. Some people hate me. People talk about me a lot. What am I?,"

I am finite, yet lasting,
Mortal, yet unyielding.
I shape your days, and hold your strife,
Can you guess what defines my life?"
scarecrow,[],"I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain.  What am I?","

I have a head, but I'm not alive
I stand in fields, but I can't thrive
With straw for hair and clothes of hay
I'm terrifying, some might say
But don't be fooled, I'm just a prop
A gardener's tool, I'll make you stop
What am I? A lonely fellow
I'll give you a hint: I'm called a ______________."
peanut,[],I'm a seed that's underground. Many like to spread me around. But my family it's said is quite insane. And if you've a low I.Q. you've this kind of brain. Eat me raw and I'll make you sick. Eat too much and your tongue will stick.What am I?,"

I am small and round, but not a berry
A common snack, packed with protein and energy
Eaten by elephants and squirrels alike
What am I, that starts with a ""pea"" and ends with a ""nut""?"
soap,"['cleaning', 'cleaning something', 'bar', 'place', 'a place', 'drinking', 'Drinking', 'clean something']","My shape and sizes differ. Every time you dip me in water, I become smaller. What am I?","

""I am used for cleaning, yet I am not a cloth
In a bar or a place, I am often seen 
Rub me over and over, to make things clean
What am I? A shining, slimy soap!"""
sand,"['beach', 'grains']","To you I am nothing, Except a small speck. Yet I tell a huge story. I am older than you can think, Yet most people walk on me at least once. What am I?","

I am found on the beach, 
Small grains make me up, 
Between two slices, you'll find me, 
A tasty treat to fill your cup. 
What am I?"
whip,"['dessert', 'a dessert']",I am cracked by Indiana Jones. What am I?,"

I am sweet and creamy, a treat to behold
On a hot summer day, I melt and unfold
Some swirl me with chocolate, others with fruit dip
But one thing for sure, I'm a tasty dessert whip"
traffic,['the street'],"A long dense snake that makes me boil, The denser it is, the worse for all. It has no skin, nor scales, nor coil. But it moves along, speed down to a crawl. It has many voices. A rhythm, but no heart. You'll know when you see one; You might even take part. Escape from its clutches.can bring you some ease. Now you'll get where you're going.as fast as you please. What is it?","

I move along the street,
But I'm not on my feet.
Sometimes I cause a jam,
But I am what I am.
What am I? 
"
statue,"['person', 'human', 'the school', 'homes', 'home', 'house', 'a house', 'place', 'a place', 'cross a street', 'wind clock', 'liberty', 'freedom', 'a belief', 'a universal right']","I am painted, I cannot run neither can I walk. what am I?","

I stand tall in front of the door,
A frozen human, forevermore.
At school, I am always seen,
But in homes, I may not gleam.
A person made of stone,
In many places I am known.
What am I? A _________."
question,"['answer', 'response']",What am I?,"

I am the silent counterpart of answer,
Yet without me, it cannot be discovered.
Some say I am sought, others say I am given,
But without my presence, there can be no resolution. 
What am I?"
buger,[],"I am green, sticky, and salty.  What am I?","

I am small but mighty, with six little legs
Some say I'm gross, but I'm just collecting dregs
I hide in dark corners, waiting to pounce
But to some people, I'm a tasty ounce

What am I? "
cross,"['symbol', 'a symbol', 'jesus', 'a Jew', 'religious']","I am often known as a symbol/mark, and can be used in a trend. I am created when two paths meet, but separate at the end. What am I?","

I am a symbol, revered and true,
Representing a Jew, without a clue,
But also a Savior, Christian and boss,
A symbol of faith, what am I, embossed?"
book,['learning'],"Inside me the adventurous find Quests and treasures of every kind.  Trolls, goblins, orcs, and more, await Within my closed walls for All those that wish to visit me.  Your hands are the key To secrets untold, And your mind will unlock the door.  What am I?","

""I hold knowledge and secrets, with pages filled to the brim 
In your hands, I can take you on a journey of learning and whim 
From cover to cover, my story unfolds 
What am I? A treasure worth more than gold."""
wind,"['air', 'a gas', 'oxygen', 'an element', 'blow to the East']","All about, but cannot be seen, can be captured, cannot be held, no throat, but can be heard. What is it?","

I am the invisible force that can blow,
Made of a gas that helps us grow.
A vital element for life to begin,
Guess my name, I'll give you a hint: ""W-"""
swim,"['water', 'get into the water', 'get wet']",I am the only word that looks the same when spelt upside down. What am I?,"

I'm the action you take in water,
To get wet and move like an otter.
Dive, paddle, or do a lap,
I am what you need to do, to get in the *word*."
breath,"['air', 'a gas', 'oxygen', 'an element']","If you held me for too long, you would die. What am I?","

I am vital for life, yet invisible to sight
A gas that we inhale, to keep our body alight

I am found in the air, a truly essential part
An element of nature, I give a beating heart

Without me, life would cease, a simple truth be told
For I am the breath of life, the gas we need to hold. "
awake,"['you yawn', 'open your eyes', 'sleep', 'you dream', 'close your eyes']",I am you when not asleep; And where the sad come to weep. What am I?,"

I am when you yawn,
And when you open your eyes,
But not when you're asleep,
Or chasing dreamy highs."
die,['stop breathing'],"Looking at my face, I'm no more than six.Look at the rest of me and I'm 21. You'll see my twin and me in Las Vegas.Say my name and you'd be uttering a threat.What am I?","

I may bring death, but I have no breath
I cause an end, but have no depth
Without me, you would cease to be
What am I? The answer's die, you see."
garlic,"['a ingredient', 'a popular ingredient']","For nine months I grow and grow. Then finally my head will show.When I'm pulled from the bed I'm in.And someone gently cleans my skin. Strong and healthy is my mood. Soon I'll be into solid food. Some like my smell, some say it's rude, To most, I'm positively viewed. So who or what am I?","

I am a popular ingredient, found in many dishes
Some say I ward off vampires with my sharp wishes
I have a pungent odor, yet my flavor is well known
Used in many recipes, I am often finely thrown
What am I, a key ingredient in Mediterranean cuisine
Known for my health benefits, I am garlic, in case you haven't seen."
winnie the pooh,[],"i like honey and i dont like bee's, im am yellow-brown , what am i?","

I'm a bear so soft and furry, honey and friends make me quite merry. I live in the Hundred Acre Wood, my name is a riddle, can you guess it good? "
nightingale,['a bird'],"My third in my first is most awful at sea, Yet many outlive it, so therefore may we. My first in my third is the charm of the wood.And type of whatever is noble and good: Do you ask for my second? - I've mentioned it twice, Nay, in these very lines you will meet with it thrice. What am I?","

I am a bird that sings at night,
In my melodies, you'll find delight,
My voice is sweet, clear and pale,
Can you guess, what's my name, oh frail?"
bird,['animal'],In the morning I sing on feathered wing. I soar through the air without a care. What am I?,"

I fly high up in the sky,
My feathers are vibrant, I catch your eye
I lay eggs in a cozy nest,
And from there, my babies will hatch and test
What am I, though not a herd,
A creature so free, I am a ______?"
kiss,"['kiss someone', 'express that you love them', 'find someone to kiss']","I am just two and two.  I am hot.  I am cold.  I am the parent of numbers that cannot be told.  I am a gift beyond measure, a matter of course.  I am given with pleasure when taken by force.   What am I?","

I can bring two lips together,
Or show how much you care,
You might have to search for me,
But I'll always be there. 
What am I?"
trade mark,[],"I make my mark on something of yours to make sure no one takes it. Sometimes I am so small that you can barely see me, but, beware! I'm there! I can appear in two different forms, and you'll C me on many boxes and cans.  What am I?","

I am unique like a fingerprint,
But can still be bought and lent.
I represent a brand's spark,
What am I? A trade mark."
bridge,"['water', 'crossing', 'over']","To cross the water I'm the way, For water I'm above: I touch it not and, truth to say, I neither swim nor move.What am I?","

I'm made of stone and span a stream
A path to cross without getting wet, it seems
I lift you up and over clear as day
What am I, you ask? I'm a bridge, okay!"
concrete,[],"I can flow like a river, and come from dust, I age hard as iron, but never rust. What am I?","

I am hard and solid, 
But still, I can fill a mold. 
Builders love me, 
I make structures strong and bold. 
What am I?"
music,[],"My stem's planted firmly where I am allotted. My tail is wavy and my face is quite blotted. I relay much emotion though flatly I'm spotted, And I grow half my size whenever I'm dotted. I can speak any language, yet utter no words. I'm no seed, yet I am well known among birds. But I do have a speech impediment: I can say cage but not page, aged but not wage. What am I?","

I am a language without words, 
But I can stir emotion and make hearts chirp,
Melodies, notes, and rhythms are my tools,
Without me, life would be dull and cruel."
chair,"['the office', 'sitting']",I have 4 legs but never run. What am I?,"

In the office, I'm often seen,
A place for sitting, I intervene.
Four legs and a back, my form is clear,
What am I, and to what do I adhere?"
shoes,"['protect feet', 'worn on your feet', 'your bed']",When you stand up he sleeps When you sleep he stands Who is it?,"

What item protects your feet,
And is often worn so neat,
It's not a pillow for your head,
But you'll find it by your bed."
light,"['energy', 'power']",I guide you but you can't hear me. Without me you would be lost. I keep going and won't be stopped. What am I?,"

I am full of energy and power,
Without me, your days would be quite glower.
I brighten up your day and night,
No darkness can stand against my might.
What am I?"
Top hat,[],"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?","

I sit tall and proud, with a brim so wide
On my head, I'm the perfect guide
With coats and tails, I'm often seen
But without me, a magician can't perform his dream

What am I? "
mushroom,['a fungus'],"A room with no windows or doors, walks in the night, grows in a day, is found where there is death and decay. What is it?","

I am a tasty treat, but not a fruit.
I grow in dark places without any root.
Some fear my poison, while others relish my flesh.
I may be a fungus, but I am not cursed or blessed.
What am I?"
steps,[],"The more of these you take, the more appear behind you. What am I?","

I am made of stone,
But I can move with grace.
I lead you up or down,
In a never-ending race.
What am I?"
sky,['the sky'],I AM BLUE AND WHITE ALL OVER.  WHAT AM I?,"

I hold a vast expanse above
Where birds fly and clouds roam
I am made of endless love
And serve as Earth's great dome. 
What am I?"
stoplight,[],"I have three colors, each with a different meaning. When I'm old they become dull, but when I'm new they are gleaming. I help keep people safe, but sometimes they hate me. You won't see me in a forest, but you will in a big city. Some of me have short lengths, and some of me have long. And in the time that the longest of me take, you could sing a very long song. When my colors change, people get happy or sad, and when you guess what I am, you will be very glad. What am I?","

I am always standing tall,
Red, yellow, green, I call.
I control the flow of cars,
Even though I'm just three bars.
What am I? "
mirror,"['a bedroom', 'see yourself']",I make two people out of one. What am I?,"

In a bedroom you'll often find
A shiny object that's quite kind
When you want to see yourself clearer
Just take a look in the _____"
paper,"['writing', 'pen', 'an office', 'a pocket', 'sheet', 'covering bed']","I can be dropped from the tallest of buildings and survive,but drop me from the smallest ship and I won't.What am I?","

I am used for writing, a pen's best friend,
In an office, you'll often find me, to no end.
Folded neatly or crumpled without a sound,
I fit in your pocket, but always get found.
What am I?"
pencil,"['write something on paper', 'a pencil-case']","I am long when I am born, but become shorter as you use me. What am I?","

I am used to write on paper,
Stored in a case in my every endeavor,
I may be sharp or dull,
But I am always a faithful tool.

What am I?"
calendar,"['your desk', 'keeping track of time']",My days are numbered. What am I?,"

I sit on your desk, 
With numbered days to check. 
A tool for keeping track of time, 
But be sure not to lose it, it's a crime. 
What am I?"
pig,"['animal', 'pork', 'bacon', 'բեկոն']","I plow and plow, but never sow. What am I?","

I am an animal that loves to roll in the mud,
My meat is delicious, often turned into a bud.
In English, I am known as ""pig"",
But in Armenian, my name is ""բեկոն"" and oh so big."
secret admirer,[],"If you don't know me, you are crushed.  If you do know me and you tell me no, I will be crushed.  What am I?","

I leave you notes, but you don't know who,
My feelings for you are hidden, it's true,
I may be shy, or just like the thrill,
But one thing's for sure, I'm your secret admirer still."
newspaper,['the newspaper'],i am a paper with that you get every day or week i come in a paper bin what am i ?,"

I am printed with words and pictures,
But I am not a book or a scripture.
Every morning I bring you news,
Of things happening and different views.
What am I?
"
chick,"['baby', 'wet his diaper', 'hen', 'bird', 'animal']",im in a house.  theres no doors and no windows.  to get out i have to smash through the walls what am i?,"

I am a tiny baby, soft and small,
But I'm not a human, no, not at all.
I am born from a hen, oh so quick,
But watch out, or I'll make you wet your diaper, I am a ____."
