starter,riddle,class
slime,"I move very easily, I am gooey, If you touch me I'll leave a substance behind. What am I?",what am i
satellite dish,"My first's celestial pathway repeats.My second's a carrier of eats.Through me, distant signals your eye greets. What am I?",what am i
puppy,"I am a humble companion, and people love me so, even though I am big trouble-.it easily does show. I am known to obey, and I often run around-.although I also stay. What am I?",what am i
friendship,"I am a ship that can be made to ride the greatest waves. I am not built by objects, but built by minds. What am I?",what am i
clock,"I can be sun, I can be sand, and I can be bird. What am i?",what am i
Toilet paper,"I am a cylinder.Made up of many squares. Spinning like a paint roller, I offer my bounteous fare. I can be soft and gentle, But I am abhorred when I am not. I am often found waiting until, the need arises on the spot. I am not the most charming, But I am found in most homes. I'm nowhere to be found?  Alarming! Often, nearby is a mirror and combs. I blot a little here; I wipe clean there. You need me to be near; A tug, a pull, a roll and I tear. What am I?",what am i
net,"Forward I catch fish, backward I am the tenth of numbers. What am I?",what am i
quality time,My first is a goodness measure.My second flies during pleasure.My whole is for dear ones to treasure. What am I?,what am i
Ferris wheel,Experience my height.As you conquer your fright.And behold a new sight. I am fun for most folks.Hanging high by my spokes.Above the elms and oaks. So why not climb on in.And take me for a spin? Let your round trip begin. What am I?,what am i
shower,I let water fall on you while everyone else stays dry. What am I?,what am i
moon,"I am a pearl on black velvet, A lunatic's friend after sunset, I am the Gaia's travelling friend, I run in circles that never end.  What am I?",what am i
liar,"I have 13 arms, 10 legs, 2 head, and smell like burnt denim.What am I?",what am i
Saturn,"My story whispers ancient lore; The force at times my rings will hide. I've sixty minions, maybe more: Those unseen, these by my side. Wand'ring far from glowing light, Shape-shifting puzzles curious eyes; Oft my glorious rings shine bright, While men debate my family's size. My aspect seems to wax and wane, As the force dictates the deed; My namesake ruled vast fields of grain, But, legends tell, devoured his seed. What am I?",what am i
horn,"I am shared by goats, devils, and unicorns. What am I?",what am i
grand piano,"My closest friends are very tense. I'm difficult to use and hence.I'm beautiful with learned hand. With untrained folk I'm not so grand. You know not what I am, you say? Well half of me's already given away. What am I?",what am i
grandfather clock,I'm an old relative who's hand's can't hold anything and eyes can't see anything. What am I?,what am i
clock,I am a round arena .I have three racers .They have different lengths .Also different speeds .There is no starting or ending.No winner or loser either. What am I?,what am i
moon,"Sometimes I am black, some times I am white sometimes you can seen me at night. I have friends that are with me that are much smaller. Some of you have walked on me but not all. What am I?",what am i
bomb,"I can fall, I can sink, I can lay underground I can go on, I can go off, I can go up, but not down If you want to stop me: I give you 2 choices The same as Neo had What am I?",what am i
friendship,"Most people want it. If you have it, you are lucky. What is it?",what is it
empty,"Take away my first letter, and I still sound the same. Take away my last letter, I still sound the same. Even take away my letter in the middle, I will still sound the same. I am a five letter word. What am I?",what am i
clock,Runs all day. Never runs away. What is it?,what is it
clock,I have 2 hands on my face; you check on me to keep your pace.What am I?,what am i
fire,"When I Eat I am alive, But when I drink I die.  Who am I ??",who am i
wave,"I can be as blue as the sky or have a white top. I roll through my world and crash into yours. I can be as gentle as a newborn puppy or as vicious as an angered bull, ripping through anything I find. I will topple anything you put in my way if I am strong enough. What am I?",what am i
audience,We applaud if you perform well. What am I?,what am i
screw,"One way I'm loose, one way I'm tight; Out with left, in with right. What am I?",what am i
clock,"I have been around for hundreds of years, I can have a varying number of hands, There are many versions of me, I do the same thing day after day, People would miss me if I were gone, What am I?",what am i
yardstick,"I have three feet, but I cannot walk. What am I?",what am i
liver,I am found in man; I can be found in animals; I can also be found in the City Liverpool; Yet not in plants. What am I?,what am i
hair,"You can call me curly, you can call me bald. You can call me gray, you can call me shaggy, and I can even be short or long. What am I?",what am i
pig,What is it that has a power socket on one end and a corkscrew on the other?,what is it
slot machine,I could be on the river or in the desert.I could be in the swamp or a sparkling city.I am rather rectangular and can make lots of noise.I have bright lights and pictures too.They bring their cups and buckets and feed me well.They want me all to themselves quite greedily.When finally I am full and can take no more.I am suddenly everyone's new best friend.What am I?,what am i
knowledge,"I can never be stolen from you. I am owned by everyone. Some have more, some have less. What am I?",what am i
air,"No matter what you do, No matter where you go, You need me, And I will be there for you. What am I?",what am i
beetle,"I am an insect, half of my name is another insect. I am similar to the name of a famous band. What am I?",what am i
fire,"The more you blow on me, the hotter I get. What am I?",what am i
clock,I have 2 hands for only one use. I come In many different shapes. What am I?,what am i
Hanukkah,For eight holy days Jewish people around the world celebrate me. What am I?,what am i
secret,I am too much for one but not enough for two. Give me to a third and I am gone. What am I?,what am i
hyena,My first is in horse but not in pony. My second is in coyote but not in jackal. My third is in shrew and also in vole. My fourth is in panda but not in bear. My last is in baboon but not in monkey. What am I?,what am i
wheelbarrow,"I am on three legs when I rest, and one when I work.  What am I?",what am i
piano,It stands upright and can be quite grand. Its secret is not hidden but right at hand. What is it?,what is it
jelly,I am rubber you can eat. What am I?,what am i
showerhead,Turn me to your favourite setting.Then get ready for a wetting. A slight twist can affect my strength.And my tail can vary by length. How might you be refreshed today? I think you might enjoy my spray. By design I am full of holes.I'll help you reach your cleaning goals. But to assist in this pursuit.You must be in your birthday suit. What am I?,what am i
lemon,What Am I?I'm yellow but I'm not a rubber duck. I have seeds but I'm not a sunflower. I'm oval but I'm not an egg. I'm sour but I'm not a piece of candy. I'm a fruit but I'm not a banana,what am i
clock,"My face is silent without my hands, What am I?",what am i
bathroom,I am the place to turn when nature calls. What am I?,what am i
owl,I sit in parliament. You'll only see me at night.  What am I?,what am i
North Star,Belonging to a creature with claws curled.I can lead you to the top of the world.Of a ladle I'm part.On a mariner's chart.Prominent on a black canopy pearled. What am I?,what am i
zoo,"I only use two letters of the alphabet. I can be vast or fairly small. Many call me home, While others only come to visit.  What am I?",what am i
chair,"It has arms, It has legs, It has a back; But it cannot move by itself??  What is it???",what is it
riddle,"When I'm first said, I'm quite mysterious,  but when I'm explained, I'm nothing serious.  What am I?",what am i
toilet,"I have a mouth I do not speak.    I drink the things you do not need.   I don't move, for I am stuck .   I'm here for you, no matter what.    What am I?  By: Jimmy T. Garcia  EOG2",what am i
riddle,"When you do know me about me, them I am definitely something. You will always search for me. But when you know me, I am nothing. Who am I?",who am i
friend,"I know you, and from whence you came. I know your heart and your brain. We can be alike, the two of us or we can be opposites and drive each other nuts. We share a past either long or brief and we share a future and we've shared the grief. We have lost others and gained new. You know me as I know you. I am a person or thing that you hold dear and many times you've whispered your secrets in my ear. From first crush to truest love we have shared them all. More than anyone can ever count we have been each other's intellectual fount. We share ideas and games and pranks. Those who are lucky are members of our ranks. Who am I?",who am i
prince,"For now I must stay under the man who made me,but when he dies I'll be as powerful as he.They will watch and listen to what I say,then some of their money to me they'll pay.Who am I?",who am i
moonwalk,A move made popular by the King of Pop. What am I?,what am i
Napoleon,"Small was my stature, but my success was great. Until I entered Belgium to be handed my fate. Who am I?",who am i
riddle,"I am not a brainteaser, but i do tease the brain.  What am I?",what am i
combination lock,"I have many numbers, usually 50.  But, of those numbers, showing are only 13 minus 3. I am usually heavy, though I am small in size.  I can be used for storing a prize! I come with a special code of sorts, usually numbers 3.  Sometimes memorization can be hard, or easy!  What Am I?",what am i
cards,"You put me on a table and cut me, but you don't eat me.What am I?",what am i
star,"Mix me up for beauty in halls and theatres.Shuffled, I am an unelected leader.Jumble me, and we become roof leak beaters.Scrambled, we're long-tailed, omnivorous eaters.I am an entertainment craving feeder. What am I?",what am i
wing,"Alone, I lack balance, but in a pair, I take off. At work, I have rhythm, and at rest, I lay on the side. What am I?",what am i
toilet,I'm a whirlpool. Used by men and women. I suck things down. What am I?,what am i
puppy,I'm like a dog with the tail that wags and all but am not a dog. What am I?,what am i
moon,I can be half without getting thinner. I can shine with no fire. I can be hidden but never taken. I can stay dry while moving the ocean. What am I?,what am i
zombie,"I am dead but alive, I eat but am never satisfied, I consume knowledge but gain none. What am I?",what am i
diary,"My author's uncertain yet my title's the same, I contain random text yet order's my aim. Read me one day and see my pages are totally bare. Try again another day and the words will be there. I'm not a book of magic although it may sound, I can predict the future, and inside, your life can be found. Move my eye, I become involved in lactic extraction. But that's just a clue , a minor distraction.What am I?",what am i
dreams,"They are scenes of madness, grief, gaiety, seeming purpose, confusion and queerness often appearing in the dark hours of night. They stretch through time, seeming only but a few moments, yet when reality is not as kind. When appearing they are logical, but when reminiscing they are strange and odd. What is it?",what is it
goldfish,"If you hadn't put me in a bowl, I would have lived for 20 years. What am I?",what am i
moon,"I am strongest when you see me as round, but I am often viewed in other forms. I lift and drop the sea with my tremendous strength, and a man with a name like ""powerful bicep"" was the first to tread on me. What am I?",what am i
air,"I'm in every room, yet outside. I move at different paces, but you never see me moving. Where ever I am its crowded, but when your there you don't see or feel anyone. If you try to hit me you always miss, yet you always feel me. You need me to live, but I cause disasters. What am I?",what am i
drawbridge,I open to close but I close to open. I'm surrounded by water but I'm never soaking. What am I?,what am i
fish,I am alive without breath and cold as death. I am never thirsty but always drinking. What am I?,what am i
Body language,"I speak without a noise because i do not have a voice, I can be from any land or hood, but still my message will be understood. What am I?",what am i
dream,I may seem real but it always turns out. I was never there in the first place.  You only see me during a certain resting stage. What am I?,what am i
donut,I am the kind of nut that is empty at the centre and has no shell. What am I?,what am i
air,"I am always around you but often forgotten. I am pure and clean most time, but occasionally rotten. What am I?",what am i
banana,"I am the kind of food monkey likes, and people slip on me and fall in cartoons. What am I?",what am i
moon,"This is a place thats not on earth. Where only astronauts have been sent. It can be full, it can be half. And sometimes it can be a crescent. What is it?",what is it
Joshua,"The initial letters, joined aright, A famous Jew will bring to light. Who is it?",who is it
friendship,"I'm like a sheltering tree.You planted in fertile ground: When you carefully nurtured me, My roots grew deeply bound. I protected you from the rain.And life's many raging storms. You delighted in me again.When days were sunny and warm. My wood, it has no worth. My fruit you cannot eat, But above all things on Earth, I am most precious and sweet. There's one last thing to tell, A hint from me to you: You can't raise me by yourself -.I must be cultivated by two. What am I?",what am i
city wall,I run around the city but never move. What am I?,what am i
phoenix,"I'm seven times seventy, Plus a decade more. This has all happened before. Red and gold, I am no liar. My nursery will be made.From my funeral pyre. Who am I?",who am i
hyena,Their boisterous laughing.Does provoke; In any adventure.They are no joke!  What am I?,what am i
coconut,"A container holding water but not a cup. If you want to find me, look up. What am I?",what am i
Chinese New Year,"The year of the rat, the dog or the boar. On this holiday you'll find dragons, lanterns, and so much more!What is it?",what is it
piano,"I've got a lot of keys, eight and eighty to be exact. Yet there's not a keyhole in the world to fit them, and that's a fact. What am I?",what am i
moon,"It's been around for millions of years, but is never more than a month old. What is it?",what is it
you,"Some days you think i'm pretty, but some days you think i'm ugly. Some days you'll love me, but some days you'll hate me. If you think i'm not good enough, you might get rid of me. Who am I?",who am i
parking meter,"I live off of a busy street,if you want you can stay for an hour or two,but if you don't pay rent I'll tell on you.What am I?",what am i
mustache,I'm the manly mark that milk makes. What am I?,what am i
stars,I visit you every night even if you don't call me. I'm lost every day. What Am I?,what am i
hammer,My head and the point are made from same. I am held by what's taken apart from the grain. I am atop of a great ocean beast. My swing will let fire and lead release. What am I?,what am i
stars,I appear at night without being fetched by morning a am lost what am i,what am i
moon,"I you don't move I move, if you move I still move. I can shine but am not a light bulb. I will fall before you wake up. What am I?",what am i
clock,"I do not speak, but I still tell you something .My first is second in scare, My second is first in lock, My third is three after the last one .My fourth is third in dock. My fifth is eleventh in this riddle. What am I?",what am i
dream,You will see me every night sometimes i am scary and sometimes not What am I,what am i
riddle,"I make you frown and scratch your head, to find my solution will leave you mumbling. Many love me, many hate me and my nature's humbling. Fabled creatures sometimes use me, of confusion some accuse me. What am I?",what am i
echo,"You heard me before, Yet you hear me again, Then I die, 'Till you call me again. What am I?",what am i
moon,I am up when you are not. I am cold when you are hot. What am I?,what am i
fire,"Give me food, and I will live. Give me water, and I will die. What am I?",what am i
clone,"I was not born, but I am here. I have no name, but I am given many. I was made by science and life. What am I?",what am i
nail,"I'm a word of letters four; Myself, a fastener, and one thing more. This one thing more is clear to see; Because you notice when people bite me. Behead me and I shall be.What some use for seasoning. What am I?",what am i
fireworks,"You wait for it. It cracks, stays for a moment, and then vanishes before your eyes.  What is it?",what is it
wheelbarrow,"Two legs I have, and this will confound, only at rest do they touch the ground. What am I?",what am i
planet,"Some have rings, all gorgeously bedecked; I, too, wear rings, that seers did not detect. One, Hershel saw two centuries ago. A baker's dozen, now, the seekers know. My brother wears more dazzling rings, quite fine; When he turns, his rings all brightly shine. Twenty-seven minions make my court; Some, Bard-named; some with the rings cavort. Georgium, Hershel's choice, once had the nod, But now, I'm namesake to an ancient god. What am I called?",what am i
oil,"Born from a fountain of wealth, I am black instead of gold but valued the same. What am I?",what am i
wheel,"As far as I run, I never meet my brother on my right. What am I?",what am i
peanut,I'm a seed that's underground. Many like to spread me around. But my family it's said is quite insane. And if you've a low I.Q. you've this kind of brain. Eat me raw and I'll make you sick. Eat too much and your tongue will stick.What am I?,what am i
dream,"I am hopes and wishes and wants. I am fears and tears and taunts. I live as a portal.To subconscious minds. Oh, the wonders will be your finds. I may visit in the form of Queen Mab.As told in a story so fab.By Shakespeare himself. What am I?",what am i
secret,"For some in the world, it is as precious as gold. Yet, this thing, is never sold. It is kept, but never used. It's a weakness that cannot be removed. A weapon that can be used against god. If they have it, you know it, then they have lost. What is it?",what is it
chair,"I stand on four legs, My arms turned toward people. High and low bow for me, But I never bow for anyone. What am I?",what am i
escalator,"I cause people to get carried away.But they expect me to treat them this way. Either alone, or as part of a group.You enter and exit an endless loop. My path is fixed, but I never complain.And I have a rail, though I'm not a train. My older cousin, more static than me.Necessitates more bending of the knees. What am I?",what am i
lock,"There are several different kinds, but the one you pick doesn't do its job. What is it?",what is it
coconut,I contain water but I'm not a bottle. I can be used to make milk but I'm not a cow. I'm white on the inside but I'm not a loaf of bread. I have a husk but I'm not a head of corn. I have a hard shell but I'm not an egg. I'm brown and hairy on the outside but I'm not a dog. What am I?,what am i
air,"I am your friend who rings the bell DING-DING, Sometimes I even push you on the swing. I am probably where a person goes, Usually I go up your nose. Without me friend you'll probably die, Now I ask you what am I?",what am i
empty,"""If I tell you the club is ""dead"", what am I saying iti s?""",what am i
riddle,"I am something to make you think, I am something to make you know. I am something to which the answer you might never know. What am I?",what am i
thanksgiving,Turkey day. What am I?,what am i
piano,"My physical presence is hard to ignore.So I believe you must have seen me before. The use of me creates a distinctive sound.On my surface many triggers can be found. Oddly, my feet make no contact with the floor.I may need them in order to match the score. When used competently, the ears I delight.My most critical features are black and white. What am I?",what am i
clock,"I just sit here, watching the time pass me by; The strange thing is I don't have any eyes. Sometimes I have a mustache with uneven sides; Other times I have a pulse that almost never dies. Sometimes I have a face, but no emotion shows; But numerous expression always from me flows. Sometimes I'm bounded to somebody's arm; Other times I bring the day by alarm. People refer to me almost every day; And I wouldn't have it any other way. What Am I?",what am i
dream,"I may seem real yet I am not, Once you're gone I'm often forgot. Time here stretches and it shrinks, It all depends on how you think. I may be good, I may be bad, I may be the same as one you've had. What am I?",what am i
south pole,"I am, where down is up. What am I?",what am i
feast,"I'm a word meaning eating well, but when one letter goes missing I mean starvation. What am I?",what am i
fire,I truly am cause for alarm. When you see me you can lose your house or your life. When you hear me you can also lose your job. What am I?,what am i
wig,"It's not a hat, but it keeps your head dry. You wear it, because you already lost it. What is it?",what is it
newspaper,"I am black, white, and read all over. What am I?",what am i
coat,"I have buttons or a zipper, pockets, and sometimes a belt. I__l protect you from a cold wind, but you won__ need me in the summer. When you are done with me, please hang me in the closet. What am I?",what am i
hay,"You can tumble in it, Roll in it, Burn it, Animals eat it, Used to cover floors, Still used beyond stall doors. Freshens whatever it is placed on, Absorbs whatever is poured into it. What is it?",what is it
lock,"A dagger thrust at my own heart, Dictates the way I'm swayed. Left I stand, and right I yield, To the twisting of the blade. What am I?",what am i
jellyfish,"I live in the dark, I have no heart and I'm just like jelly, if you touch me I'll stung you.  What am I",what am i
toilet paper,"You use lots of me, yet right you use me when you're done. What am I?",what am i
surgeon,"I stab you and I cut you, yet I mean you no harm! What am I?",what am i
skeleton,My body has no ears or tongue. So I am not able to use phones. Tickling doesnt work on me. Because I am only made of bones. Who am I?,who am i
atom,"I am so little you can barely see me.I'm in everything you can see. When you touch stuff you feel me too.I'm in trees and houses and you. Look everywhere and you'll see me.And my sisters and brothers very free. You can make stuff out of me.Into clay pots, food, and tea. People make stuff out of this.Even on holidays and Christmas. If you know anything about me.Then you will be the one who speeds. If you chop my head off you will see a boy named Tom.If you chop my tail off then Japan is where you came from. Answer this correctly or I'll cry.So you won't.  Who am I?",who am i
banana,I am green or brown and I have a frown. But sometimes I am yellow and my frown is upside down. What am I?,what am i
zit,"I'm filled with things vile and disgusting. Dirt, bacteria, and that pus thing. When some see, they want to squeeze me. Others they just laugh and tease me. Doctor they prescribe a cream. But when puberty ends most come clean. What am I?",what am i
jealousy,"When someone else ate, you became full of me. What am I?",what am i
sprinkler,I keep things green and keep kids happy during summer time. What am I?,what am i
Hydrogen peroxide,"At homes, if you look around, I am found. To stains, I am a pain. With my aid .you can make boo-boos fade. I begin to fold .when only six months old. What am I?",what am i
secret,If you want me you'll have to share me but if you share me I will be gone. What am I?,what am i
cemetery,Covered in stone and sun. It's home to many but also none. What is it?,what is it
pig,"I plow and plow, but never sow. What am I?",what am i
fish,"Slippery, wet and greasy, when its in its easy, when it out it jumps about, slippery wet and greasy. What am I?",what am i
crane,"It has a long neck, A name of a bird, Feeds on cargo of ships, It's not alive, What is it?",what is it
pumpkin,"You might pick up one of these. When you go out to a patch. Carve it, put in a candle. And then light it with a match. What is it?",what is it
coconut,"A little pool with two layers of wall around it. One white and soft and the other dark and hard, amidst a light brown grassy lawn with an outline of a green grass. What am I?",what am i
riddle,"I am a puzzle with a wordy facade. There's always an answer, even if it seems odd. Only the clever can understand my code. If you don't answer, then you'll never know. What am I?",what am i
clock,"When I take 5 and add 6, I get 11. But when I add 6 and 7, I get 1. What am I?",what am i
riddle,"Something that requires our mental skill to decode it, our imagination to understand it, our knowledge is tested to its max, it confuses us at every stage, it seems easy yet difficult, only those who are used to, will get through. What is it?",what is it
beet,"I can come in a can, I can come as a punch, I can come as a win, You can eat me for lunch. What am I?",what am i
drama,Teenage girls are pros at creating me. Learn me in classes. What am I?,what am i
bathroom tissue,"Round and round, in circles I go.How it diminishes me so. For starters, I am looking great.But subject to the hand of fate. My purity has been defiled.Sent on a journey, wet and wild. Once I've been used up to the core.My twin starts the cycle once more. What am I?",what am i
echo,"I repeat only the last word you say. The more I repeat, the softer I got. I cannot be seen but can be heard. What am I?",what am i
graveyard,"In this place, people lie, people cry, and people ask why. In this place, people sleep, people weep, and people's solitude, they keep. What is it?",what is it
knowledge,"Some will use me, while others will not, some have remembered, while others have forgot. For profit or gain, I'm used expertly, I can't be picked off the ground or tossed into the sea. Only gained from patience and time, can you unravel my rhyme? What am I?",what am i
tea pot,"T in the beginning t in the end and t in between, what am I?",what am i
paintbrush,"A flick of the wrist, and I travel across.Leaving my mark wherever I go.I'm used to make money, but also for fun.I blend and create and cover and show.I'm made of many different materials.Of shapes and sizes, I have a variety.I'm a tool used for communication.But words I don't usually see. What am I?",what am i
nail,"I can be found on fingers, in toolboxes and in snails. What am I?",what am i
atom,"I am in everything, I am large in numbers, I am known to most but seen by none what am I?",what am i
riddle,I sometimes lack reason but often rhyme. I'm not the best but a good way to pass time. What am I?,what am i
fire,I can make many people scream yet I can still be seen I make many things grow yet still I can melt the snow. What am I?,what am i
chair,"I have two arms and a back, Supported by four legs. But there is something I do lack, Actually, I have no eyes to see. I also cannot move around, Or at least, not on my own. Unfortunately I can make no sound, Except perhaps a squeak. If you chop off my head, You are left with a hair. If you chop off my tail, Only tea is left there. One more clue I will add, Is that you often use me. Yet you barely ever notice, In fact I'd much rather be a tree. What am I?",what am i
bicycle,"I can carry you around; you can carry me as well; not a living thing, yet, I run faster than as you do but not without your help. I have as many legs and hands as every man has; round are my legs: one before and the other behind. The cycle is never out of my name. What am I?",what am i
hair,"I move very slowly at an imperceptible rate, although I take my time, I am never late. I accompany life, and survive past demise, I am viewed with esteem in many women's eyes. What am I?",what am i
pumpkin,I grow on a farm orange and used but then get thrown away what am i?,what am i
diary,"Tell me your secrets, and they'll never be spoken. But leave my lock open, and they will be taken.  What am I?",what am i
Joshua,I am the only person in the Bible without a father. Who am I?,who am i
catfish,I am the kind of fish that chases a mouse. What am I?,what am i
fish,I am in a house with no doors. There are people inside but give no reply. Who am I?,who am i
friend,"You have no one but me, when you're alone I come find you. I'll never leave your side until the day I die. What am I?",what am i
moon,"I've existed for Trillions of years, but only been around for 30 days. What am I?",what am i
toilet,"Each day many people come and visit me, however they usually only stay for a few minutes. I am considered by many to be very dirty yet few people would want to live without me. What am I?",what am i
pumpkin,"In September, you pick me when I'm good and ready. In October, you cut me intentionally to make me look worse. In November, you trash me like you never knew me. What am I?",what am i
moon,"I have seas with no water, and flags with no nations. What am I?",what am i
vacuum cleaner,"I'm named after nothing, though I'm awfully clamorous. And when I'm not working, your house is less glamorous. What am I?",what am i
cheat,"""If something is ""chintzy"", what is it?""",what is it
cheeks,I am pinched by grandmas. What am I?,what am i
newspaper,"I bring the present for all to see.Mostly, it costs money to see me. Maybe what the weather will be bringing near.Or maybe the scores that've previously appeared. I might bring entertainment and joy to you.And I usually provide information anew. Soft and dim I usually am.Some see me while eating breakfast ham. What am I?",what am i
human,"What has 4 legs when it is young, 2 legs when its not old but is about to be, and has 3 legs when it is old. What am I?",what am i
moon,"Very few men have ever been here, But one man has been for thousands of years. What am I?",what am i
riddle,Take your time do not fear Sadly I am never clear My answer stares you in the face Read me over and over just incase My answer will cause you pain  But a smile you will gain Today I am like a July evening dream To find my answer you may need a team What am I,what am i
dreams,Cats are not cats dogs are not dogs we are not real when we go there   What am i ?,what am i
air,I can bend steel I can not be seen I am everywhere Between you and me. What am I?,what am i
youtube,"I am king of knowledge , also the king of madness  Who am i ?",who am i
peanut,"My family is known to be crazy; I'm good when I'm alone and when spread I am amazing; It's a matter of taste; I'm good for your health, bad for your waist. What am I?",what am i
nail polish,Makeup for finger tips. What am I?,what am i
wave,"One of whose personalities are dual.And without which, one would stumble like a fool. One drum produces and the other receives.I transport what's sent, and the brain then perceives. Boards cure boredom at a coastal location.Contingent upon my manifestation. A transient gesture when our paths diverge.Subsequently prompted when you reemerge. What am I?",what am i
star,There are millions of me lighting your way at night. What am I?,what am i
ignorance,"When you are born, all you have is me. And even though you're powerless, you are filled with glee.  What am I?",what am i
axe,"One tooth to bite, he's the forests foe. One tooth to fight, as all Norse know. What is it?",what is it
marimba,"I make beautiful music. Africa is my home. I am not a drum, although I am in its family. I have wide wooden bars. What am I?",what am i
engine,I run but have no feet. I roar but have no mouth. I wear a belt but have no waist. I always drink but never eat. What am I?,what am i
live,"Spelled forwards I'm what you do everyday, Spelled backwards I'm something you hate. What am I?",what am i
Easter Bunny,I hop around hiding eggs. What am I?,what am i
dream,"From fears I creep .and so I begin.a world of horrors from within. A looming monster.a glaring eye.As all your hope waves goodbye. Runners can't outrun me.or even keep my pace.Nor can a doctor cure me.He too may cower at my face. Sometimes I can take a different tune.Of what transpired last afternoon. A mistrust you misplaced, told yourself was out of place. Or I can play with your desire.Set your heart aglow, afire.Find yourself in someone's arms.Or in a place of calming charm. You may find granted a long time wish.but be forewarned it will vanish.When I take my leave, it will too.and you'll be left with what is true. Even if you can tame me.I will never stay.No matter how tight the reins.I will run away. Before I see you next I ask.that you sit down and take this task.Answer my riddle, and my answer spy.To put it simply ""who am I?""",who am i
belly button,I live in a circle surrounded by hair sometimes I go out and sometimes I stay in. What am I?,what am i
riddle,"I may be simple, I may be complex; I may have a name, but no gender or sex; I am often a question, or statements as a setup; I tend to have an answer, 'til you find it I won't let up. What am I?",what am i
current,"I am strong and silent in air and rivers. I can also give you shocks and shivers. Sounding small and black and off the vine. I'm here, right now at this moment in time.  What am I?",what am i
human,"I walk on 4 legs in the morning, 2 legs at noon, and 3 legs at night. What am I?",what am i
fishhook,"If you eat me, my sender will eat you. What am I?",what am i
chair,"I have four legs, a back, but no head. What am I?",what am i
Sable,"Add a letter to an animal, and make a building. What is it?",what is it
broccoli,"I am a crunchy vegetable, with a lot of vitamin C and fiber. Some kids think that I look like a little green tree! What am I?",what am i
firecracker,"I get most of my work in the summer.Other times I am not seen - what a bummer! I look the best at night events, Where my flashy colors spark. But after I am done with my shots .Everyone's left in the dark. What am I?",what am i
fire,"Touch this and you'll regret it. But if it's cold, you won't forget it. What is it?",what is it
wheelbarrow,"I have two arms, but fingers none. I have two feet, but cannot run. I carry well, but I have found I carry best with my feet OFF the ground. What am I?",what am i
dreams,"I come in darkness, but fill the mind with light. I bring enlightenment to some, while gripping others in the hand of fear. With me it can be a journey of inexplicable joy and sorrow. What I will show you will often be unreachable. Journey with me and what you see may haunt you. Journey with me and you may never want to return home. Journey with me and you will never know when it will end. What am I?",what am i
New York City,I'm a city but I'm not London. I have a famous parade but I'm not Rio. I'm in the US but I'm not Washington DCI have two baseball teams but I'm not Chicago. I'm known as a large piece of fruit but I'm not Banana Republic. What am I?,what am i
clock,"Before a certain time, Students are always looking at me. After a certain time, They run away from my dwelling. What am I?",what am i
slot machine,I have only one arm yet I can steal you blind.  I keep my money in a safe place yet every time I lose it again just to gain it back. What am I?,what am i
empty,"I have five letters. If you take the first and last, I will still be the same. Even if you take the middle letter, I will be the same as before. What am I?",what am i
farm,I am owned by Old Mc. Donald. What am I?,what am i
clock,"I can be a square, I can be a circle. I can be on any kind of decoration piece you want. I can sound like a wind chime or a bird.  I can glow in the dark.  I can be carried around in your pocket or sit on your dashboard. I can talk or not talk, use my hands or not use my hands. Either way I get my message across. What am I?",what am i
banana,"A time when they're green, A time when they're brown, But both of these times.Cause me to frown. But just in between, For a very short while, They're absolutely yellow, And cause me to smile. What am I talking about here?",what am i
Cheerios,"Maybe you eat me, perhaps you don't. Leave me alone too long and I'll get soggy, but either way I still float. The beginning of my name is the same word for happy; the rest comes before the letter ""p"".  What am I?",what am i
human hair,"What is inanimate, yet can stand up, Can start out copper and end up as steel, So fragile, a child could break one, But many have the strength to lift a man? What is it?",what is it
worm,I'm on the end of a hook or combined with book. What am I?,what am i
teaser,I sometimes sound like.Hey diddle diddle the cat and the fiddle.But I'm not a nursery rhyme. And  if you're here reading a lot .You'll see me all of the time. What am I ?,what am i
pearl,"I grow in the dark and shine in the light; The paler I am, the more I am liked; My maker never gets paid, but never goes on strike. What am I?",what am i
pearl,Born in a shell I adorn your neck. What am I?,what am i
Europe,I start with an e and end with an e. I have whole countries inside of me. What am I?,what am i
face,Unnaided you cannot see me Yet I am always there I am always the same Yet I change with time Sometimes in decades Sometimes in minutes I can be pride and joy Yet despair and failure You can try to compare  But never find someone like me What am I?,what am i
fraction,Always a part. Never a whole. If only half grows I shrink. What am I?,what am i
forever,"This word is a favorite of girls. Boys are unnerved on the mention of it. Once love finds its accompaniment, it becomes a lifelong event. What is it?",what is it
sound,I travel in waves.On the ocean shore.But also everywhere.You have been before.I am found in a shell.And traveling through the air.I am the soft purring of a cat.And the roar of a bear.What am I?,what am i
bones,"I'm very very strong but always hidden, eventually, my time will come and I'll fit in, what am I?",what am i
spider,"I can jump, and I can climb. With my many legs, I swing from tree to tree. I can make a house much bigger than me. What am I?",what am i
actor,"I can be anything I want to be, yet known to many as just one, but if things don't work out, I will be known by hardly anyone. What am I?",what am i
comb,"I have teeth, but I don__ eat. What am I?",what am i
violin,"I have a scroll, but not the strongest man can open it. I have a bridge, but only strings cross it. I have pegs, but it doesn't have any use for hanging.  What am I?",what am i
spiral staircase,It turns into a different story. What is it?,what is it
silence,"If you say my name, I disappear,Who am I ?",who am i
tree,"My veins extend beneath the earth, My hands raised toward the sky, I can seem to live forever, Though many times I die.  I cry when I am wounded, Sweet tears that help me heal, I mourn and take off all my clothes, When bitterness I feel.  What am I?",what am i
sieve,"A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?",what am i
