Word,GoldRiddle,GenRiddle
internet,"It lives with electricity, reveals info, and travels around the world faster than the speed of sound.  What is it?",What is as unsecured as grass and as flat as silicon and as polymeric as cellulose and as hard as vodka  ?
kiss,"I am just two and two. I am hot. I am cold. I am the parent of numbers that cannot be told. I am a gift beyond measure, a matter of course. I am given with pleasure when taken by force.  What am I?",
anchor,When youre coming to a stop. This is what you will. Drop on to the sea bed. To make your ship stay still. What am I?,
remedy,"Complete, I destroy your problems; in half, I am part of your sleep. What am I?",What is as popular as chamomile and as mixed as margarita and as healthy as balanced_diet and as antisocial as gang_member  ?
mind,People say that they lost me but then again I can not be found   What am I?,
ship,"Weight in my belly,   Trees on my back,   Nails in my ribs,   Feet I do lack.    What am I?",What is as distant as chest and as dark as wine and as conductive as titanium and as inorganic as chloride  ?
daisy,I am the youngest level of Girl Scouts. I'm a flower and a females name. I'm a railcar in Thomas And Friends. And a Princess in a Mario game. What am I?,What is as delicate as nose and as mammalian as raccoon and as avian as bald_eagle and as breeding as eurasian_oystercatcher  ?
fingerprints,Everyone has me except for a few. You may not be able to identify me but I can always identify you. What am I?,
bat,I see without seeing. Noise is an ally. What am I?,What is as rabid as bat and as ruminant as venison and as wild as cherry and as frozen as poultry  ?
tablet,"A riddle in which the answer is a 6 letter word.A monument - men all agree - am I in all sincerity. Half cat, half hindrance made. If head and tail removed should be, then most of all you strengthen me; replace my head, then stand you see on which my tail is laid. What is it?",
smoke,What is it that makes tears without sorrow and takes its journey to heaven? what am i ??,What is as transparent as ruby and as genuine as iron and as soft as pudding and as fatty as liver  ?
eye,"Round as a marble, blue as the sea, unless I am brown or grey maybe! Smile and I shine my window pane, Frown at me and down comes my rain.  I see all things, but nothing I hear, sing me to sleep and I disappear.  What am I?",What is as privileged as Bruce_Wayne and as pampered as Tiny_Tim_Cratchit and as weak as shale and as weak as Neville_Chamberlain  ?
eightball,Shoot at me a thousand times and I may still survive; one scratch from me and you will find your prospects take a dive.  What am I?,
coal,"Black I am and much admired, Men seek me until they're tired. When they find me, they break my head, And take from me my resting bed.  What am I?",What is as organic as blood and as interfering as lipid and as lipophilic as oil and as organic as sugar  ?
glass,"Though liquid in nature, don't push me too far; for then I will break, and the damage may scar.     What am I?",
sun,"I go around and in the house, but never touches the house. What am I?",
pig,My first is twice in apple but not once in tart. My second is in liver but not in heart. My third is in giant and also in ghost. Whole I'm best when I am roast.  What am I?,What is as hoofed as rhinoceros and as fantastic as nymph and as academic as science and as important as differentiation  ?
leaf,"I am in the sky but also in the ground. When you study me, no matter how long, I will always end with an f. I may be in your yard but not in your house. What am I?",
tablet,"A riddle in which the answer is a 6 letter word. A monument - men all agree - am I in all sincerity. Half cat, half hindrance made. If head and tail removedshould be, then most of all you strengthen me; replace my head, then stand you see on which my tail is laid. What is it?",
chair,"I have four legs and one back, yet I can't walkWhat am I?",
bullet,"I hide in a dark tunnel awaiting my time. I can only be released by pulling back. Once released, I may do unstoppable damage. What am I?",
triangle,It's equally comfortable in an orchestra and a geometry textbook. What is it?,What is as primitive as arc and as complex as cancer and as personal as cash and as unique as triangle  ?
moon,I am up when you are not.  I am cold when you are hot.  What am I?,What is as gravitational as star and as anatomical as heart and as geographical as state and as dark as wine  ?
ivy,My first two letters say my name. My last letter asks a question. What I embrace I destroy. What am I?,What is as noxious as tigers and as noble as Gandalf_the_Grey and as regal as Ming_The_Merciless and as evil as Ernst_Stavro_Blofeld  ?
window,"When you need a view, look at me, Though I am not what you see. Go ahead and take a stare, I protect you from the elements, yet block you from fresh air. I can be opened, or remain closed. Though when I'm open, you're exposed. What am I?",
drone,I have mobility which is three-dimensional.I am both innovative and unconventional. Diverse are my possibilities for deployment.One of these may be simply for your own enjoyment. I am a servant and you can become my master.But using me in the wrong place could spell disaster. A person or a computer controls my motion.I provide a vantage point over land or ocean. I am a tool for a practical application.Or I am simply a toy for your recreation. What am I?,
iron ore,"Ripped from my mother's womb. Beaten and burned, I become a bloodthirsty killer. What am I?",
fear,I make you sweat  I make you make noise  I make you move  I cause wars  I make you scared   but you cannot scare me  what am I?,
clock,"12 little figures  in a circle,round  No legs but 2 hands  And a special sounf  WWHAT AM I?",What is as conventional as medication and as effective as Donald_Trump and as manipulative as Fagin and as unscrupulous as Bernard_Madoff  ?
shadows,"Everywhere it lurks, unsettling men and unnerving children. In a house it visits, in a cave it dwells. One light can put it to flight and make it retreat. Yet you can never escape it, for it is always there. What is it?",
jelly,"i am soft yet hard, i am fruity yet sweet, i am liquid yet solid, i am colourful yet clear. . . . . what am i??",What is as prepared as clams and as succulent as orange and as fresh as river and as white as orchid  ?
boots,I run in feilds and streets and at night i'm under the bed ready to be feed the next day.  What am I?,
snape,"Masks I wear many,But not many see behind them.Always rejected. Except by those dark as the one I despise.I hate and I fear One of whom I will not speak. Yet I throw myself continually at his feet.I am continual.When all other hope is gone, I remain.Those I defend I do not love,And those I fight I cannot hate.The one who hates me most. Is the one I will die to protect.WHO AM I?",
tongue,I have a towel that never gets dry. What is it?,
wednesday,"I last for a day, I always am in the middle, I have a name. What am I?",
scissors,"Place your fingers in my eyes, and I will open my jaws to devour paper and cloth. What am I?",
penny,Im small and sometimes wortheless I sit there and look times as you pass me by I can not move but I wish I can if im found its a good thing but only if I cant see you what am I?,What is as large as elk and as active as histamine and as addictive as compulsive_overeating and as unacceptable as bullying  ?
mercury,"I'm a god, a planet, and measurer of heat. Who am I?",
anchor,You throw me out when you need me; you bring me back when you're done. What am I?,
sand,"I can be found on paper or sitting in a bar. I can be found next to money that won't get you far. I share something in common with wheat and rice, Though you wouldn't want to eat me because I don't taste nice. I can be kept in a box as well as keep time. Can you come up with an answer to go along with this rhyme?  What am I?",
planet,I am used to the cold and I am a big thing.What am I?,
honor,"I am a word of distinction; describing society, system, and roll. I am sometimes seen with guard when death takes a toll. I will often accompany a student, or am a title of recognition. I can even give you credit in a competition. What am I?",What is as important as meat_quality and as negative as anxiety and as individual as track and as recreational as campground  ?
temper,"You must keep this thing, its loss will affect your brothers. For once yours is lost, it will soon be lost by others. What is it?",
universe,"Inside me, there is a teacup, a planet, a shelf, and you! What Am I?",What is as abstract as property and as legal as caffeine and as psychoactive as cocaine and as strong as Ernst_Stavro_Blofeld  ?
gravity,I am the thing that is used to make your weight. What am i?,
sunlight,"I am always on top of things, yet I can reach the bottoms of the ocean.   I feel good, yet I hurt and sting.   You can capture me, but you can't hold me.   With too much of me, you can't see and with not enough of me, you can't see!                     What am I?",What is as white as cod and as large as wolf and as exotic as peacock and as native as orchid  ?
glove,"Four fingers and a thumb, Yet flesh and blood, I have none.   What am I?",
bell,"You hear it speak, for it has a hard tongue.  But it cannot breathe, for it has not a lung.    What is it?",What is as traditional as sociology and as individual as thrift and as morphological as eyes and as geometric as shift  ?
rainstorm,"I heard of an invading, vanquishing army sweeping across the land, liquid-quick; conquering everything, quelling resistance. With it came darkness, dimming the light. Humans hid in their houses, while outside spears pierced, shattering stone walls. Uncountable soldiers smashed into the ground, but each elicited life as he died; when the army had vanished, advancing northward, the land was green and growing, refreshed. What is it?",What is as weather as fog and as harsh as Newt_Gingrich and as entertaining as Gary_Larson and as shallow as Oscar_Wilde  ?
pig,I am pink I have a curly and I am fat what am I?,
imagination,"If you look you cannot see me. If you see me you cannot see anything else. I can make anything you want happen, but later everything goes back to normal. What am I?",What is as intellectual as Jean-Paul_Sartre and as brave as Jaime_Lannister and as determined as Oscar_Pistorius and as talented as Grace_Kelly  ?
fish,"This is what some people do,For a compliment or two,Anglers do it on a bank,Others keep theirs in a tank.What am I?",
truth,I'm simple for a few people. But hard for them to hear. I live inside of secrets. I bring people's worst fears. What am I?,
stapler,I have fangs and enjoy piercing holes with a single bite. What am I?,
piston,"I have two rings. I move by request. If the mixture is not right, I just sit at rest. What am I?",
balance,"A natural state, I'm sought by all.  Go without me, and you shall fall.  In times past you'd me when you spend, and use me when you eat to no end.   What am I?",What is as mechanical as tongs and as supporting as chair and as environmental as heat and as serious as theft  ?
spider,I create my lair with earthen string and dispatch my prey with a biting sting. What am I?,
stampede,"I am heard before I am seen. Startled and I am alive. I rumble like thunder, yet I pour like rain. I am felt before I arrive; stand with me and you won't survive. What am I?",What is as untoward as anaphylactic_reaction and as violent as blizzard and as intense as fear and as pleasant as cardamom  ?
snail,"I like to roam but I'll always stay home, I leave a silver track, If you carried what I could carry with the way I moved , You'd break your neck and back. What am I?",
headache,I am like thunder in your cranium. What am I?,
apology,"I would see all anger ended; Words retracted, tensions mended. I would see your ties restored; For disagreement, I abhor. What am I?",What is as emotional as phobia and as serious as tumor and as stressful as weekend and as same as religion  ?
tree,"What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?",
wind,"I pass before the sun, yet make no shadow. What am I?",
plant,I do not eat food but I enjoy a light meal everyday. What am I?,
combination lock,"I have many numbers, usually 50.  But, of those numbers, showing are only 13 minus 3. I am usually heavy, though I am small in size.  I can be used for storing a prize! I come with a special code of sorts, usually numbers 3.  Sometimes memorization can be hard, or easy!  What Am I?",
zombie,"I walk very slowly, but do not exist. Many people think I'm cool and want to be me. I am very easy to avoid but not as easily defeated. Many horror movies hold me, but do not. What am I?",What is as scary as ruin and as dry as cloth and as flat as halibut and as larger as earthworm  ?
infinity,"I am a number but I am countless, I am compared with other things but nothing compares to me. What am I?",What is as mathematical as quantity and as geometric as rotation and as euclidean as triangle and as visual as magazine  ?
candy cane,I have stripes but I'm not a zebra. I look like a hook but have nothing to do with Peter Pan. I'm normally red and white but I'm not the Canadian flag. I can be eaten but I'm not a strawberry jelly sandwich. I'm minty but I'm the opposite of toothpaste. What am I?,
moon,I am up when you are not. I am cold when you are hot. What am I?,
banana,I am green or brown and I have a frown. But sometimes I am yellow and my frown is upside down. What am I?,What is as seasonal as baseball and as aquatic as tadpole and as venomous as hornet and as larger as butterfly  ?
tree,"I reach for the sky, but clutch to the ground; sometimes I leave, but I am always around. What am I?",
fridge,People make jokes about me running. I store items for you so they don't go bad. I light up when you open the door. What am i?,
lifeguard,"My first four letters describe all living things. My last five letters are another word for a knight. My job is to save you, and I'm a fan of water. Who am I?",What is as outdoor as sidewalk and as metal as hoe and as sharp as utility_knife and as basic as triangle  ?
volcano,"The thunder comes before the lightning, and the lightning comes before the cloud, the rain dries all the land it touches, wrapping the earth in a blood red shroud what am i ??",What is as hazardous as fog and as adverse as medication_error and as unfortunate as fire and as unexpected as fire  ?
loneliness,"I can fill a room or just one heart. Others can have me, but I can't be shared. What am I?",
birthday.,"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.What am I?",
drugs,"I will go within you, and destroy you. Only because you wanted me too. What am I?",
tennisball,It is yellow and you can serve it but not eat. What is it?,
coffin,The person who built it sold it. The person who bought it never used it. The person who used it never saw it. What is it?,
cheese,"Not born, but from a Mother's body drawn, I hang until half of me is gone. I sleep in a cave until I grow old, then valued for my hardened gold. What am I?",What is as tasty as pear and as frozen as pea and as fresh as broccoli and as cruciferous as cabbage  ?
skin,"You'll find me all around you; I can be clear but not seen through; If I get cut you can glue me shut, but I can do it too. What am I?",What is as soft as spruce and as exotic as silver and as hazardous as intersection and as commercial as restaurant  ?
History,"You will always find me in the past. I can be created in the present, But the future can never taint me. What am I?",
fan,"Take me for a spin and I'll make you cool, but use me when it's cool and you're a fool. What am I?",
dream,"I may seem real yet I am not, Once you're gone I'm often forgot. Time here stretches and it shrinks, It all depends on how you think. I may be good, I may be bad, I may be the same as one you've had. What am I?",What is as mental as anger and as emotional as major_depression and as neurological as ataxia and as ocular as amblyopia  ?
garlic,I stink up your breath and fights evil vampires. What am I?,What is as basic as pencil and as ordinary as air and as simple as pulley and as powerful as elephant  ?
trust,"I take months to build, seconds to destroy, and years to rebuild. What am I?",
road,It cannot run.It cannot walk.It never gets tired.Though it goes on for a long time.It might never die.All of them lead to Rome.What is it?,
black hole,I have no arms or legs  I suck up things  I am mostly black  what am I,What is as strange as dragon and as wild as jackal and as wild as chickweed and as invasive as salmonella  ?
air,"I can be thin but not fat, In your body but never on your placemat.I'm always better when I'm fresh,but you'll never see me in the flesh.What am I?",
island,The first third of me.A form of to be.My last two thirds.Post-flight do birds.My whole surrounded by sea. What am I?,What is as geological as boom_clay and as hard as bone and as ocular as diabetes and as vascular as lymphangioma  ?
glasses,I can see when I am with with you but I am blind when alone. What am I?,
trampoline,I am bouncy but I am not round. I can be above or in the ground. What am I?,
leg,"I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me every day. What am I?",
tooth,"I'm white, and used for cutting and grinding. When I'm damaged, humans usually remove me or fill me. For most animals I am a useful tool.  What am I?",What is as biological as antibody and as active as tag and as organized as football and as competitive as Nicolas_Sarkozy  ?
monopoly,I push a car and pay a fee then I push the car again and buy a house.  What am I doing,
hail,"I'm done to the chief, And to the king too; A liquid formed to stone, I can hit and hurt you. What am I?",
melody,"I am the result of a creative mind, and I keep evolving through time, I can be written down on a paper, but it wont be with a common letter, I am experienced through a clever design, but still I can get stuck in your mind. What am I?",
yarn,"I'm found in socks, scarves and mittens. I'm found in the paws of playful kittens. What am I?",
jesus christ,"Rich people need it, so does the poor, a man loves it more than life, and a woman loves it more than her husband.   What is it?",What is as passionate as Tina_Turner and as funky as John_Travolta and as charismatic as Jon_Stewart and as acerbic as Weird_Al_Yankovic  ?
bed,"I know a place where fellows go without a shoe or stocking. And no one tells them, ""Go away!"" Or thinks their costume is shocking. Each year I spend much of my time In that delightful place, And while I'm there, they don’t expect a boy to wash his face. What am I?",What is as high as hill and as disturbed as urban_area and as complex as differentiation and as dynamic as angular_velocity  ?
snowflake,if you eat something that you can find outside and you won't die from it.  what is it?,
nightmare,"I am the horse that is feared the most, I am the mare that has no hair, all do ride on what I provide, with breath of fire. Now what is dire?  What am I?",
slot machine,I could be on the river or in the desert.I could be in the swamp or a sparkling city.I am rather rectangular and can make lots of noise.I have bright lights and pictures too.They bring their cups and buckets and feed me well.They want me all to themselves quite greedily.When finally I am full and can take no more.I am suddenly everyone's new best friend.What am I?,
stapler,"With pointed fangs it sits in wait,   With piercing force its doles out fate,   Over bloodless victims proclaiming its might,   Eternally joining in a single bite.    What am I?",
originality,"I don't have a predecessor.You've seen nothing like me before. If not for creativity.There wouldn't be a place for me. Thankfully, the world we live in.Will never stop discoverin'. Otherwise, I would not exist.And monotony would persist. What am I?",
Light,I bend but I never break. What am I?,What is as mechanical as Edward_Scissorhands and as daring as Alexander_the_Great and as short as Nicolas_Sarkozy and as greedy as Walter_White  ?
black hole,"I am dark, nobody can see me, I'm very far, nothing can escape me.  What am I?",
elevator,All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,
yarn,"I'm found in socks, scarves, and mittens. I'm found in the paws of playful kittens. What am I?",
crop duster,My first may be in a farmer's prayer.My second improves a surface layer.My whole is a large-scale insect sprayer. What am I?,What is as agricultural as bagasse and as noncombustible as metal and as particulate as sugar and as hazardous as egg  ?
clouds,"I am a faucet. I am a protector.  I am a weather predictor.  I come in many colors but, I am mainly white.  I often hang out with the sun.  Who am I?",
life,Some say I'm not fair. Some say I'm too short. Many make the most of me. Some people hate me. People talk about me a lot. What am I?,
scarecrow,"I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain.  What am I?",What is as coloured as tomato and as seasonal as fishing and as sensitive as school and as dry as black_chalk  ?
peanut,I'm a seed that's underground. Many like to spread me around. But my family it's said is quite insane. And if you've a low I.Q. you've this kind of brain. Eat me raw and I'll make you sick. Eat too much and your tongue will stick.What am I?,What is as foreign as oil and as controlled as lamp and as portable as tape and as digital as online_microscope  ?
soap,"My shape and sizes differ. Every time you dip me in water, I become smaller. What am I?",
sand,"To you I am nothing, Except a small speck. Yet I tell a huge story. I am older than you can think, Yet most people walk on me at least once. What am I?",
whip,I am cracked by Indiana Jones. What am I?,What is as flexible as glove and as loose as decorative_quilt and as light as cracker and as natural as earthquake  ?
traffic,"A long dense snake that makes me boil, The denser it is, the worse for all. It has no skin, nor scales, nor coil. But it moves along, speed down to a crawl. It has many voices. A rhythm, but no heart. You'll know when you see one; You might even take part. Escape from its clutches.can bring you some ease. Now you'll get where you're going.as fast as you please. What is it?",
statue,"I am painted, I cannot run neither can I walk. what am I?",
question,What am I?,
buger,"I am green, sticky, and salty.  What am I?",
cross,"I am often known as a symbol/mark, and can be used in a trend. I am created when two paths meet, but separate at the end. What am I?",
book,"Inside me the adventurous find Quests and treasures of every kind.  Trolls, goblins, orcs, and more, await Within my closed walls for All those that wish to visit me.  Your hands are the key To secrets untold, And your mind will unlock the door.  What am I?",What is as personal as interest and as male as father and as alien as pine and as deciduous as acer  ?
wind,"All about, but cannot be seen, can be captured, cannot be held, no throat, but can be heard. What is it?",
swim,I am the only word that looks the same when spelt upside down. What am I?,
breath,"If you held me for too long, you would die. What am I?",
awake,I am you when not asleep; And where the sad come to weep. What am I?,
die,"Looking at my face, I'm no more than six.Look at the rest of me and I'm 21. You'll see my twin and me in Las Vegas.Say my name and you'd be uttering a threat.What am I?",
garlic,"For nine months I grow and grow. Then finally my head will show.When I'm pulled from the bed I'm in.And someone gently cleans my skin. Strong and healthy is my mood. Soon I'll be into solid food. Some like my smell, some say it's rude, To most, I'm positively viewed. So who or what am I?",
winnie the pooh,"i like honey and i dont like bee's, im am yellow-brown , what am i?",
nightingale,"My third in my first is most awful at sea, Yet many outlive it, so therefore may we. My first in my third is the charm of the wood.And type of whatever is noble and good: Do you ask for my second? - I've mentioned it twice, Nay, in these very lines you will meet with it thrice. What am I?",What is as native as oak and as solid as soap and as harmful as parasite and as beneficial as fluoride  ?
bird,In the morning I sing on feathered wing. I soar through the air without a care. What am I?,What is as natural as slate and as opaque as agate and as expensive as cocaine and as psychoactive as alcohol  ?
kiss,"I am just two and two.  I am hot.  I am cold.  I am the parent of numbers that cannot be told.  I am a gift beyond measure, a matter of course.  I am given with pleasure when taken by force.   What am I?",
trade mark,"I make my mark on something of yours to make sure no one takes it. Sometimes I am so small that you can barely see me, but, beware! I'm there! I can appear in two different forms, and you'll C me on many boxes and cans.  What am I?",
bridge,"To cross the water I'm the way, For water I'm above: I touch it not and, truth to say, I neither swim nor move.What am I?",
concrete,"I can flow like a river, and come from dust, I age hard as iron, but never rust. What am I?",
music,"My stem's planted firmly where I am allotted. My tail is wavy and my face is quite blotted. I relay much emotion though flatly I'm spotted, And I grow half my size whenever I'm dotted. I can speak any language, yet utter no words. I'm no seed, yet I am well known among birds. But I do have a speech impediment: I can say cage but not page, aged but not wage. What am I?",
chair,I have 4 legs but never run. What am I?,
shoes,When you stand up he sleeps When you sleep he stands Who is it?,What is as everyday as refrigerator and as larger as frog and as mammalian as deer and as big as whale  ?
light,I guide you but you can't hear me. Without me you would be lost. I keep going and won't be stopped. What am I?,
Top hat,"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?",
mushroom,"A room with no windows or doors, walks in the night, grows in a day, is found where there is death and decay. What is it?",What is as tender as chrysanthemum and as colorful as David_Bowie and as pioneering as Bear_Grylls and as steadfast as Tarzan  ?
steps,"The more of these you take, the more appear behind you. What am I?",
sky,I AM BLUE AND WHITE ALL OVER.  WHAT AM I?,
stoplight,"I have three colors, each with a different meaning. When I'm old they become dull, but when I'm new they are gleaming. I help keep people safe, but sometimes they hate me. You won't see me in a forest, but you will in a big city. Some of me have short lengths, and some of me have long. And in the time that the longest of me take, you could sing a very long song. When my colors change, people get happy or sad, and when you guess what I am, you will be very glad. What am I?",What is as technical as medicine and as complex as hypertension and as masculine as strength and as negative as rudeness  ?
mirror,I make two people out of one. What am I?,
paper,"I can be dropped from the tallest of buildings and survive,but drop me from the smallest ship and I won't.What am I?",
pencil,"I am long when I am born, but become shorter as you use me. What am I?",
calendar,My days are numbered. What am I?,
pig,"I plow and plow, but never sow. What am I?",
secret admirer,"If you don't know me, you are crushed.  If you do know me and you tell me no, I will be crushed.  What am I?",
newspaper,i am a paper with that you get every day or week i come in a paper bin what am i ?,
chick,im in a house.  theres no doors and no windows.  to get out i have to smash through the walls what am i?,What is as young as rat and as charismatic as Tony_Stark and as condescending as Dr._Eldon_Tyrell and as strong as Charles_Atlas  ?
cross,"On Calvary. There were three, not six. Its also known. As a crucifix. What am I?",
turkey,"My last half is something that can allow you entrance into a secured area, & I am also a nation.  Some people find me mouth watering.  What am I?",What is as frozen as raspberry and as dark as roof and as reflective as aluminum and as firm as gravel  ?
gold,Some people bite into it. But it is not a carrot. It is a precious metal. Thats pure 24 karat. What is it?,
hospital,A sign for this special building. Might only show its first letter. It is where you will get taken. When injured so you get better. What is it?,
vacuum,I suck. What am I?,
bread,"I rise like the sun on a hot summer day. I come in many different kinds, For I am yours to devour. I'm to most people's likes, To others I'm not. What am I?",
tree,"My bark is worse than my bite, Though I have no mouth. Graceful shadows play on the ground.Near my feet every evening. Thick, gnarled arms have I, Twisting up and about. I am garbed in jade, And placed next to a cerulean sky. Wind tosses my hands about, And howls through me at night. My heart is softer and smoother.Than my exterior. My influence is far spread, And sometimes devastating. So, what am I?",
swan,"My dress is tranquil when I tread the earth,  or dwell at home, or drift on the water.   Sometimes my wings and this wide sky  lift me over the dwellings of men,  and then strong clouds carry me  over the people.  My ornaments  echo loudly and melodiously,  Illustriously sing when I am not near  the earth and stream, a sailing spirit.   What am I?",What is as decorative as curtain_fabric and as textured as grid and as abstract as love and as complex as polymer  ?
doorbell,"I never ask questions, but I am always answered. What am I?",What is as out as barn and as private as toilet and as public as county and as geographic as city  ?
comb,"Metal or bone I may be, many teeth I have and always bared, yet my bite harms no one and ladies delight in my touch. What am I?",What is as personal as boot and as mechanical as nail and as individual as hands and as miscellaneous as bolt  ?
snake,I hiss. I can be poisonous. I am long. I have a forked tongue.   What am I?,
fear,I make you're hands sweat and your heart cold.           What am i??????,
photograph,What is it that someone else has to take before you can get it?,
tuesday,"I am a bit bad but before me was the worst, and I already know that after me will be better, However im not singular but infact 24. Who am I?",What is as nontraditional as school and as dark as David_Lynch and as powerful as wto and as nonprofit as education  ?
hurricane,I have an eye but cannot see. I’m faster than any man alive and have no limbs. What am I?,What is as natural as raccoon and as wild as pheasant and as recreational as alcohol and as illicit as alcohol  ?
race,"Sports they say, but gamble they play. Humans, horses, cars or hounds.contend in me for rounds and rounds. A two, a three or many can play in me, but alone I just don't know how it can be. I can be oval, linear or any shape, but once you join, do not escape. Once you do, a greeting is for you, nothing else but an angry boo. Now, what am I?",
treadmill,Every time you try to move ahead.I'm bent on pulling you back instead. Is this struggle for mobility.An exercise in futility?  Either level or somewhat inclined.With progress feedback I am designed. Whether you choose to walk or to run.You always end up where you've begun. What am I?,
hills,Im big as a whale and I roll like the sea.  My cousin is even bigger than me.  What am I?,
pencil,I usually wear a yellow coat. I usually have a dark head. I make marks wherever I go. What am I?,
prank,"You can play me and pull me,I love the naive.I'm enjoyable to give,but bad to receive.What am I?",
A Mountain.,"What has roots that nobody sees, and is taller than trees. Up, up it goes, and yet it never grows. What is it?",
coffin,"The maker doesnt want it, the buyer doesnt use it, and the user doesnt see it.  What is it???",
pencil,"I am used to bring thoughts to life, And I come in different colors. I have a stone in my middle.And with my outside you could make a fiddle. What am I?",
bar of soap,"You use it between your head and your toes, the more it works the thinner it grows.   What is it?",
reflection,I look at you when you look at me. Is my secret twin I see? You follow my actions and all that I do. I am just another copy of you! What am I?,
paint,"I can be any color you can imagine.   You see me in everyday life.   I have been around for many, many years,  Look around, you can probably see some of me right now.    What am I?",
pancakes,I am so delicious that I require a house to contain me. What am I?,
comb,"I have many teeth and sometimes they're fine, First I'm by your head, then I'm down your spine.   What am I?  What am I?",
hitch,"Use me to get from point A to point B, To bind yourself to another for eternity, When it all goes wrong it's because of me, Houston, we have a problem, technically. What am I?",What is as mounted as gun and as large as lion and as marine as barnacle and as aquatic as midge  ?
solder,I and me a soldier be.melting in the fire. I hit the spot when the iron's hot.to conduct with a wire. What am I?,
Happiness.,"I am aspired by all, yet hard to find. You can search endlessly, but have little peace of mind. What am I?",
bee,"I am fast and little, and I can attack anything, I can fly to my home while I have a job, I live with my honey. What am I?",
balloon,I come in many different colors and I get bigger when I__ full. I will float away if you don__ tie me down and I will make a loud sound if I break. What am I?,
egg,"On the outside, beige walls surround a castle of the purest white, and a tressure of liquid gold hides in the center. What is it?",What is as natural as wool and as soluble as glucose and as bad as hate and as intense as storm  ?
mountain,"I'm taller than trees, I don't blow in the breeze, up, up I go but never grow. What am I?",
rope,"Ten men's length, Ten men's strength, Yet ten men cannot stand me on end. What am I?",What is as flexible as cable and as rigid as Commander_Data and as farseeing as Albert_Einstein and as rational as Dr._Greg_House  ?
stoner,i enjoy the earths creations and never kill.  What i do to be happy is ilegal what am I. ,
Accent,You have never spoken without me. My presence shows focus and my chairs are characters. What am I?,
onion,"I am the only vegetable that will make you cry, but not because I've hurt your feelings. What am I?",
colour scheme,"My first can help a dresser match suits and ties.My second, through which a goal you realize.My whole, of a room, you may love or despise. What am I?",
salt,When people add me they're often shaking; On the tip of their tongue theres no mistaking; I'm hear to help if the devil is waiting. What am I?,
gone,"I am a riddle that the answer is gone. Get it right, you have until dawn. What is it?",
sun,Some of the times I am very shy.But I dare you to look me in the eye.I am huge and tiny in your world and mine.So close and far at the same time. Who am I?,
your mouth,"32 white horses on a red hill.  First Chomping, then stomping, then standing still.  What am I describing?",
light,"It's seen in yellow, blue, and red  and defines what's black or white.   Opposite to heavy but can't be lifted,  it makes itself scarce by night.    What is it?",
microwave oven,"What do you do when your dinner is too cold? I'll solve your problem before you start to scold. Just give me your dinner with a lid on top, Push my button and I'll make your food hot! What am I?",
sunday,I always come first yet always found in the end.  What am I?,
pool,"My first is in pub, but not in beer. My second's the shape of your mouth when you're in fear. The letter that comes next is the same as my second. My fourth is in drill, but not in bird. What am I?",What is as public as library and as shared as bus_network and as dense as tungsten and as rare as helium  ?
tree,"I grow up super tall. When I die, I give a mighty fall. What am I?",
fart,"When set loose I fly away, Never so cursed as when I go astray. What am I?",
canvas,"When I'm new, I'm worthless. After I'm old and used, I'm worth hundreds, thousands and millions. What am I?",
An apple.,"I'm red and I can be green or yellow,what am I?",
beauty,"Had by few but treasured by all,I'm on the inside and outside and I make men fall.What am I?",
voice,"I am everywhere but cannot be seen, captured or held, only heard. What am I?",
boomerang,"You throw me away, I find my way back; Traditionally I'm wooden, With an arch in my back. What am I?",
Saturn,"My story whispers ancient lore; The force at times my rings will hide. I've sixty minions, maybe more: Those unseen, these by my side. Wand'ring far from glowing light, Shape-shifting puzzles curious eyes; Oft my glorious rings shine bright, While men debate my family's size. My aspect seems to wax and wane, As the force dictates the deed; My namesake ruled vast fields of grain, But, legends tell, devoured his seed. What am I?",
candle,If you allow me to live I shall not live long; but if you kill me I shall stay longer. Who am I?,
tooth,"I'm white, and used for cutting and grinding.    When I'm damaged, humans usually remove me or fill me.  For most animals I am a useful tool.  What am I?",What is as oral as metformin and as pharmacological as hypotension and as administrative as permit and as financial as bond  ?
wagon wheel,"I go around in circles But always straight ahead, Never complain No matter where I am led. What am I?",
dining table,"what has eyes but cannont see.  Has four legs but cannon walk.  Strong enoufgh to lift a whole turkey, a sack of potatoes, and some stell yet with no arms.  Comes in diffrent colors and all in diffrent shapes and styles.  yet it does the same thing.  its only used during night for in the day there day light.  everyone gathers around as soon as the first thing touches the ground.  What am i?",
squirrel,My moves look erratic.I'm a nut fanatic. My tail is distinctive.My actions instinctive. Inside a leafy nest.Is where I take my rest. What am I?,
